PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1709;Moerdijk;4671;Steenbergen;02WZ;00;SSBO Het Palet;4791JL;KLUNDERT;Noord-Brabant;Sbo;Protestants-Christelijk;41782;0;0;0;0;0;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;1709;Moerdijk;4731;Halderberge;02WZ;00;SSBO Het Palet;4791JL;KLUNDERT;Noord-Brabant;Sbo;Protestants-Christelijk;41782;0;0;0;0;1;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1709;Moerdijk;4754;Halderberge;02WZ;00;SSBO Het Palet;4791JL;KLUNDERT;Noord-Brabant;Sbo;Protestants-Christelijk;41782;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1709;Moerdijk;4758;Moerdijk;02WZ;00;SSBO Het Palet;4791JL;KLUNDERT;Noord-Brabant;Sbo;Protestants-Christelijk;41782;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1709;Moerdijk;4759;Moerdijk;02WZ;00;SSBO Het Palet;4791JL;KLUNDERT;Noord-Brabant;Sbo;Protestants-Christelijk;41782;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1709;Moerdijk;4761;Moerdijk;02WZ;00;SSBO Het Palet;4791JL;KLUNDERT;Noord-Brabant;Sbo;Protestants-Christelijk;41782;0;0;1;0;2;0;3;5;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20171001;1709;Moerdijk;4765;Moerdijk;02WZ;00;SSBO Het Palet;4791JL;KLUNDERT;Noord-Brabant;Sbo;Protestants-Christelijk;41782;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1709;Moerdijk;4771;Moerdijk;02WZ;00;SSBO Het Palet;4791JL;KLUNDERT;Noord-Brabant;Sbo;Protestants-Christelijk;41782;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1709;Moerdijk;4781;Moerdijk;02WZ;00;SSBO Het Palet;4791JL;KLUNDERT;Noord-Brabant;Sbo;Protestants-Christelijk;41782;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1709;Moerdijk;4782;Moerdijk;02WZ;00;SSBO Het Palet;4791JL;KLUNDERT;Noord-Brabant;Sbo;Protestants-Christelijk;41782;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1709;Moerdijk;4791;Moerdijk;02WZ;00;SSBO Het Palet;4791JL;KLUNDERT;Noord-Brabant;Sbo;Protestants-Christelijk;41782;0;0;0;1;1;4;3;7;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;24
20171001;1709;Moerdijk;4793;Moerdijk;02WZ;00;SSBO Het Palet;4791JL;KLUNDERT;Noord-Brabant;Sbo;Protestants-Christelijk;41782;0;0;0;2;0;3;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;1709;Moerdijk;4797;Moerdijk;02WZ;00;SSBO Het Palet;4791JL;KLUNDERT;Noord-Brabant;Sbo;Protestants-Christelijk;41782;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1709;Moerdijk;4921;Drimmelen;02WZ;00;SSBO Het Palet;4791JL;KLUNDERT;Noord-Brabant;Sbo;Protestants-Christelijk;41782;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1709;Moerdijk;4926;Drimmelen;02WZ;00;SSBO Het Palet;4791JL;KLUNDERT;Noord-Brabant;Sbo;Protestants-Christelijk;41782;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1709;Moerdijk;4927;Drimmelen;02WZ;00;SSBO Het Palet;4791JL;KLUNDERT;Noord-Brabant;Sbo;Protestants-Christelijk;41782;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1709;Moerdijk;4758;Moerdijk;03PL;00;RK Bs St Jozef;4759BD;NOORDHOEK;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1709;Moerdijk;4759;Moerdijk;03PL;00;RK Bs St Jozef;4759BD;NOORDHOEK;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;9;5;7;5;13;12;5;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69
20171001;1709;Moerdijk;4761;Moerdijk;03PL;00;RK Bs St Jozef;4759BD;NOORDHOEK;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1709;Moerdijk;4797;Moerdijk;03PL;00;RK Bs St Jozef;4759BD;NOORDHOEK;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1709;Moerdijk;3281;Cromstrijen;03WK;00;PC Basissch Julianasch;4793CW;FIJNAART;Noord-Brabant;Bo;Protestants-Christelijk;41782;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1709;Moerdijk;4793;Moerdijk;03WK;00;PC Basissch Julianasch;4793CW;FIJNAART;Noord-Brabant;Bo;Protestants-Christelijk;41782;0;24;24;32;16;19;17;18;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;160
20171001;1709;Moerdijk;4794;Moerdijk;03WK;00;PC Basissch Julianasch;4793CW;FIJNAART;Noord-Brabant;Bo;Protestants-Christelijk;41782;0;2;2;1;2;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;1709;Moerdijk;4796;Moerdijk;03WK;00;PC Basissch Julianasch;4793CW;FIJNAART;Noord-Brabant;Bo;Protestants-Christelijk;41782;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1709;Moerdijk;4797;Moerdijk;03WK;00;PC Basissch Julianasch;4793CW;FIJNAART;Noord-Brabant;Bo;Protestants-Christelijk;41782;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
