PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1927;Molenwaard;  10;Belgie;00AZ;00;De Stapsteen;2971AR;BLESKENSGRAAF CA;Zuid-Holland;Bo;Openbaar;41638;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1927;Molenwaard;2959;Molenwaard;00AZ;00;De Stapsteen;2971AR;BLESKENSGRAAF CA;Zuid-Holland;Bo;Openbaar;41638;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1927;Molenwaard;2971;Molenwaard;00AZ;00;De Stapsteen;2971AR;BLESKENSGRAAF CA;Zuid-Holland;Bo;Openbaar;41638;0;9;5;5;6;5;3;13;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;60
20171001;1927;Molenwaard;2973;Molenwaard;00AZ;00;De Stapsteen;2971AR;BLESKENSGRAAF CA;Zuid-Holland;Bo;Openbaar;41638;0;1;2;3;2;3;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
20171001;1927;Molenwaard;2974;Molenwaard;00AZ;00;De Stapsteen;2971AR;BLESKENSGRAAF CA;Zuid-Holland;Bo;Openbaar;41638;0;1;2;3;1;5;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;1927;Molenwaard;2975;Molenwaard;00AZ;00;De Stapsteen;2971AR;BLESKENSGRAAF CA;Zuid-Holland;Bo;Openbaar;41638;0;0;1;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1927;Molenwaard;3162;Albrandswaard;00AZ;00;De Stapsteen;2971AR;BLESKENSGRAAF CA;Zuid-Holland;Bo;Openbaar;41638;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1927;Molenwaard;3351;Papendrecht;00AZ;00;De Stapsteen;2971AR;BLESKENSGRAAF CA;Zuid-Holland;Bo;Openbaar;41638;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1927;Molenwaard;3356;Papendrecht;00AZ;00;De Stapsteen;2971AR;BLESKENSGRAAF CA;Zuid-Holland;Bo;Openbaar;41638;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1927;Molenwaard;3366;Molenwaard;00AZ;00;De Stapsteen;2971AR;BLESKENSGRAAF CA;Zuid-Holland;Bo;Openbaar;41638;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
