PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;335;Montfoort;3417;Montfoort;03BX;00;OBS De Hobbitstee;3417WD;MONTFOORT;Utrecht;Bo;Openbaar;41401;0;14;25;16;36;26;26;25;41;3;0;0;0;0;0;0;0;0;0;0;0;0;0;212
20171001;335;Montfoort;3417;Montfoort;03DV;00;OBS Prins Claus;3461GH;LINSCHOTEN;Utrecht;Bo;Openbaar;41401;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;335;Montfoort;3446;Woerden;03DV;00;OBS Prins Claus;3461GH;LINSCHOTEN;Utrecht;Bo;Openbaar;41401;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;335;Montfoort;3461;Montfoort;03DV;00;OBS Prins Claus;3461GH;LINSCHOTEN;Utrecht;Bo;Openbaar;41401;0;14;18;21;21;21;22;21;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;156
20171001;335;Montfoort;3706;Zeist;03DV;00;OBS Prins Claus;3461GH;LINSCHOTEN;Utrecht;Bo;Openbaar;41401;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;335;Montfoort;2851;Krimpenerwaard;07KL;00;Basissch md Bijbel Het Kompas;3417EN;MONTFOORT;Utrecht;Bo;Reformatorisch;32813;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;335;Montfoort;3401;IJsselstein;07KL;00;Basissch md Bijbel Het Kompas;3417EN;MONTFOORT;Utrecht;Bo;Reformatorisch;32813;0;2;1;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;335;Montfoort;3405;Lopik;07KL;00;Basissch md Bijbel Het Kompas;3417EN;MONTFOORT;Utrecht;Bo;Reformatorisch;32813;0;1;1;0;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;335;Montfoort;3411;Lopik;07KL;00;Basissch md Bijbel Het Kompas;3417EN;MONTFOORT;Utrecht;Bo;Reformatorisch;32813;0;3;2;4;0;3;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;335;Montfoort;3415;Lopik;07KL;00;Basissch md Bijbel Het Kompas;3417EN;MONTFOORT;Utrecht;Bo;Reformatorisch;32813;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
