PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;944;Mook en Middelaar;  20;Duitsland;05IA;00;Basissch De Grote Lier;6584BD;MOLENHOEK LB;Limburg;Bo;Rooms-Katholiek;37663;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;944;Mook en Middelaar;3431;Nieuwegein;05IA;00;Basissch De Grote Lier;6584BD;MOLENHOEK LB;Limburg;Bo;Rooms-Katholiek;37663;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;944;Mook en Middelaar;5432;Cuijk;05IA;00;Basissch De Grote Lier;6584BD;MOLENHOEK LB;Limburg;Bo;Rooms-Katholiek;37663;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;944;Mook en Middelaar;6536;Nijmegen;05IA;00;Basissch De Grote Lier;6584BD;MOLENHOEK LB;Limburg;Bo;Rooms-Katholiek;37663;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;944;Mook en Middelaar;6562;Berg en Dal;05IA;00;Basissch De Grote Lier;6584BD;MOLENHOEK LB;Limburg;Bo;Rooms-Katholiek;37663;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;944;Mook en Middelaar;6581;Heumen;05IA;00;Basissch De Grote Lier;6584BD;MOLENHOEK LB;Limburg;Bo;Rooms-Katholiek;37663;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;944;Mook en Middelaar;6582;Heumen;05IA;00;Basissch De Grote Lier;6584BD;MOLENHOEK LB;Limburg;Bo;Rooms-Katholiek;37663;0;2;1;2;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;944;Mook en Middelaar;6584;Mook en Middelaar;05IA;00;Basissch De Grote Lier;6584BD;MOLENHOEK LB;Limburg;Bo;Rooms-Katholiek;37663;0;24;24;27;30;32;39;40;38;4;1;0;0;0;0;0;0;0;0;0;0;0;0;259
20171001;944;Mook en Middelaar;6585;Mook en Middelaar;05IA;00;Basissch De Grote Lier;6584BD;MOLENHOEK LB;Limburg;Bo;Rooms-Katholiek;37663;0;2;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;944;Mook en Middelaar;6605;Wijchen;05IA;00;Basissch De Grote Lier;6584BD;MOLENHOEK LB;Limburg;Bo;Rooms-Katholiek;37663;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;944;Mook en Middelaar;6541;Nijmegen;07VD;00;Adalbert Basisschool;6585XP;MOOK;Limburg;Bo;Rooms-Katholiek;37663;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;944;Mook en Middelaar;6562;Berg en Dal;07VD;00;Adalbert Basisschool;6585XP;MOOK;Limburg;Bo;Rooms-Katholiek;37663;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;944;Mook en Middelaar;6585;Mook en Middelaar;07VD;00;Adalbert Basisschool;6585XP;MOOK;Limburg;Bo;Rooms-Katholiek;37663;0;21;11;25;20;19;25;18;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;155
20171001;944;Mook en Middelaar;6586;Mook en Middelaar;07VD;00;Adalbert Basisschool;6585XP;MOOK;Limburg;Bo;Rooms-Katholiek;37663;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;944;Mook en Middelaar;6587;Mook en Middelaar;07VD;00;Adalbert Basisschool;6585XP;MOOK;Limburg;Bo;Rooms-Katholiek;37663;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;944;Mook en Middelaar;5976;Horst aan de Maas;09AI;00;Basisschool De Staaij;6587AW;MIDDELAAR;Limburg;Bo;Rooms-Katholiek;37663;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;944;Mook en Middelaar;6525;Nijmegen;09AI;00;Basisschool De Staaij;6587AW;MIDDELAAR;Limburg;Bo;Rooms-Katholiek;37663;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;944;Mook en Middelaar;6541;Nijmegen;09AI;00;Basisschool De Staaij;6587AW;MIDDELAAR;Limburg;Bo;Rooms-Katholiek;37663;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;944;Mook en Middelaar;6544;Nijmegen;09AI;00;Basisschool De Staaij;6587AW;MIDDELAAR;Limburg;Bo;Rooms-Katholiek;37663;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;944;Mook en Middelaar;6585;Mook en Middelaar;09AI;00;Basisschool De Staaij;6587AW;MIDDELAAR;Limburg;Bo;Rooms-Katholiek;37663;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;944;Mook en Middelaar;6586;Mook en Middelaar;09AI;00;Basisschool De Staaij;6587AW;MIDDELAAR;Limburg;Bo;Rooms-Katholiek;37663;0;1;1;0;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;944;Mook en Middelaar;6587;Mook en Middelaar;09AI;00;Basisschool De Staaij;6587AW;MIDDELAAR;Limburg;Bo;Rooms-Katholiek;37663;0;4;4;6;2;1;11;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39
20171001;944;Mook en Middelaar;6596;Gennep;09AI;00;Basisschool De Staaij;6587AW;MIDDELAAR;Limburg;Bo;Rooms-Katholiek;37663;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;944;Mook en Middelaar;6598;Gennep;09AI;00;Basisschool De Staaij;6587AW;MIDDELAAR;Limburg;Bo;Rooms-Katholiek;37663;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
