PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1740;Neder-Betuwe;3911;Rhenen;01ST;00;Rehoboth SBO, Ochten;4051KA;OCHTEN;Gelderland;Sbo;Reformatorisch;84515;0;0;1;0;1;0;3;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;1740;Neder-Betuwe;3921;Rhenen;01ST;00;Rehoboth SBO, Ochten;4051KA;OCHTEN;Gelderland;Sbo;Reformatorisch;84515;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1740;Neder-Betuwe;3947;Wijk bij Duurstede;01ST;00;Rehoboth SBO, Ochten;4051KA;OCHTEN;Gelderland;Sbo;Reformatorisch;84515;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1740;Neder-Betuwe;3956;Utrechtse Heuvelrug;01ST;00;Rehoboth SBO, Ochten;4051KA;OCHTEN;Gelderland;Sbo;Reformatorisch;84515;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1740;Neder-Betuwe;3958;Utrechtse Heuvelrug;01ST;00;Rehoboth SBO, Ochten;4051KA;OCHTEN;Gelderland;Sbo;Reformatorisch;84515;0;0;0;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1740;Neder-Betuwe;4014;Tiel;01ST;00;Rehoboth SBO, Ochten;4051KA;OCHTEN;Gelderland;Sbo;Reformatorisch;84515;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1740;Neder-Betuwe;4021;Buren;01ST;00;Rehoboth SBO, Ochten;4051KA;OCHTEN;Gelderland;Sbo;Reformatorisch;84515;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1740;Neder-Betuwe;4032;Buren;01ST;00;Rehoboth SBO, Ochten;4051KA;OCHTEN;Gelderland;Sbo;Reformatorisch;84515;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1740;Neder-Betuwe;4033;Buren;01ST;00;Rehoboth SBO, Ochten;4051KA;OCHTEN;Gelderland;Sbo;Reformatorisch;84515;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1740;Neder-Betuwe;4041;Neder-Betuwe;01ST;00;Rehoboth SBO, Ochten;4051KA;OCHTEN;Gelderland;Sbo;Reformatorisch;84515;0;0;0;0;0;1;2;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9
