PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;304;Neerijnen;4061;Neerijnen;04VQ;00;CBS Freule van Pallandt;4182CB;NEERIJNEN;Gelderland;Bo;Protestants-Christelijk;41424;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;304;Neerijnen;4063;Neerijnen;04VQ;00;CBS Freule van Pallandt;4182CB;NEERIJNEN;Gelderland;Bo;Protestants-Christelijk;41424;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;304;Neerijnen;4181;Neerijnen;04VQ;00;CBS Freule van Pallandt;4182CB;NEERIJNEN;Gelderland;Bo;Protestants-Christelijk;41424;0;6;1;0;4;1;2;6;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;25
20171001;304;Neerijnen;4182;Neerijnen;04VQ;00;CBS Freule van Pallandt;4182CB;NEERIJNEN;Gelderland;Bo;Protestants-Christelijk;41424;0;0;1;0;6;1;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;304;Neerijnen;4184;Neerijnen;04VQ;00;CBS Freule van Pallandt;4182CB;NEERIJNEN;Gelderland;Bo;Protestants-Christelijk;41424;0;4;1;5;3;2;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
20171001;304;Neerijnen;4185;Neerijnen;04VQ;00;CBS Freule van Pallandt;4182CB;NEERIJNEN;Gelderland;Bo;Protestants-Christelijk;41424;0;0;1;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;304;Neerijnen;4197;Geldermalsen;04VQ;00;CBS Freule van Pallandt;4182CB;NEERIJNEN;Gelderland;Bo;Protestants-Christelijk;41424;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;304;Neerijnen;4175;Neerijnen;05OS;00;Chr Bs De Goudenstein;4175HA;HAAFTEN;Gelderland;Bo;Protestants-Christelijk;41424;0;14;16;23;14;14;15;25;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;131
20171001;304;Neerijnen;4176;Neerijnen;05OS;00;Chr Bs De Goudenstein;4175HA;HAAFTEN;Gelderland;Bo;Protestants-Christelijk;41424;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;304;Neerijnen;4181;Neerijnen;05OS;00;Chr Bs De Goudenstein;4175HA;HAAFTEN;Gelderland;Bo;Protestants-Christelijk;41424;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;304;Neerijnen;4182;Neerijnen;05OS;00;Chr Bs De Goudenstein;4175HA;HAAFTEN;Gelderland;Bo;Protestants-Christelijk;41424;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;304;Neerijnen;4194;Geldermalsen;05OS;00;Chr Bs De Goudenstein;4175HA;HAAFTEN;Gelderland;Bo;Protestants-Christelijk;41424;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;304;Neerijnen;4174;Neerijnen;05PJ;00;CNS De Kievitsheuvel;4174GM;HELLOUW;Gelderland;Bo;Protestants-Christelijk;41424;0;10;12;14;8;8;11;9;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;84
