PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;356;Nieuwegein;3402;IJsselstein;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;0;0;0;0;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;356;Nieuwegein;3404;IJsselstein;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;356;Nieuwegein;3405;Lopik;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3411;Lopik;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;356;Nieuwegein;3417;Montfoort;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3431;Nieuwegein;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;0;1;1;5;8;7;2;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;35
20171001;356;Nieuwegein;3432;Nieuwegein;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;0;0;1;1;3;3;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20171001;356;Nieuwegein;3433;Nieuwegein;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;0;2;2;0;2;1;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;356;Nieuwegein;3434;Nieuwegein;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;0;2;2;6;3;5;8;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;32
20171001;356;Nieuwegein;3435;Nieuwegein;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;2;0;0;1;3;5;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20171001;356;Nieuwegein;3436;Nieuwegein;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;2;3;2;2;1;2;8;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;26
20171001;356;Nieuwegein;3437;Nieuwegein;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;1;1;3;5;3;3;6;9;7;0;0;0;0;0;0;0;0;0;0;0;0;0;38
20171001;356;Nieuwegein;3438;Nieuwegein;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;2;2;5;2;5;8;4;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;41
20171001;356;Nieuwegein;3522;Utrecht;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3524;Utrecht;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;356;Nieuwegein;3525;Utrecht;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3561;Utrecht;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3911;Rhenen;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3985;Bunnik;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;356;Nieuwegein;3991;Houten;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3998;Houten;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;4131;Vianen;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;4132;Vianen;04DA;00;SSBO De Evenaar;3437WN;NIEUWEGEIN;Utrecht;Sbo;Algemeen bijzonder;77651;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3402;IJsselstein;11QK;00;Lucas Batau;3437CA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3431;Nieuwegein;11QK;00;Lucas Batau;3437CA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;6;1;6;3;4;5;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;35
20171001;356;Nieuwegein;3432;Nieuwegein;11QK;00;Lucas Batau;3437CA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3434;Nieuwegein;11QK;00;Lucas Batau;3437CA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;356;Nieuwegein;3435;Nieuwegein;11QK;00;Lucas Batau;3437CA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;2;1;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;356;Nieuwegein;3436;Nieuwegein;11QK;00;Lucas Batau;3437CA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;6;11;13;10;6;8;13;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;74
20171001;356;Nieuwegein;3437;Nieuwegein;11QK;00;Lucas Batau;3437CA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;20;21;16;21;18;19;20;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;156
20171001;356;Nieuwegein;3438;Nieuwegein;11QK;00;Lucas Batau;3437CA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;1;1;2;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;356;Nieuwegein;3439;Nieuwegein;11QK;00;Lucas Batau;3437CA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3513;Utrecht;11QK;00;Lucas Batau;3437CA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3521;Utrecht;11QK;00;Lucas Batau;3437CA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3545;Utrecht;11QK;00;Lucas Batau;3437CA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;356;Nieuwegein;3546;Utrecht;11QK;00;Lucas Batau;3437CA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;1;0;2;1;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;356;Nieuwegein;  30;ander land;11VN;00;Kon Julianaschool;3437KB;NIEUWEGEIN;Utrecht;Bo;Protestants-Christelijk;41528;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;356;Nieuwegein;1067;Amsterdam;11VN;00;Kon Julianaschool;3437KB;NIEUWEGEIN;Utrecht;Bo;Protestants-Christelijk;41528;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3401;IJsselstein;11VN;00;Kon Julianaschool;3437KB;NIEUWEGEIN;Utrecht;Bo;Protestants-Christelijk;41528;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;356;Nieuwegein;3402;IJsselstein;11VN;00;Kon Julianaschool;3437KB;NIEUWEGEIN;Utrecht;Bo;Protestants-Christelijk;41528;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3431;Nieuwegein;11VN;00;Kon Julianaschool;3437KB;NIEUWEGEIN;Utrecht;Bo;Protestants-Christelijk;41528;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;356;Nieuwegein;3432;Nieuwegein;11VN;00;Kon Julianaschool;3437KB;NIEUWEGEIN;Utrecht;Bo;Protestants-Christelijk;41528;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;356;Nieuwegein;3434;Nieuwegein;11VN;00;Kon Julianaschool;3437KB;NIEUWEGEIN;Utrecht;Bo;Protestants-Christelijk;41528;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3436;Nieuwegein;11VN;00;Kon Julianaschool;3437KB;NIEUWEGEIN;Utrecht;Bo;Protestants-Christelijk;41528;0;2;0;1;2;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;356;Nieuwegein;3437;Nieuwegein;11VN;00;Kon Julianaschool;3437KB;NIEUWEGEIN;Utrecht;Bo;Protestants-Christelijk;41528;0;16;24;24;24;17;14;20;22;2;0;0;0;0;0;0;0;0;0;0;0;0;0;163
20171001;356;Nieuwegein;3438;Nieuwegein;11VN;00;Kon Julianaschool;3437KB;NIEUWEGEIN;Utrecht;Bo;Protestants-Christelijk;41528;0;8;4;7;6;5;9;5;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;50
20171001;356;Nieuwegein;3551;Utrecht;11VN;00;Kon Julianaschool;3437KB;NIEUWEGEIN;Utrecht;Bo;Protestants-Christelijk;41528;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3402;IJsselstein;12BG;00;Vroonesteinschool;3438RA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3411;Lopik;12BG;00;Vroonesteinschool;3438RA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3431;Nieuwegein;12BG;00;Vroonesteinschool;3438RA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;4;9;1;5;5;3;10;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;45
20171001;356;Nieuwegein;3432;Nieuwegein;12BG;00;Vroonesteinschool;3438RA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;356;Nieuwegein;3433;Nieuwegein;12BG;00;Vroonesteinschool;3438RA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;356;Nieuwegein;3434;Nieuwegein;12BG;00;Vroonesteinschool;3438RA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;356;Nieuwegein;3435;Nieuwegein;12BG;00;Vroonesteinschool;3438RA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;4;5;11;11;10;10;8;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;70
20171001;356;Nieuwegein;3436;Nieuwegein;12BG;00;Vroonesteinschool;3438RA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;356;Nieuwegein;3437;Nieuwegein;12BG;00;Vroonesteinschool;3438RA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;1;3;1;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;356;Nieuwegein;3438;Nieuwegein;12BG;00;Vroonesteinschool;3438RA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;20;13;14;16;13;16;13;24;4;0;0;0;0;0;0;0;0;0;0;0;0;0;133
20171001;356;Nieuwegein;3439;Nieuwegein;12BG;00;Vroonesteinschool;3438RA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;356;Nieuwegein;3555;Utrecht;12BG;00;Vroonesteinschool;3438RA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;356;Nieuwegein;4121;Vianen;12BG;00;Vroonesteinschool;3438RA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;6932;Westervoort;12BG;00;Vroonesteinschool;3438RA;NIEUWEGEIN;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3402;IJsselstein;12FF;00;Koningin Beatrixschool;3431RA;NIEUWEGEIN;Utrecht;Bo;Protestants-Christelijk;41528;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;356;Nieuwegein;3404;IJsselstein;12FF;00;Koningin Beatrixschool;3431RA;NIEUWEGEIN;Utrecht;Bo;Protestants-Christelijk;41528;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;356;Nieuwegein;3431;Nieuwegein;12FF;00;Koningin Beatrixschool;3431RA;NIEUWEGEIN;Utrecht;Bo;Protestants-Christelijk;41528;0;12;11;15;12;17;8;9;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;95
20171001;356;Nieuwegein;3432;Nieuwegein;12FF;00;Koningin Beatrixschool;3431RA;NIEUWEGEIN;Utrecht;Bo;Protestants-Christelijk;41528;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;356;Nieuwegein;3435;Nieuwegein;12FF;00;Koningin Beatrixschool;3431RA;NIEUWEGEIN;Utrecht;Bo;Protestants-Christelijk;41528;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
