PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;267;Nijkerk;3784;Barneveld;02CX;00;SSBO Koningin Emma;3861LT;NIJKERK GLD;Gelderland;Sbo;Protestants-Christelijk;41671;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;267;Nijkerk;3851;Ermelo;02CX;00;SSBO Koningin Emma;3861LT;NIJKERK GLD;Gelderland;Sbo;Protestants-Christelijk;41671;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;267;Nijkerk;3853;Ermelo;02CX;00;SSBO Koningin Emma;3861LT;NIJKERK GLD;Gelderland;Sbo;Protestants-Christelijk;41671;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;267;Nijkerk;3861;Nijkerk;02CX;00;SSBO Koningin Emma;3861LT;NIJKERK GLD;Gelderland;Sbo;Protestants-Christelijk;41671;0;1;1;0;0;1;2;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;267;Nijkerk;3862;Nijkerk;02CX;00;SSBO Koningin Emma;3861LT;NIJKERK GLD;Gelderland;Sbo;Protestants-Christelijk;41671;0;0;0;2;0;3;2;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
20171001;267;Nijkerk;3863;Nijkerk;02CX;00;SSBO Koningin Emma;3861LT;NIJKERK GLD;Gelderland;Sbo;Protestants-Christelijk;41671;0;2;0;2;0;0;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;267;Nijkerk;3864;Nijkerk;02CX;00;SSBO Koningin Emma;3861LT;NIJKERK GLD;Gelderland;Sbo;Protestants-Christelijk;41671;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;267;Nijkerk;3871;Nijkerk;02CX;00;SSBO Koningin Emma;3861LT;NIJKERK GLD;Gelderland;Sbo;Protestants-Christelijk;41671;0;0;0;0;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;267;Nijkerk;3881;Putten;02CX;00;SSBO Koningin Emma;3861LT;NIJKERK GLD;Gelderland;Sbo;Protestants-Christelijk;41671;0;0;0;0;0;3;3;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;267;Nijkerk;3882;Putten;02CX;00;SSBO Koningin Emma;3861LT;NIJKERK GLD;Gelderland;Sbo;Protestants-Christelijk;41671;0;1;1;0;2;2;0;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;267;Nijkerk;3784;Barneveld;03OU;00;Ond Gemeenschap de Hoeve;3871NA;HOEVELAKEN;Gelderland;Bo;Rooms-Katholiek;39912;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;267;Nijkerk;3785;Barneveld;03OU;00;Ond Gemeenschap de Hoeve;3871NA;HOEVELAKEN;Gelderland;Bo;Rooms-Katholiek;39912;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;267;Nijkerk;3792;Barneveld;03OU;00;Ond Gemeenschap de Hoeve;3871NA;HOEVELAKEN;Gelderland;Bo;Rooms-Katholiek;39912;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;267;Nijkerk;3816;Amersfoort;03OU;00;Ond Gemeenschap de Hoeve;3871NA;HOEVELAKEN;Gelderland;Bo;Rooms-Katholiek;39912;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;267;Nijkerk;3821;Amersfoort;03OU;00;Ond Gemeenschap de Hoeve;3871NA;HOEVELAKEN;Gelderland;Bo;Rooms-Katholiek;39912;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;267;Nijkerk;3824;Amersfoort;03OU;00;Ond Gemeenschap de Hoeve;3871NA;HOEVELAKEN;Gelderland;Bo;Rooms-Katholiek;39912;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;267;Nijkerk;3825;Amersfoort;03OU;00;Ond Gemeenschap de Hoeve;3871NA;HOEVELAKEN;Gelderland;Bo;Rooms-Katholiek;39912;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;267;Nijkerk;3826;Amersfoort;03OU;00;Ond Gemeenschap de Hoeve;3871NA;HOEVELAKEN;Gelderland;Bo;Rooms-Katholiek;39912;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;267;Nijkerk;3833;Leusden;03OU;00;Ond Gemeenschap de Hoeve;3871NA;HOEVELAKEN;Gelderland;Bo;Rooms-Katholiek;39912;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;267;Nijkerk;3836;Amersfoort;03OU;00;Ond Gemeenschap de Hoeve;3871NA;HOEVELAKEN;Gelderland;Bo;Rooms-Katholiek;39912;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;267;Nijkerk;3862;Nijkerk;03OU;00;Ond Gemeenschap de Hoeve;3871NA;HOEVELAKEN;Gelderland;Bo;Rooms-Katholiek;39912;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;267;Nijkerk;3864;Nijkerk;03OU;00;Ond Gemeenschap de Hoeve;3871NA;HOEVELAKEN;Gelderland;Bo;Rooms-Katholiek;39912;0;3;0;2;3;3;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;267;Nijkerk;3871;Nijkerk;03OU;00;Ond Gemeenschap de Hoeve;3871NA;HOEVELAKEN;Gelderland;Bo;Rooms-Katholiek;39912;0;44;43;40;39;34;35;36;33;6;0;0;0;0;0;0;0;0;0;0;0;0;0;310
20171001;267;Nijkerk;3882;Putten;03OU;00;Ond Gemeenschap de Hoeve;3871NA;HOEVELAKEN;Gelderland;Bo;Rooms-Katholiek;39912;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
