PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;268;Nijmegen;6515;Nijmegen;00KU;00;SBO de Windroos;6545LX;NIJMEGEN;Gelderland;Sbo;Protestants-Christelijk;29810;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;268;Nijmegen;6531;Nijmegen;00KU;00;SBO de Windroos;6545LX;NIJMEGEN;Gelderland;Sbo;Protestants-Christelijk;29810;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;268;Nijmegen;6533;Nijmegen;00KU;00;SBO de Windroos;6545LX;NIJMEGEN;Gelderland;Sbo;Protestants-Christelijk;29810;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;268;Nijmegen;6535;Nijmegen;00KU;00;SBO de Windroos;6545LX;NIJMEGEN;Gelderland;Sbo;Protestants-Christelijk;29810;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;268;Nijmegen;6537;Nijmegen;00KU;00;SBO de Windroos;6545LX;NIJMEGEN;Gelderland;Sbo;Protestants-Christelijk;29810;0;0;2;1;0;4;3;7;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;22
20171001;268;Nijmegen;6538;Nijmegen;00KU;00;SBO de Windroos;6545LX;NIJMEGEN;Gelderland;Sbo;Protestants-Christelijk;29810;0;1;1;2;1;6;5;3;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;24
20171001;268;Nijmegen;6541;Nijmegen;00KU;00;SBO de Windroos;6545LX;NIJMEGEN;Gelderland;Sbo;Protestants-Christelijk;29810;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;268;Nijmegen;6544;Nijmegen;00KU;00;SBO de Windroos;6545LX;NIJMEGEN;Gelderland;Sbo;Protestants-Christelijk;29810;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;268;Nijmegen;6545;Nijmegen;00KU;00;SBO de Windroos;6545LX;NIJMEGEN;Gelderland;Sbo;Protestants-Christelijk;29810;0;2;3;1;7;4;4;6;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;35
20171001;268;Nijmegen;6546;Nijmegen;00KU;00;SBO de Windroos;6545LX;NIJMEGEN;Gelderland;Sbo;Protestants-Christelijk;29810;0;1;1;3;5;5;6;6;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;32
20171001;268;Nijmegen;6551;Beuningen;00KU;00;SBO de Windroos;6545LX;NIJMEGEN;Gelderland;Sbo;Protestants-Christelijk;29810;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;268;Nijmegen;6573;Berg en Dal;00KU;00;SBO de Windroos;6545LX;NIJMEGEN;Gelderland;Sbo;Protestants-Christelijk;29810;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;268;Nijmegen;6581;Heumen;00KU;00;SBO de Windroos;6545LX;NIJMEGEN;Gelderland;Sbo;Protestants-Christelijk;29810;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
