PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1930;Nissewaard;3192;Rotterdam;00AV;00;De Morgenster;3201CN;SPIJKENISSE;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1930;Nissewaard;3193;Rotterdam;00AV;00;De Morgenster;3201CN;SPIJKENISSE;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1930;Nissewaard;3194;Rotterdam;00AV;00;De Morgenster;3201CN;SPIJKENISSE;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1930;Nissewaard;3201;Nissewaard;00AV;00;De Morgenster;3201CN;SPIJKENISSE;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;0;1;6;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;1930;Nissewaard;3202;Nissewaard;00AV;00;De Morgenster;3201CN;SPIJKENISSE;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;2;1;0;2;1;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;1930;Nissewaard;3204;Nissewaard;00AV;00;De Morgenster;3201CN;SPIJKENISSE;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;2;2;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;1930;Nissewaard;3205;Nissewaard;00AV;00;De Morgenster;3201CN;SPIJKENISSE;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1930;Nissewaard;3206;Nissewaard;00AV;00;De Morgenster;3201CN;SPIJKENISSE;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;1;0;1;3;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;1930;Nissewaard;3207;Nissewaard;00AV;00;De Morgenster;3201CN;SPIJKENISSE;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;1;2;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;1930;Nissewaard;3211;Nissewaard;00AV;00;De Morgenster;3201CN;SPIJKENISSE;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1930;Nissewaard;3218;Nissewaard;00AV;00;De Morgenster;3201CN;SPIJKENISSE;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1930;Nissewaard;3086;Rotterdam;01AI;01;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1930;Nissewaard;3161;Albrandswaard;01AI;01;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1930;Nissewaard;3171;Albrandswaard;01AI;01;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1930;Nissewaard;3191;Rotterdam;01AI;01;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1930;Nissewaard;3192;Rotterdam;01AI;01;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1930;Nissewaard;3193;Rotterdam;01AI;01;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1930;Nissewaard;3201;Nissewaard;01AI;01;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;4;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;1930;Nissewaard;3202;Nissewaard;01AI;01;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;1;0;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;1930;Nissewaard;3203;Nissewaard;01AI;01;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1930;Nissewaard;3204;Nissewaard;01AI;01;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;2;4;3;2;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;1930;Nissewaard;3205;Nissewaard;01AI;01;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;1;5;2;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;1930;Nissewaard;3206;Nissewaard;01AI;01;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;Zuid-Holland;So;Algemeen bijzonder;62077;0;1;1;1;5;6;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;1930;Nissewaard;3207;Nissewaard;01AI;01;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;Zuid-Holland;So;Algemeen bijzonder;62077;0;1;1;1;2;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;1930;Nissewaard;3208;Nissewaard;01AI;01;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1930;Nissewaard;3209;Nissewaard;01AI;01;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1930;Nissewaard;3214;Nissewaard;01AI;01;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1930;Nissewaard;3232;Brielle;01AI;01;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1930;Nissewaard;3295;Binnenmaas;01AI;01;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
