PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1695;Noord-Beveland;4484;Noord-Beveland;00HH;00;OBS De Vliete;4491GB;WISSENKERKE;Zeeland;Bo;Openbaar;41670;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1695;Noord-Beveland;4486;Noord-Beveland;00HH;00;OBS De Vliete;4491GB;WISSENKERKE;Zeeland;Bo;Openbaar;41670;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1695;Noord-Beveland;4491;Noord-Beveland;00HH;00;OBS De Vliete;4491GB;WISSENKERKE;Zeeland;Bo;Openbaar;41670;0;6;16;6;6;9;13;6;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;68
20171001;1695;Noord-Beveland;4493;Noord-Beveland;00HH;00;OBS De Vliete;4491GB;WISSENKERKE;Zeeland;Bo;Openbaar;41670;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1695;Noord-Beveland;2671;Westland;04EY;05;SO/VSO Respont (De Vliethoeve);4484NH;KORTGENE;Zeeland;Vso;Algemeen bijzonder;40876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
20171001;1695;Noord-Beveland;4337;Middelburg;04EY;05;SO/VSO Respont (De Vliethoeve);4484NH;KORTGENE;Zeeland;Vso;Algemeen bijzonder;40876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
20171001;1695;Noord-Beveland;4484;Noord-Beveland;04EY;05;SO/VSO Respont (De Vliethoeve);4484NH;KORTGENE;Zeeland;Vso;Algemeen bijzonder;40876;0;0;0;0;0;0;0;0;0;0;0;1;3;4;5;0;0;0;0;1;0;0;0;14
20171001;1695;Noord-Beveland;4532;Terneuzen;04EY;05;SO/VSO Respont (De Vliethoeve);4484NH;KORTGENE;Zeeland;Vso;Algemeen bijzonder;40876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
20171001;1695;Noord-Beveland;4571;Terneuzen;04EY;05;SO/VSO Respont (De Vliethoeve);4484NH;KORTGENE;Zeeland;Vso;Algemeen bijzonder;40876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
20171001;1695;Noord-Beveland;4701;Roosendaal;04EY;05;SO/VSO Respont (De Vliethoeve);4484NH;KORTGENE;Zeeland;Vso;Algemeen bijzonder;40876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1695;Noord-Beveland;4703;Roosendaal;04EY;05;SO/VSO Respont (De Vliethoeve);4484NH;KORTGENE;Zeeland;Vso;Algemeen bijzonder;40876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1695;Noord-Beveland;4811;Breda;04EY;05;SO/VSO Respont (De Vliethoeve);4484NH;KORTGENE;Zeeland;Vso;Algemeen bijzonder;40876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
20171001;1695;Noord-Beveland;4881;Zundert;04EY;05;SO/VSO Respont (De Vliethoeve);4484NH;KORTGENE;Zeeland;Vso;Algemeen bijzonder;40876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
20171001;1695;Noord-Beveland;5025;Tilburg;04EY;05;SO/VSO Respont (De Vliethoeve);4484NH;KORTGENE;Zeeland;Vso;Algemeen bijzonder;40876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
20171001;1695;Noord-Beveland;5041;Tilburg;04EY;05;SO/VSO Respont (De Vliethoeve);4484NH;KORTGENE;Zeeland;Vso;Algemeen bijzonder;40876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
20171001;1695;Noord-Beveland;6041;Roermond;04EY;05;SO/VSO Respont (De Vliethoeve);4484NH;KORTGENE;Zeeland;Vso;Algemeen bijzonder;40876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
20171001;1695;Noord-Beveland;4421;Kapelle;08VL;00;C B S de Kamperschouw;4493BD;KAMPERLAND;Zeeland;Bo;Protestants-Christelijk;40959;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1695;Noord-Beveland;4484;Noord-Beveland;08VL;00;C B S de Kamperschouw;4493BD;KAMPERLAND;Zeeland;Bo;Protestants-Christelijk;40959;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1695;Noord-Beveland;4491;Noord-Beveland;08VL;00;C B S de Kamperschouw;4493BD;KAMPERLAND;Zeeland;Bo;Protestants-Christelijk;40959;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1695;Noord-Beveland;4493;Noord-Beveland;08VL;00;C B S de Kamperschouw;4493BD;KAMPERLAND;Zeeland;Bo;Protestants-Christelijk;40959;0;11;17;16;11;15;13;22;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119
20171001;1695;Noord-Beveland;4494;Noord-Beveland;08VL;00;C B S de Kamperschouw;4493BD;KAMPERLAND;Zeeland;Bo;Protestants-Christelijk;40959;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1695;Noord-Beveland;4484;Noord-Beveland;18QG;00;OBS De Zuidvliet;4484AG;KORTGENE;Zeeland;Bo;Openbaar;41670;0;17;12;10;17;12;7;18;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;105
20171001;1695;Noord-Beveland;4485;Noord-Beveland;18QG;00;OBS De Zuidvliet;4484AG;KORTGENE;Zeeland;Bo;Openbaar;41670;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1695;Noord-Beveland;4486;Noord-Beveland;18QG;00;OBS De Zuidvliet;4484AG;KORTGENE;Zeeland;Bo;Openbaar;41670;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1695;Noord-Beveland;4491;Noord-Beveland;18QG;00;OBS De Zuidvliet;4484AG;KORTGENE;Zeeland;Bo;Openbaar;41670;0;3;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1695;Noord-Beveland;4494;Noord-Beveland;18QG;00;OBS De Zuidvliet;4484AG;KORTGENE;Zeeland;Bo;Openbaar;41670;0;2;1;1;1;2;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;1695;Noord-Beveland;4485;Noord-Beveland;18SI;00;OBS Het Stelleplankier;4486CK;COLIJNSPLAAT;Zeeland;Bo;Openbaar;41670;0;0;1;2;2;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;1695;Noord-Beveland;4486;Noord-Beveland;18SI;00;OBS Het Stelleplankier;4486CK;COLIJNSPLAAT;Zeeland;Bo;Openbaar;41670;0;15;10;9;9;12;14;12;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;91
20171001;1695;Noord-Beveland;4491;Noord-Beveland;18SI;00;OBS Het Stelleplankier;4486CK;COLIJNSPLAAT;Zeeland;Bo;Openbaar;41670;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
