PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;575;Noordwijk;2201;Noordwijk;05DA;00;De Schapendel;2203GH;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;0;2;4;4;2;7;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
20171001;575;Noordwijk;2202;Noordwijk;05DA;00;De Schapendel;2203GH;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;0;1;1;1;2;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;575;Noordwijk;2203;Noordwijk;05DA;00;De Schapendel;2203GH;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;13;11;15;14;14;11;16;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;111
20171001;575;Noordwijk;2204;Noordwijk;05DA;00;De Schapendel;2203GH;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;575;Noordwijk;2211;Noordwijkerhout;05DA;00;De Schapendel;2203GH;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;575;Noordwijk;2223;Katwijk;05DA;00;De Schapendel;2203GH;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;575;Noordwijk;2159;Kaag en Braassem;05ID;00;RK Montesssorischool Noordwijk;2201DN;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;575;Noordwijk;2161;Lisse;05ID;00;RK Montesssorischool Noordwijk;2201DN;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;575;Noordwijk;2182;Hillegom;05ID;00;RK Montesssorischool Noordwijk;2201DN;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;575;Noordwijk;2201;Noordwijk;05ID;00;RK Montesssorischool Noordwijk;2201DN;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;12;8;14;12;6;12;9;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;80
20171001;575;Noordwijk;2202;Noordwijk;05ID;00;RK Montesssorischool Noordwijk;2201DN;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;3;1;3;4;2;4;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;23
20171001;575;Noordwijk;2203;Noordwijk;05ID;00;RK Montesssorischool Noordwijk;2201DN;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;3;2;2;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;575;Noordwijk;2211;Noordwijkerhout;05ID;00;RK Montesssorischool Noordwijk;2201DN;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;0;1;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;575;Noordwijk;2215;Teylingen;05ID;00;RK Montesssorischool Noordwijk;2201DN;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;0;0;2;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;575;Noordwijk;2221;Katwijk;05ID;00;RK Montesssorischool Noordwijk;2201DN;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;575;Noordwijk;2224;Katwijk;05ID;00;RK Montesssorischool Noordwijk;2201DN;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;2;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;575;Noordwijk;2225;Katwijk;05ID;00;RK Montesssorischool Noordwijk;2201DN;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;575;Noordwijk;2231;Katwijk;05ID;00;RK Montesssorischool Noordwijk;2201DN;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;575;Noordwijk;2405;Alphen aan den Rijn;05ID;00;RK Montesssorischool Noordwijk;2201DN;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;575;Noordwijk;2421;Nieuwkoop;05ID;00;RK Montesssorischool Noordwijk;2201DN;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;575;Noordwijk;2152;Haarlemmermeer;07SG;00;Basissch De Bronckhorst;2201KW;NOORDWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
