PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;820;Nuenen, Gerwen en Nederwetten;5671;Nuenen, Gerwen en Nederwetten;06HL;00;Basissch De Wentelwiek;5672HZ;NUENEN;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;3;1;1;3;2;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;820;Nuenen, Gerwen en Nederwetten;5672;Nuenen, Gerwen en Nederwetten;06HL;00;Basissch De Wentelwiek;5672HZ;NUENEN;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;18;33;10;12;10;20;26;14;6;0;0;0;0;0;0;0;0;0;0;0;0;0;149
20171001;820;Nuenen, Gerwen en Nederwetten;5673;Nuenen, Gerwen en Nederwetten;06HL;00;Basissch De Wentelwiek;5672HZ;NUENEN;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;0;1;2;1;3;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;820;Nuenen, Gerwen en Nederwetten;5674;Nuenen, Gerwen en Nederwetten;06HL;00;Basissch De Wentelwiek;5672HZ;NUENEN;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;1;0;5;5;2;4;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;21
20171001;820;Nuenen, Gerwen en Nederwetten;5631;Eindhoven;08JE;00;Basisschool De Mijlpaal;5672EE;NUENEN;Noord-Brabant;Bo;Algemeen bijzonder;41860;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;820;Nuenen, Gerwen en Nederwetten;5641;Eindhoven;08JE;00;Basisschool De Mijlpaal;5672EE;NUENEN;Noord-Brabant;Bo;Algemeen bijzonder;41860;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;820;Nuenen, Gerwen en Nederwetten;5642;Eindhoven;08JE;00;Basisschool De Mijlpaal;5672EE;NUENEN;Noord-Brabant;Bo;Algemeen bijzonder;41860;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;820;Nuenen, Gerwen en Nederwetten;5671;Nuenen, Gerwen en Nederwetten;08JE;00;Basisschool De Mijlpaal;5672EE;NUENEN;Noord-Brabant;Bo;Algemeen bijzonder;41860;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;820;Nuenen, Gerwen en Nederwetten;5672;Nuenen, Gerwen en Nederwetten;08JE;00;Basisschool De Mijlpaal;5672EE;NUENEN;Noord-Brabant;Bo;Algemeen bijzonder;41860;0;7;13;4;19;10;16;17;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;108
20171001;820;Nuenen, Gerwen en Nederwetten;5673;Nuenen, Gerwen en Nederwetten;08JE;00;Basisschool De Mijlpaal;5672EE;NUENEN;Noord-Brabant;Bo;Algemeen bijzonder;41860;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;820;Nuenen, Gerwen en Nederwetten;5674;Nuenen, Gerwen en Nederwetten;08JE;00;Basisschool De Mijlpaal;5672EE;NUENEN;Noord-Brabant;Bo;Algemeen bijzonder;41860;0;0;0;1;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;820;Nuenen, Gerwen en Nederwetten;5708;Helmond;08JE;00;Basisschool De Mijlpaal;5672EE;NUENEN;Noord-Brabant;Bo;Algemeen bijzonder;41860;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;820;Nuenen, Gerwen en Nederwetten;5731;Geldrop-Mierlo;08JE;00;Basisschool De Mijlpaal;5672EE;NUENEN;Noord-Brabant;Bo;Algemeen bijzonder;41860;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;820;Nuenen, Gerwen en Nederwetten;5737;Laarbeek;08JE;00;Basisschool De Mijlpaal;5672EE;NUENEN;Noord-Brabant;Bo;Algemeen bijzonder;41860;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;820;Nuenen, Gerwen en Nederwetten;5741;Laarbeek;08JE;00;Basisschool De Mijlpaal;5672EE;NUENEN;Noord-Brabant;Bo;Algemeen bijzonder;41860;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;820;Nuenen, Gerwen en Nederwetten;5671;Nuenen, Gerwen en Nederwetten;08KX;00;Heuvelrijk;5674RR;NUENEN;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;820;Nuenen, Gerwen en Nederwetten;5674;Nuenen, Gerwen en Nederwetten;08KX;00;Heuvelrijk;5674RR;NUENEN;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;8;18;8;13;15;16;15;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;112
20171001;820;Nuenen, Gerwen en Nederwetten;5692;Son en Breugel;08KX;00;Heuvelrijk;5674RR;NUENEN;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;820;Nuenen, Gerwen en Nederwetten;5706;Helmond;08KX;00;Heuvelrijk;5674RR;NUENEN;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;820;Nuenen, Gerwen en Nederwetten;5708;Helmond;08KX;00;Heuvelrijk;5674RR;NUENEN;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
