PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;951;Nuth;6006;Weert;06KH;00;BS De Bolster;6361XG;NUTH;Limburg;Bo;Rooms-Katholiek;41506;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;951;Nuth;6155;Schinnen;06KH;00;BS De Bolster;6361XG;NUTH;Limburg;Bo;Rooms-Katholiek;41506;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;951;Nuth;6305;Valkenburg aan de Geul;06KH;00;BS De Bolster;6361XG;NUTH;Limburg;Bo;Rooms-Katholiek;41506;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;951;Nuth;6361;Nuth;06KH;00;BS De Bolster;6361XG;NUTH;Limburg;Bo;Rooms-Katholiek;41506;0;31;38;26;39;40;38;42;38;9;1;0;0;0;0;0;0;0;0;0;0;0;0;302
20171001;951;Nuth;6363;Nuth;06KH;00;BS De Bolster;6361XG;NUTH;Limburg;Bo;Rooms-Katholiek;41506;0;0;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;951;Nuth;6412;Heerlen;06KH;00;BS De Bolster;6361XG;NUTH;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;951;Nuth;6414;Heerlen;06KH;00;BS De Bolster;6361XG;NUTH;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;951;Nuth;6415;Heerlen;06KH;00;BS De Bolster;6361XG;NUTH;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;951;Nuth;6171;Stein;06XF;00;Basisschool H Stefanus;6363BZ;WIJNANDSRADE;Limburg;Bo;Rooms-Katholiek;41506;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;951;Nuth;6336;Nuth;06XF;00;Basisschool H Stefanus;6363BZ;WIJNANDSRADE;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
