PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;823;Oirschot;5076;Haaren;07GY;00;OBS de Korenbloem;5688PG;OIRSCHOT;Noord-Brabant;Bo;Openbaar;41662;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;823;Oirschot;5091;Oirschot;07GY;00;OBS de Korenbloem;5688PG;OIRSCHOT;Noord-Brabant;Bo;Openbaar;41662;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;823;Oirschot;5688;Oirschot;07GY;00;OBS de Korenbloem;5688PG;OIRSCHOT;Noord-Brabant;Bo;Openbaar;41662;0;24;28;27;31;22;26;25;27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;211
20171001;823;Oirschot;5689;Oirschot;07GY;00;OBS de Korenbloem;5688PG;OIRSCHOT;Noord-Brabant;Bo;Openbaar;41662;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;823;Oirschot;5731;Geldrop-Mierlo;07GY;00;OBS de Korenbloem;5688PG;OIRSCHOT;Noord-Brabant;Bo;Openbaar;41662;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;823;Oirschot;5684;Best;07QZ;00;B.s. de Plataan;5688DB;OIRSCHOT;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;823;Oirschot;5688;Oirschot;07QZ;00;B.s. de Plataan;5688DB;OIRSCHOT;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;20;20;23;17;24;16;21;21;7;0;0;0;0;0;0;0;0;0;0;0;0;0;169
20171001;823;Oirschot;5689;Oirschot;07QZ;00;B.s. de Plataan;5688DB;OIRSCHOT;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;4;6;5;7;1;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;29
20171001;823;Oirschot;5091;Oirschot;08YI;00;Basisschool De Linde;5688KB;OIRSCHOT;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;1;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;823;Oirschot;5628;Eindhoven;08YI;00;Basisschool De Linde;5688KB;OIRSCHOT;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;823;Oirschot;5658;Eindhoven;08YI;00;Basisschool De Linde;5688KB;OIRSCHOT;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;823;Oirschot;5688;Oirschot;08YI;00;Basisschool De Linde;5688KB;OIRSCHOT;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;25;32;38;33;35;26;38;28;5;0;0;0;0;0;0;0;0;0;0;0;0;0;260
20171001;823;Oirschot;5689;Oirschot;08YI;00;Basisschool De Linde;5688KB;OIRSCHOT;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;0;5;4;2;7;0;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30
20171001;823;Oirschot;5091;Oirschot;09VU;00;St Antoniussch Sch v BSO;5688NM;OIRSCHOT;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;823;Oirschot;5611;Eindhoven;09VU;00;St Antoniussch Sch v BSO;5688NM;OIRSCHOT;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;823;Oirschot;5682;Best;09VU;00;St Antoniussch Sch v BSO;5688NM;OIRSCHOT;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;823;Oirschot;5683;Best;09VU;00;St Antoniussch Sch v BSO;5688NM;OIRSCHOT;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;823;Oirschot;5684;Best;09VU;00;St Antoniussch Sch v BSO;5688NM;OIRSCHOT;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;0;1;1;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;823;Oirschot;5685;Best;09VU;00;St Antoniussch Sch v BSO;5688NM;OIRSCHOT;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;3;1;3;4;2;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
20171001;823;Oirschot;5688;Oirschot;09VU;00;St Antoniussch Sch v BSO;5688NM;OIRSCHOT;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;10;14;26;10;14;17;15;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;112
20171001;823;Oirschot;5689;Oirschot;09VU;00;St Antoniussch Sch v BSO;5688NM;OIRSCHOT;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;0;0;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;823;Oirschot;5691;Son en Breugel;09VU;00;St Antoniussch Sch v BSO;5688NM;OIRSCHOT;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;823;Oirschot;5087;Hilvarenbeek;10JK;00;Bs De Beerze;5091SC;OOST WEST EN MIDDELBEERS;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;823;Oirschot;5091;Oirschot;10JK;00;Bs De Beerze;5091SC;OOST WEST EN MIDDELBEERS;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;46;59;50;36;52;42;52;46;7;0;0;0;0;0;0;0;0;0;0;0;0;0;390
20171001;823;Oirschot;5512;Eersel;10JK;00;Bs De Beerze;5091SC;OOST WEST EN MIDDELBEERS;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;823;Oirschot;5527;Bladel;10JK;00;Bs De Beerze;5091SC;OOST WEST EN MIDDELBEERS;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;823;Oirschot;5534;Bladel;10JK;00;Bs De Beerze;5091SC;OOST WEST EN MIDDELBEERS;Noord-Brabant;Bo;Rooms-Katholiek;40982;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
