PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;824;Oisterwijk;1503;Zaanstad;01OZ;00;P.I-school Hondsberg;5062JT;OISTERWIJK;Noord-Brabant;Vso;Algemeen bijzonder;50143;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;824;Oisterwijk;1611;Stede Broec;01OZ;00;P.I-school Hondsberg;5062JT;OISTERWIJK;Noord-Brabant;Vso;Algemeen bijzonder;50143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;824;Oisterwijk;1614;Stede Broec;01OZ;00;P.I-school Hondsberg;5062JT;OISTERWIJK;Noord-Brabant;Vso;Algemeen bijzonder;50143;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;824;Oisterwijk;1687;Medemblik;01OZ;00;P.I-school Hondsberg;5062JT;OISTERWIJK;Noord-Brabant;So;Algemeen bijzonder;50143;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;824;Oisterwijk;2542;'s-Gravenhage;01OZ;00;P.I-school Hondsberg;5062JT;OISTERWIJK;Noord-Brabant;So;Algemeen bijzonder;50143;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;824;Oisterwijk;2904;Capelle aan den IJssel;01OZ;00;P.I-school Hondsberg;5062JT;OISTERWIJK;Noord-Brabant;So;Algemeen bijzonder;50143;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;824;Oisterwijk;2951;Alblasserdam;01OZ;00;P.I-school Hondsberg;5062JT;OISTERWIJK;Noord-Brabant;So;Algemeen bijzonder;50143;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;824;Oisterwijk;3029;Rotterdam;01OZ;00;P.I-school Hondsberg;5062JT;OISTERWIJK;Noord-Brabant;So;Algemeen bijzonder;50143;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;824;Oisterwijk;3053;Rotterdam;01OZ;00;P.I-school Hondsberg;5062JT;OISTERWIJK;Noord-Brabant;So;Algemeen bijzonder;50143;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;824;Oisterwijk;3072;Rotterdam;01OZ;00;P.I-school Hondsberg;5062JT;OISTERWIJK;Noord-Brabant;Vso;Algemeen bijzonder;50143;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;824;Oisterwijk;3112;Schiedam;01OZ;00;P.I-school Hondsberg;5062JT;OISTERWIJK;Noord-Brabant;Vso;Algemeen bijzonder;50143;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;824;Oisterwijk;3119;Schiedam;01OZ;00;P.I-school Hondsberg;5062JT;OISTERWIJK;Noord-Brabant;So;Algemeen bijzonder;50143;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
