PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1895;Oldambt;9943;Oldambt;00BB;00;Obs Letterwies;9944AR;NIEUWOLDA;Groningen;Bo;Openbaar;41613;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1895;Oldambt;9944;Oldambt;00BB;00;Obs Letterwies;9944AR;NIEUWOLDA;Groningen;Bo;Openbaar;41613;0;11;6;8;7;10;9;11;16;6;0;0;0;0;0;0;0;0;0;0;0;0;0;84
20171001;1895;Oldambt;9945;Delfzijl;00BB;00;Obs Letterwies;9944AR;NIEUWOLDA;Groningen;Bo;Openbaar;41613;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1895;Oldambt;9946;Delfzijl;00BB;00;Obs Letterwies;9944AR;NIEUWOLDA;Groningen;Bo;Openbaar;41613;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1895;Oldambt;9641;Veendam;00CS;00;De Leilinde;9671JA;WINSCHOTEN;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1895;Oldambt;9642;Veendam;00CS;00;De Leilinde;9671JA;WINSCHOTEN;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;1;2;0;2;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;1895;Oldambt;9645;Veendam;00CS;00;De Leilinde;9671JA;WINSCHOTEN;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;1;0;0;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1895;Oldambt;9646;Veendam;00CS;00;De Leilinde;9671JA;WINSCHOTEN;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1895;Oldambt;9648;Veendam;00CS;00;De Leilinde;9671JA;WINSCHOTEN;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1895;Oldambt;9651;Menterwolde;00CS;00;De Leilinde;9671JA;WINSCHOTEN;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1895;Oldambt;9671;Oldambt;00CS;00;De Leilinde;9671JA;WINSCHOTEN;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;1;2;0;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;1895;Oldambt;9673;Oldambt;00CS;00;De Leilinde;9671JA;WINSCHOTEN;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;0;3;1;4;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;1895;Oldambt;9674;Oldambt;00CS;00;De Leilinde;9671JA;WINSCHOTEN;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1895;Oldambt;9675;Oldambt;00CS;00;De Leilinde;9671JA;WINSCHOTEN;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;1;0;1;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1895;Oldambt;9678;Oldambt;00CS;00;De Leilinde;9671JA;WINSCHOTEN;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
