PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1773;Olst-Wijhe;7425;Deventer;03KM;00;Chr Bs Prins W Alexander;8121BR;OLST;Overijssel;Bo;Protestants-Christelijk;40894;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1773;Olst-Wijhe;8121;Olst-Wijhe;03KM;00;Chr Bs Prins W Alexander;8121BR;OLST;Overijssel;Bo;Protestants-Christelijk;40894;0;7;10;16;18;9;19;13;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;108
20171001;1773;Olst-Wijhe;8131;Olst-Wijhe;03KM;00;Chr Bs Prins W Alexander;8121BR;OLST;Overijssel;Bo;Protestants-Christelijk;40894;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1773;Olst-Wijhe;8107;Raalte;06QS;00;Basisschool De Bongerd;8131SW;WIJHE;Overijssel;Bo;Rooms-Katholiek;40894;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1773;Olst-Wijhe;8121;Olst-Wijhe;06QS;00;Basisschool De Bongerd;8131SW;WIJHE;Overijssel;Bo;Rooms-Katholiek;40894;0;3;2;3;2;3;1;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
20171001;1773;Olst-Wijhe;8131;Olst-Wijhe;06QS;00;Basisschool De Bongerd;8131SW;WIJHE;Overijssel;Bo;Rooms-Katholiek;40894;0;15;32;19;14;15;20;16;17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;151
20171001;1773;Olst-Wijhe;8121;Olst-Wijhe;06VF;00;Sint Aloysiusschool;8121CW;OLST;Overijssel;Bo;Rooms-Katholiek;40894;0;9;8;5;12;8;7;11;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;74
20171001;1773;Olst-Wijhe;8121;Olst-Wijhe;06YZ;00;KBS St. Jozef;8131DG;WIJHE;Overijssel;Bo;Rooms-Katholiek;40894;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1773;Olst-Wijhe;8131;Olst-Wijhe;06YZ;00;KBS St. Jozef;8131DG;WIJHE;Overijssel;Bo;Rooms-Katholiek;40894;0;14;8;17;13;14;16;12;17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;114
20171001;1773;Olst-Wijhe;  40;Onbekend;07BJ;00;Sint Willibrordschool;8121XD;OLST;Overijssel;Bo;Rooms-Katholiek;40894;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
