PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;175;Ommen;7683;Twenterand;01AK;00;SSBO Johan Seckel;7731BL;OMMEN;Overijssel;Sbo;Protestants-Christelijk;62181;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;175;Ommen;7685;Ommen;01AK;00;SSBO Johan Seckel;7731BL;OMMEN;Overijssel;Sbo;Protestants-Christelijk;62181;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;175;Ommen;7701;Hardenberg;01AK;00;SSBO Johan Seckel;7731BL;OMMEN;Overijssel;Sbo;Protestants-Christelijk;62181;0;0;0;1;3;5;3;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;19
20171001;175;Ommen;7707;Hardenberg;01AK;00;SSBO Johan Seckel;7731BL;OMMEN;Overijssel;Sbo;Protestants-Christelijk;62181;0;0;0;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;175;Ommen;7711;Dalfsen;01AK;00;SSBO Johan Seckel;7731BL;OMMEN;Overijssel;Sbo;Protestants-Christelijk;62181;0;0;1;1;2;6;6;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
20171001;175;Ommen;7721;Dalfsen;01AK;00;SSBO Johan Seckel;7731BL;OMMEN;Overijssel;Sbo;Protestants-Christelijk;62181;0;4;0;0;2;0;1;6;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;23
20171001;175;Ommen;7722;Dalfsen;01AK;00;SSBO Johan Seckel;7731BL;OMMEN;Overijssel;Sbo;Protestants-Christelijk;62181;0;1;1;2;1;3;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;175;Ommen;7731;Ommen;01AK;00;SSBO Johan Seckel;7731BL;OMMEN;Overijssel;Sbo;Protestants-Christelijk;62181;0;2;3;3;4;8;6;6;6;3;1;0;0;0;0;0;0;0;0;0;0;0;0;42
20171001;175;Ommen;7735;Ommen;01AK;00;SSBO Johan Seckel;7731BL;OMMEN;Overijssel;Sbo;Protestants-Christelijk;62181;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;175;Ommen;7771;Hardenberg;01AK;00;SSBO Johan Seckel;7731BL;OMMEN;Overijssel;Sbo;Protestants-Christelijk;62181;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;175;Ommen;7797;Hardenberg;01AK;00;SSBO Johan Seckel;7731BL;OMMEN;Overijssel;Sbo;Protestants-Christelijk;62181;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;175;Ommen;8146;Ommen;01AK;00;SSBO Johan Seckel;7731BL;OMMEN;Overijssel;Sbo;Protestants-Christelijk;62181;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;175;Ommen;8147;Ommen;01AK;00;SSBO Johan Seckel;7731BL;OMMEN;Overijssel;Sbo;Protestants-Christelijk;62181;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;175;Ommen;8148;Ommen;01AK;00;SSBO Johan Seckel;7731BL;OMMEN;Overijssel;Sbo;Protestants-Christelijk;62181;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
