PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1586;Oost Gelre;7006;Doetinchem;00SO;00;Hamalandschool;7131VB;LICHTENVOORDE;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1586;Oost Gelre;7007;Doetinchem;00SO;00;Hamalandschool;7131VB;LICHTENVOORDE;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1586;Oost Gelre;7011;Doetinchem;00SO;00;Hamalandschool;7131VB;LICHTENVOORDE;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1586;Oost Gelre;7021;Bronckhorst;00SO;00;Hamalandschool;7131VB;LICHTENVOORDE;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1586;Oost Gelre;7051;Oude IJsselstreek;00SO;00;Hamalandschool;7131VB;LICHTENVOORDE;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1586;Oost Gelre;7061;Oude IJsselstreek;00SO;00;Hamalandschool;7131VB;LICHTENVOORDE;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1586;Oost Gelre;7065;Oude IJsselstreek;00SO;00;Hamalandschool;7131VB;LICHTENVOORDE;Gelderland;So;Algemeen bijzonder;40631;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1586;Oost Gelre;7075;Oude IJsselstreek;00SO;00;Hamalandschool;7131VB;LICHTENVOORDE;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1586;Oost Gelre;7091;Aalten;00SO;00;Hamalandschool;7131VB;LICHTENVOORDE;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1586;Oost Gelre;7101;Winterswijk;00SO;00;Hamalandschool;7131VB;LICHTENVOORDE;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1586;Oost Gelre;7103;Winterswijk;00SO;00;Hamalandschool;7131VB;LICHTENVOORDE;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1586;Oost Gelre;7104;Winterswijk;00SO;00;Hamalandschool;7131VB;LICHTENVOORDE;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1586;Oost Gelre;7108;Winterswijk;00SO;00;Hamalandschool;7131VB;LICHTENVOORDE;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1586;Oost Gelre;7121;Aalten;00SO;00;Hamalandschool;7131VB;LICHTENVOORDE;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1586;Oost Gelre;7122;Aalten;00SO;00;Hamalandschool;7131VB;LICHTENVOORDE;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1586;Oost Gelre;7123;Aalten;00SO;00;Hamalandschool;7131VB;LICHTENVOORDE;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1586;Oost Gelre;7126;Aalten;00SO;00;Hamalandschool;7131VB;LICHTENVOORDE;Gelderland;So;Algemeen bijzonder;40631;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
