PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;826;Oosterhout;4901;Oosterhout;03UU;00;RK Bs Torenschouw;4901BE;OOSTERHOUT NB;Noord-Brabant;Bo;Rooms-Katholiek;40278;0;16;14;18;13;12;4;7;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;96
20171001;826;Oosterhout;4902;Oosterhout;03UU;00;RK Bs Torenschouw;4901BE;OOSTERHOUT NB;Noord-Brabant;Bo;Rooms-Katholiek;40278;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;826;Oosterhout;4904;Oosterhout;03UU;00;RK Bs Torenschouw;4901BE;OOSTERHOUT NB;Noord-Brabant;Bo;Rooms-Katholiek;40278;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;826;Oosterhout;4905;Oosterhout;03UU;00;RK Bs Torenschouw;4901BE;OOSTERHOUT NB;Noord-Brabant;Bo;Rooms-Katholiek;40278;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;826;Oosterhout;4907;Oosterhout;03UU;00;RK Bs Torenschouw;4901BE;OOSTERHOUT NB;Noord-Brabant;Bo;Rooms-Katholiek;40278;0;1;1;1;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;826;Oosterhout;4908;Oosterhout;03UU;00;RK Bs Torenschouw;4901BE;OOSTERHOUT NB;Noord-Brabant;Bo;Rooms-Katholiek;40278;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;826;Oosterhout;4909;Oosterhout;03UU;00;RK Bs Torenschouw;4901BE;OOSTERHOUT NB;Noord-Brabant;Bo;Rooms-Katholiek;40278;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;826;Oosterhout;4273;Werkendam;03WF;00;RK Bs De Achthoek;4911AT;DEN HOUT NB;Noord-Brabant;Bo;Rooms-Katholiek;40278;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;826;Oosterhout;4771;Moerdijk;03WF;00;RK Bs De Achthoek;4911AT;DEN HOUT NB;Noord-Brabant;Bo;Rooms-Katholiek;40278;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;826;Oosterhout;4845;Drimmelen;03WF;00;RK Bs De Achthoek;4911AT;DEN HOUT NB;Noord-Brabant;Bo;Rooms-Katholiek;40278;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
