PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;85;Ooststellingwerf;8433;Ooststellingwerf;04RK;00;Chr Basissch De Schalmei;8433KG;HAULERWIJK;Friesland;Bo;Protestants-Christelijk;41282;0;14;9;17;14;13;13;20;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;115
20171001;85;Ooststellingwerf;8434;Ooststellingwerf;04RK;00;Chr Basissch De Schalmei;8433KG;HAULERWIJK;Friesland;Bo;Protestants-Christelijk;41282;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;85;Ooststellingwerf;9251;Tytsjerksteradiel;04RK;00;Chr Basissch De Schalmei;8433KG;HAULERWIJK;Friesland;Bo;Protestants-Christelijk;41282;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;85;Ooststellingwerf;9343;Noordenveld;04RK;00;Chr Basissch De Schalmei;8433KG;HAULERWIJK;Friesland;Bo;Protestants-Christelijk;41282;0;0;2;2;1;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;85;Ooststellingwerf;9354;Leek;04RK;00;Chr Basissch De Schalmei;8433KG;HAULERWIJK;Friesland;Bo;Protestants-Christelijk;41282;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;85;Ooststellingwerf;8425;Ooststellingwerf;05MA;00;Chr Bs De Mandebrink;8426BZ;APPELSCHA;Friesland;Bo;Protestants-Christelijk;41282;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;85;Ooststellingwerf;8426;Ooststellingwerf;05MA;00;Chr Bs De Mandebrink;8426BZ;APPELSCHA;Friesland;Bo;Protestants-Christelijk;41282;0;9;14;15;12;13;16;13;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102
20171001;85;Ooststellingwerf;8427;Ooststellingwerf;05MA;00;Chr Bs De Mandebrink;8426BZ;APPELSCHA;Friesland;Bo;Protestants-Christelijk;41282;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;85;Ooststellingwerf;8428;Ooststellingwerf;05MA;00;Chr Bs De Mandebrink;8426BZ;APPELSCHA;Friesland;Bo;Protestants-Christelijk;41282;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;85;Ooststellingwerf;8431;Ooststellingwerf;05MA;00;Chr Bs De Mandebrink;8426BZ;APPELSCHA;Friesland;Bo;Protestants-Christelijk;41282;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;85;Ooststellingwerf;9422;Midden-Drenthe;05MA;00;Chr Bs De Mandebrink;8426BZ;APPELSCHA;Friesland;Bo;Protestants-Christelijk;41282;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;85;Ooststellingwerf;8433;Ooststellingwerf;05YL;00;Basisschool De Paadwizer;8434NN;WASKEMEER;Friesland;Bo;Protestants-Christelijk;41282;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;85;Ooststellingwerf;8434;Ooststellingwerf;05YL;00;Basisschool De Paadwizer;8434NN;WASKEMEER;Friesland;Bo;Protestants-Christelijk;41282;0;5;6;4;6;3;4;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41
20171001;85;Ooststellingwerf;9243;Opsterland;05YL;00;Basisschool De Paadwizer;8434NN;WASKEMEER;Friesland;Bo;Protestants-Christelijk;41282;0;2;0;2;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;85;Ooststellingwerf;8423;Ooststellingwerf;06PJ;00;Basisschool De Peggebult;8435WX;DONKERBROEK;Friesland;Bo;Protestants-Christelijk;41282;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;85;Ooststellingwerf;8435;Ooststellingwerf;06PJ;00;Basisschool De Peggebult;8435WX;DONKERBROEK;Friesland;Bo;Protestants-Christelijk;41282;0;10;6;10;13;7;14;5;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;73
20171001;85;Ooststellingwerf;8425;Ooststellingwerf;09LK;00;Basisschool In De Kring;8431CW;OOSTERWOLDE FR;Friesland;Bo;Protestants-Christelijk;41282;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;85;Ooststellingwerf;8431;Ooststellingwerf;09LK;00;Basisschool In De Kring;8431CW;OOSTERWOLDE FR;Friesland;Bo;Protestants-Christelijk;41282;0;6;11;16;12;15;10;13;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;96
20171001;85;Ooststellingwerf;9203;Smallingerland;09LK;00;Basisschool In De Kring;8431CW;OOSTERWOLDE FR;Friesland;Bo;Protestants-Christelijk;41282;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;85;Ooststellingwerf;8423;Ooststellingwerf;10GM;00;Chr Basisschool De Akker;8431KH;OOSTERWOLDE FR;Friesland;Bo;Protestants-Christelijk;41282;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;85;Ooststellingwerf;8426;Ooststellingwerf;10GM;00;Chr Basisschool De Akker;8431KH;OOSTERWOLDE FR;Friesland;Bo;Protestants-Christelijk;41282;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;85;Ooststellingwerf;8428;Ooststellingwerf;10GM;00;Chr Basisschool De Akker;8431KH;OOSTERWOLDE FR;Friesland;Bo;Protestants-Christelijk;41282;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;85;Ooststellingwerf;8431;Ooststellingwerf;10GM;00;Chr Basisschool De Akker;8431KH;OOSTERWOLDE FR;Friesland;Bo;Protestants-Christelijk;41282;0;14;22;20;29;20;19;23;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;165
20171001;85;Ooststellingwerf;9407;Assen;10GM;00;Chr Basisschool De Akker;8431KH;OOSTERWOLDE FR;Friesland;Bo;Protestants-Christelijk;41282;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;85;Ooststellingwerf;8389;Weststellingwerf;13DS;00;Obs de Tjongeling;8421PE;OLDEBERKOOP;Friesland;Bo;Openbaar;41631;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;85;Ooststellingwerf;8392;Weststellingwerf;13DS;00;Obs de Tjongeling;8421PE;OLDEBERKOOP;Friesland;Bo;Openbaar;41631;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;85;Ooststellingwerf;8411;Heerenveen;13DS;00;Obs de Tjongeling;8421PE;OLDEBERKOOP;Friesland;Bo;Openbaar;41631;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;85;Ooststellingwerf;8413;Heerenveen;13DS;00;Obs de Tjongeling;8421PE;OLDEBERKOOP;Friesland;Bo;Openbaar;41631;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;85;Ooststellingwerf;8421;Ooststellingwerf;13DS;00;Obs de Tjongeling;8421PE;OLDEBERKOOP;Friesland;Bo;Openbaar;41631;0;16;13;12;10;13;13;22;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;113
20171001;85;Ooststellingwerf;8422;Ooststellingwerf;13DS;00;Obs de Tjongeling;8421PE;OLDEBERKOOP;Friesland;Bo;Openbaar;41631;0;0;0;3;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;85;Ooststellingwerf;8412;Heerenveen;13OD;00;Obs De Stelling;8423TG;MAKKINGA;Friesland;Bo;Openbaar;41631;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;85;Ooststellingwerf;8422;Ooststellingwerf;13OD;00;Obs De Stelling;8423TG;MAKKINGA;Friesland;Bo;Openbaar;41631;0;1;0;0;2;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;85;Ooststellingwerf;8423;Ooststellingwerf;13OD;00;Obs De Stelling;8423TG;MAKKINGA;Friesland;Bo;Openbaar;41631;0;12;9;7;11;7;11;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72
20171001;85;Ooststellingwerf;8424;Ooststellingwerf;13OD;00;Obs De Stelling;8423TG;MAKKINGA;Friesland;Bo;Openbaar;41631;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;85;Ooststellingwerf;8392;Weststellingwerf;13SJ;00;O.B.S. MST. K.J. Dijkstra;8424PJ;ELSLOO FR;Friesland;Bo;Openbaar;41631;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;85;Ooststellingwerf;8422;Ooststellingwerf;13SJ;00;O.B.S. MST. K.J. Dijkstra;8424PJ;ELSLOO FR;Friesland;Bo;Openbaar;41631;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;85;Ooststellingwerf;8423;Ooststellingwerf;13SJ;00;O.B.S. MST. K.J. Dijkstra;8424PJ;ELSLOO FR;Friesland;Bo;Openbaar;41631;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;85;Ooststellingwerf;8424;Ooststellingwerf;13SJ;00;O.B.S. MST. K.J. Dijkstra;8424PJ;ELSLOO FR;Friesland;Bo;Openbaar;41631;0;4;4;8;2;1;2;5;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;30
20171001;85;Ooststellingwerf;8426;Ooststellingwerf;13SJ;00;O.B.S. MST. K.J. Dijkstra;8424PJ;ELSLOO FR;Friesland;Bo;Openbaar;41631;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;85;Ooststellingwerf;8437;Westerveld;13SJ;00;O.B.S. MST. K.J. Dijkstra;8424PJ;ELSLOO FR;Friesland;Bo;Openbaar;41631;0;1;1;1;1;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;85;Ooststellingwerf;8438;Westerveld;13SJ;00;O.B.S. MST. K.J. Dijkstra;8424PJ;ELSLOO FR;Friesland;Bo;Openbaar;41631;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;85;Ooststellingwerf;8923;Leeuwarden;13SJ;00;O.B.S. MST. K.J. Dijkstra;8424PJ;ELSLOO FR;Friesland;Bo;Openbaar;41631;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;85;Ooststellingwerf;8425;Ooststellingwerf;13ZL;00;Obs de Riemsloot;8426CT;APPELSCHA;Friesland;Bo;Openbaar;41631;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;85;Ooststellingwerf;8426;Ooststellingwerf;13ZL;00;Obs de Riemsloot;8426CT;APPELSCHA;Friesland;Bo;Openbaar;41631;0;12;26;22;21;22;29;26;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;176
20171001;85;Ooststellingwerf;8427;Ooststellingwerf;13ZL;00;Obs de Riemsloot;8426CT;APPELSCHA;Friesland;Bo;Openbaar;41631;0;2;0;1;1;2;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;85;Ooststellingwerf;8431;Ooststellingwerf;13ZL;00;Obs de Riemsloot;8426CT;APPELSCHA;Friesland;Bo;Openbaar;41631;0;0;0;0;2;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;85;Ooststellingwerf;9422;Midden-Drenthe;13ZL;00;Obs de Riemsloot;8426CT;APPELSCHA;Friesland;Bo;Openbaar;41631;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;85;Ooststellingwerf;8384;Westerveld;14KY;00;OBS De Toekan;8431LV;OOSTERWOLDE FR;Friesland;Bo;Openbaar;41631;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;85;Ooststellingwerf;8411;Heerenveen;14KY;00;OBS De Toekan;8431LV;OOSTERWOLDE FR;Friesland;Bo;Openbaar;41631;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;85;Ooststellingwerf;8423;Ooststellingwerf;14KY;00;OBS De Toekan;8431LV;OOSTERWOLDE FR;Friesland;Bo;Openbaar;41631;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;85;Ooststellingwerf;8431;Ooststellingwerf;14KY;00;OBS De Toekan;8431LV;OOSTERWOLDE FR;Friesland;Bo;Openbaar;41631;0;38;39;36;29;45;45;33;28;3;0;0;0;0;0;0;0;0;0;0;0;0;0;296
20171001;85;Ooststellingwerf;8435;Ooststellingwerf;14KY;00;OBS De Toekan;8431LV;OOSTERWOLDE FR;Friesland;Bo;Openbaar;41631;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;85;Ooststellingwerf;9341;Noordenveld;14KY;00;OBS De Toekan;8431LV;OOSTERWOLDE FR;Friesland;Bo;Openbaar;41631;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;85;Ooststellingwerf;8425;Ooststellingwerf;14QI;00;Openbare Buttingaschool;8431AV;OOSTERWOLDE FR;Friesland;Bo;Openbaar;41631;0;0;0;3;0;1;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;85;Ooststellingwerf;8431;Ooststellingwerf;14QI;00;Openbare Buttingaschool;8431AV;OOSTERWOLDE FR;Friesland;Bo;Openbaar;41631;0;15;15;19;11;9;13;13;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;109
20171001;85;Ooststellingwerf;8425;Ooststellingwerf;15AO;00;OBS Boekhorst;8431CW;OOSTERWOLDE FR;Friesland;Bo;Openbaar;41631;0;1;3;2;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;85;Ooststellingwerf;8426;Ooststellingwerf;15AO;00;OBS Boekhorst;8431CW;OOSTERWOLDE FR;Friesland;Bo;Openbaar;41631;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;85;Ooststellingwerf;8428;Ooststellingwerf;15AO;00;OBS Boekhorst;8431CW;OOSTERWOLDE FR;Friesland;Bo;Openbaar;41631;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;85;Ooststellingwerf;8431;Ooststellingwerf;15AO;00;OBS Boekhorst;8431CW;OOSTERWOLDE FR;Friesland;Bo;Openbaar;41631;0;24;20;17;13;20;15;18;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;138
20171001;85;Ooststellingwerf;9407;Assen;15AO;00;OBS Boekhorst;8431CW;OOSTERWOLDE FR;Friesland;Bo;Openbaar;41631;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;85;Ooststellingwerf;8388;Weststellingwerf;15JD;00;'t Startblok;8435XV;DONKERBROEK;Friesland;Bo;Openbaar;41631;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;85;Ooststellingwerf;8412;Heerenveen;15JD;00;'t Startblok;8435XV;DONKERBROEK;Friesland;Bo;Openbaar;41631;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
