PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;432;Opmeer;1655;Medemblik;07AO;00;Petrus Canisiusschool;1663BA;DE WEERE;Noord-Holland;Bo;Rooms-Katholiek;75375;0;1;0;2;2;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;432;Opmeer;1657;Medemblik;07AO;00;Petrus Canisiusschool;1663BA;DE WEERE;Noord-Holland;Bo;Rooms-Katholiek;75375;0;0;1;1;1;2;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;432;Opmeer;1658;Medemblik;07AO;00;Petrus Canisiusschool;1663BA;DE WEERE;Noord-Holland;Bo;Rooms-Katholiek;75375;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;432;Opmeer;1661;Opmeer;07AO;00;Petrus Canisiusschool;1663BA;DE WEERE;Noord-Holland;Bo;Rooms-Katholiek;75375;0;1;5;0;2;3;4;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20171001;432;Opmeer;1662;Opmeer;07AO;00;Petrus Canisiusschool;1663BA;DE WEERE;Noord-Holland;Bo;Rooms-Katholiek;75375;0;3;3;3;1;3;5;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
20171001;432;Opmeer;1663;Opmeer;07AO;00;Petrus Canisiusschool;1663BA;DE WEERE;Noord-Holland;Bo;Rooms-Katholiek;75375;0;0;1;0;4;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;432;Opmeer;1676;Medemblik;07AO;00;Petrus Canisiusschool;1663BA;DE WEERE;Noord-Holland;Bo;Rooms-Katholiek;75375;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;432;Opmeer;1715;Opmeer;07AO;00;Petrus Canisiusschool;1663BA;DE WEERE;Noord-Holland;Bo;Rooms-Katholiek;75375;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;432;Opmeer;1718;Opmeer;07AO;00;Petrus Canisiusschool;1663BA;DE WEERE;Noord-Holland;Bo;Rooms-Katholiek;75375;0;1;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;432;Opmeer;1719;Opmeer;07AO;00;Petrus Canisiusschool;1663BA;DE WEERE;Noord-Holland;Bo;Rooms-Katholiek;75375;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
