PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;828;Oss;5341;Oss;00CD;00;Basisschool Lockaert;5345JG;OSS;Noord-Brabant;Bo;Algemeen bijzonder;41228;0;4;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;828;Oss;5344;Oss;00CD;00;Basisschool Lockaert;5345JG;OSS;Noord-Brabant;Bo;Algemeen bijzonder;41228;0;0;1;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;828;Oss;5345;Oss;00CD;00;Basisschool Lockaert;5345JG;OSS;Noord-Brabant;Bo;Algemeen bijzonder;41228;0;22;21;15;12;18;14;13;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;130
20171001;828;Oss;5346;Oss;00CD;00;Basisschool Lockaert;5345JG;OSS;Noord-Brabant;Bo;Algemeen bijzonder;41228;0;1;0;1;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;828;Oss;5348;Oss;00CD;00;Basisschool Lockaert;5345JG;OSS;Noord-Brabant;Bo;Algemeen bijzonder;41228;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;828;Oss;5388;Bernheze;00CD;00;Basisschool Lockaert;5345JG;OSS;Noord-Brabant;Bo;Algemeen bijzonder;41228;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;828;Oss;4007;Tiel;00RT;00;De Sonnewijser;5348RD;OSS;Noord-Brabant;Vso;Algemeen bijzonder;42572;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2
20171001;828;Oss;4011;Buren;00RT;00;De Sonnewijser;5348RD;OSS;Noord-Brabant;Vso;Algemeen bijzonder;42572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
20171001;828;Oss;4063;Neerijnen;00RT;00;De Sonnewijser;5348RD;OSS;Noord-Brabant;Vso;Algemeen bijzonder;42572;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;828;Oss;4103;Culemborg;00RT;00;De Sonnewijser;5348RD;OSS;Noord-Brabant;Vso;Algemeen bijzonder;42572;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;828;Oss;4105;Culemborg;00RT;00;De Sonnewijser;5348RD;OSS;Noord-Brabant;Vso;Algemeen bijzonder;42572;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;828;Oss;4184;Neerijnen;00RT;00;De Sonnewijser;5348RD;OSS;Noord-Brabant;Vso;Algemeen bijzonder;42572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;828;Oss;4185;Neerijnen;00RT;00;De Sonnewijser;5348RD;OSS;Noord-Brabant;Vso;Algemeen bijzonder;42572;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2
20171001;828;Oss;5062;Oisterwijk;00RT;00;De Sonnewijser;5348RD;OSS;Noord-Brabant;Vso;Algemeen bijzonder;42572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;828;Oss;5283;Boxtel;00RT;00;De Sonnewijser;5348RD;OSS;Noord-Brabant;Vso;Algemeen bijzonder;42572;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2
20171001;828;Oss;5301;Zaltbommel;00RT;00;De Sonnewijser;5348RD;OSS;Noord-Brabant;Vso;Algemeen bijzonder;42572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;828;Oss;5341;Oss;00RT;00;De Sonnewijser;5348RD;OSS;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;0;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6
