PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;584;Oud-Beijerland;3261;Oud-Beijerland;06KN;00;Eben Haezer Basisschool;3262JS;OUD-BEIJERLAND;Zuid-Holland;Bo;Reformatorisch;30133;0;14;13;15;16;8;16;13;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;115
20171001;584;Oud-Beijerland;3262;Oud-Beijerland;06KN;00;Eben Haezer Basisschool;3262JS;OUD-BEIJERLAND;Zuid-Holland;Bo;Reformatorisch;30133;0;34;26;28;26;29;36;29;24;4;0;0;0;0;0;0;0;0;0;0;0;0;0;236
20171001;584;Oud-Beijerland;3263;Oud-Beijerland;06KN;00;Eben Haezer Basisschool;3262JS;OUD-BEIJERLAND;Zuid-Holland;Bo;Reformatorisch;30133;0;3;2;9;4;6;5;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36
20171001;584;Oud-Beijerland;3264;Korendijk;06KN;00;Eben Haezer Basisschool;3262JS;OUD-BEIJERLAND;Zuid-Holland;Bo;Reformatorisch;30133;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;584;Oud-Beijerland;3265;Korendijk;06KN;00;Eben Haezer Basisschool;3262JS;OUD-BEIJERLAND;Zuid-Holland;Bo;Reformatorisch;30133;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;584;Oud-Beijerland;3267;Korendijk;06KN;00;Eben Haezer Basisschool;3262JS;OUD-BEIJERLAND;Zuid-Holland;Bo;Reformatorisch;30133;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;584;Oud-Beijerland;3271;Binnenmaas;06KN;00;Eben Haezer Basisschool;3262JS;OUD-BEIJERLAND;Zuid-Holland;Bo;Reformatorisch;30133;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;584;Oud-Beijerland;3274;Binnenmaas;06KN;00;Eben Haezer Basisschool;3262JS;OUD-BEIJERLAND;Zuid-Holland;Bo;Reformatorisch;30133;0;0;1;0;1;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;584;Oud-Beijerland;3281;Cromstrijen;06KN;00;Eben Haezer Basisschool;3262JS;OUD-BEIJERLAND;Zuid-Holland;Bo;Reformatorisch;30133;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;584;Oud-Beijerland;3284;Korendijk;06KN;00;Eben Haezer Basisschool;3262JS;OUD-BEIJERLAND;Zuid-Holland;Bo;Reformatorisch;30133;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
