PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;437;Ouder-Amstel;1019;Amsterdam;03TT;00;A Bekemasch v RK Basison;1115VW;DUIVENDRECHT;Noord-Holland;Bo;Rooms-Katholiek;41023;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;437;Ouder-Amstel;1097;Amsterdam;03TT;00;A Bekemasch v RK Basison;1115VW;DUIVENDRECHT;Noord-Holland;Bo;Rooms-Katholiek;41023;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;437;Ouder-Amstel;1102;Amsterdam;03TT;00;A Bekemasch v RK Basison;1115VW;DUIVENDRECHT;Noord-Holland;Bo;Rooms-Katholiek;41023;0;1;4;2;3;3;4;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
20171001;437;Ouder-Amstel;1103;Amsterdam;03TT;00;A Bekemasch v RK Basison;1115VW;DUIVENDRECHT;Noord-Holland;Bo;Rooms-Katholiek;41023;0;3;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;437;Ouder-Amstel;1104;Amsterdam;03TT;00;A Bekemasch v RK Basison;1115VW;DUIVENDRECHT;Noord-Holland;Bo;Rooms-Katholiek;41023;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;437;Ouder-Amstel;1106;Amsterdam;03TT;00;A Bekemasch v RK Basison;1115VW;DUIVENDRECHT;Noord-Holland;Bo;Rooms-Katholiek;41023;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;437;Ouder-Amstel;1108;Amsterdam;03TT;00;A Bekemasch v RK Basison;1115VW;DUIVENDRECHT;Noord-Holland;Bo;Rooms-Katholiek;41023;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;437;Ouder-Amstel;1111;Diemen;03TT;00;A Bekemasch v RK Basison;1115VW;DUIVENDRECHT;Noord-Holland;Bo;Rooms-Katholiek;41023;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;437;Ouder-Amstel;1112;Diemen;03TT;00;A Bekemasch v RK Basison;1115VW;DUIVENDRECHT;Noord-Holland;Bo;Rooms-Katholiek;41023;0;3;6;5;9;9;7;5;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;51
20171001;437;Ouder-Amstel;1113;Diemen;03TT;00;A Bekemasch v RK Basison;1115VW;DUIVENDRECHT;Noord-Holland;Bo;Rooms-Katholiek;41023;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;437;Ouder-Amstel;1114;Ouder-Amstel;03TT;00;A Bekemasch v RK Basison;1115VW;DUIVENDRECHT;Noord-Holland;Bo;Rooms-Katholiek;41023;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;437;Ouder-Amstel;1115;Ouder-Amstel;03TT;00;A Bekemasch v RK Basison;1115VW;DUIVENDRECHT;Noord-Holland;Bo;Rooms-Katholiek;41023;0;18;22;15;26;17;9;20;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;140
20171001;437;Ouder-Amstel;1191;Ouder-Amstel;03TT;00;A Bekemasch v RK Basison;1115VW;DUIVENDRECHT;Noord-Holland;Bo;Rooms-Katholiek;41023;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;437;Ouder-Amstel;2152;Haarlemmermeer;03TT;00;A Bekemasch v RK Basison;1115VW;DUIVENDRECHT;Noord-Holland;Bo;Rooms-Katholiek;41023;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;437;Ouder-Amstel;2154;Haarlemmermeer;03TT;00;A Bekemasch v RK Basison;1115VW;DUIVENDRECHT;Noord-Holland;Bo;Rooms-Katholiek;41023;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;437;Ouder-Amstel;  30;ander land;06AY;00;Obs Jan Hekman;1191JP;OUDERKERK AAN DE AMSTEL;Noord-Holland;Bo;Openbaar;41580;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;437;Ouder-Amstel;1077;Amsterdam;06AY;00;Obs Jan Hekman;1191JP;OUDERKERK AAN DE AMSTEL;Noord-Holland;Bo;Openbaar;41580;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;437;Ouder-Amstel;1078;Amsterdam;06AY;00;Obs Jan Hekman;1191JP;OUDERKERK AAN DE AMSTEL;Noord-Holland;Bo;Openbaar;41580;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;437;Ouder-Amstel;1083;Amsterdam;06AY;00;Obs Jan Hekman;1191JP;OUDERKERK AAN DE AMSTEL;Noord-Holland;Bo;Openbaar;41580;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;437;Ouder-Amstel;1086;Amsterdam;06AY;00;Obs Jan Hekman;1191JP;OUDERKERK AAN DE AMSTEL;Noord-Holland;Bo;Openbaar;41580;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;437;Ouder-Amstel;1087;Amsterdam;06AY;00;Obs Jan Hekman;1191JP;OUDERKERK AAN DE AMSTEL;Noord-Holland;Bo;Openbaar;41580;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;437;Ouder-Amstel;1102;Amsterdam;06AY;00;Obs Jan Hekman;1191JP;OUDERKERK AAN DE AMSTEL;Noord-Holland;Bo;Openbaar;41580;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;437;Ouder-Amstel;1106;Amsterdam;06AY;00;Obs Jan Hekman;1191JP;OUDERKERK AAN DE AMSTEL;Noord-Holland;Bo;Openbaar;41580;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
