PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1894;Peel en Maas;5768;Peel en Maas;02EG;00;SBO De Fontein;5988AW;HELDEN;Limburg;Sbo;Rooms-Katholiek;47959;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1894;Peel en Maas;5981;Peel en Maas;02EG;00;SBO De Fontein;5988AW;HELDEN;Limburg;Sbo;Rooms-Katholiek;47959;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1894;Peel en Maas;5984;Peel en Maas;02EG;00;SBO De Fontein;5988AW;HELDEN;Limburg;Sbo;Rooms-Katholiek;47959;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1894;Peel en Maas;5985;Peel en Maas;02EG;00;SBO De Fontein;5988AW;HELDEN;Limburg;Sbo;Rooms-Katholiek;47959;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1894;Peel en Maas;5986;Peel en Maas;02EG;00;SBO De Fontein;5988AW;HELDEN;Limburg;Sbo;Rooms-Katholiek;47959;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;5988;Peel en Maas;02EG;00;SBO De Fontein;5988AW;HELDEN;Limburg;Sbo;Rooms-Katholiek;47959;0;0;0;0;0;1;4;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;1894;Peel en Maas;5991;Peel en Maas;02EG;00;SBO De Fontein;5988AW;HELDEN;Limburg;Sbo;Rooms-Katholiek;47959;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;5993;Peel en Maas;02EG;00;SBO De Fontein;5988AW;HELDEN;Limburg;Sbo;Rooms-Katholiek;47959;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;5995;Peel en Maas;02EG;00;SBO De Fontein;5988AW;HELDEN;Limburg;Sbo;Rooms-Katholiek;47959;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1894;Peel en Maas;5913;Venlo;03DH;00;OBS De Omnibus;5991PX;BAARLO LB;Limburg;Bo;Openbaar;41398;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;5921;Venlo;03DH;00;OBS De Omnibus;5991PX;BAARLO LB;Limburg;Bo;Openbaar;41398;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;5923;Venlo;03DH;00;OBS De Omnibus;5991PX;BAARLO LB;Limburg;Bo;Openbaar;41398;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;5924;Venlo;03DH;00;OBS De Omnibus;5991PX;BAARLO LB;Limburg;Bo;Openbaar;41398;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1894;Peel en Maas;5925;Venlo;03DH;00;OBS De Omnibus;5991PX;BAARLO LB;Limburg;Bo;Openbaar;41398;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;5931;Venlo;03DH;00;OBS De Omnibus;5991PX;BAARLO LB;Limburg;Bo;Openbaar;41398;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1894;Peel en Maas;5981;Peel en Maas;03DH;00;OBS De Omnibus;5991PX;BAARLO LB;Limburg;Bo;Openbaar;41398;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;5991;Peel en Maas;03DH;00;OBS De Omnibus;5991PX;BAARLO LB;Limburg;Bo;Openbaar;41398;0;27;16;18;20;21;7;15;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;142
20171001;1894;Peel en Maas;5993;Peel en Maas;03DH;00;OBS De Omnibus;5991PX;BAARLO LB;Limburg;Bo;Openbaar;41398;0;0;1;1;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;1894;Peel en Maas;6369;Simpelveld;03DH;00;OBS De Omnibus;5991PX;BAARLO LB;Limburg;Bo;Openbaar;41398;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1894;Peel en Maas;5753;Deurne;03VD;00;BS Onder de Linden;5986AE;BERINGE;Limburg;Bo;Rooms-Katholiek;47959;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;5981;Peel en Maas;03VD;00;BS Onder de Linden;5986AE;BERINGE;Limburg;Bo;Rooms-Katholiek;47959;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1894;Peel en Maas;5986;Peel en Maas;03VD;00;BS Onder de Linden;5986AE;BERINGE;Limburg;Bo;Rooms-Katholiek;47959;0;20;15;18;20;22;16;23;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;154
20171001;1894;Peel en Maas;5993;Peel en Maas;03VD;00;BS Onder de Linden;5986AE;BERINGE;Limburg;Bo;Rooms-Katholiek;47959;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;5981;Peel en Maas;03VE;00;Basisschool De Kemp;5987AH;EGCHEL;Limburg;Bo;Rooms-Katholiek;47959;0;3;7;1;1;2;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
20171001;1894;Peel en Maas;5987;Peel en Maas;03VE;00;Basisschool De Kemp;5987AH;EGCHEL;Limburg;Bo;Rooms-Katholiek;47959;0;16;14;13;16;16;11;12;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114
20171001;1894;Peel en Maas;5988;Peel en Maas;03VE;00;Basisschool De Kemp;5987AH;EGCHEL;Limburg;Bo;Rooms-Katholiek;47959;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1894;Peel en Maas;6086;Leudal;03VE;00;Basisschool De Kemp;5987AH;EGCHEL;Limburg;Bo;Rooms-Katholiek;47959;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1894;Peel en Maas;5995;Peel en Maas;03VW;00;RK Basissch De Merwijck;5995XK;KESSEL LB;Limburg;Bo;Rooms-Katholiek;47959;0;24;32;32;34;37;33;30;34;9;0;0;0;0;0;0;0;0;0;0;0;0;0;265
20171001;1894;Peel en Maas;5975;Horst aan de Maas;03VZ;00;Basissch De Springplank;5984NB;KONINGSLUST;Limburg;Bo;Rooms-Katholiek;47959;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;5981;Peel en Maas;03VZ;00;Basissch De Springplank;5984NB;KONINGSLUST;Limburg;Bo;Rooms-Katholiek;47959;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1894;Peel en Maas;5984;Peel en Maas;03VZ;00;Basissch De Springplank;5984NB;KONINGSLUST;Limburg;Bo;Rooms-Katholiek;47959;0;6;6;3;10;11;4;14;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;60
20171001;1894;Peel en Maas;5988;Peel en Maas;03VZ;00;Basissch De Springplank;5984NB;KONINGSLUST;Limburg;Bo;Rooms-Katholiek;47959;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;5985;Peel en Maas;05BN;00;Basisschool De Horizon;5985PV;GRASHOEK;Limburg;Bo;Rooms-Katholiek;47959;0;13;18;22;21;19;18;14;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140
20171001;1894;Peel en Maas;5988;Peel en Maas;05BN;00;Basisschool De Horizon;5985PV;GRASHOEK;Limburg;Bo;Rooms-Katholiek;47959;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;5981;Peel en Maas;06AN;00;Nieuweschool;5981DS;PANNINGEN;Limburg;Bo;Openbaar;47959;0;9;12;12;15;11;15;22;22;4;0;0;0;0;0;0;0;0;0;0;0;0;0;122
20171001;1894;Peel en Maas;5986;Peel en Maas;06AN;00;Nieuweschool;5981DS;PANNINGEN;Limburg;Bo;Openbaar;47959;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;5987;Peel en Maas;06AN;00;Nieuweschool;5981DS;PANNINGEN;Limburg;Bo;Openbaar;47959;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1894;Peel en Maas;5988;Peel en Maas;06AN;00;Nieuweschool;5981DS;PANNINGEN;Limburg;Bo;Openbaar;47959;0;7;1;1;5;1;4;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
20171001;1894;Peel en Maas;5993;Peel en Maas;06AN;00;Nieuweschool;5981DS;PANNINGEN;Limburg;Bo;Openbaar;47959;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;5995;Peel en Maas;06AN;00;Nieuweschool;5981DS;PANNINGEN;Limburg;Bo;Openbaar;47959;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;6081;Leudal;06AN;00;Nieuweschool;5981DS;PANNINGEN;Limburg;Bo;Openbaar;47959;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;5921;Venlo;06LB;00;Basisschool De Violier;5993BT;MAASBREE;Limburg;Bo;Rooms-Katholiek;75597;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;5975;Horst aan de Maas;06LB;00;Basisschool De Violier;5993BT;MAASBREE;Limburg;Bo;Rooms-Katholiek;75597;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1894;Peel en Maas;5991;Peel en Maas;06LB;00;Basisschool De Violier;5993BT;MAASBREE;Limburg;Bo;Rooms-Katholiek;75597;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1894;Peel en Maas;5993;Peel en Maas;06LB;00;Basisschool De Violier;5993BT;MAASBREE;Limburg;Bo;Rooms-Katholiek;75597;0;54;63;52;73;77;71;77;74;7;0;0;0;0;0;0;0;0;0;0;0;0;0;548
20171001;1894;Peel en Maas;5995;Peel en Maas;07CI;00;RK Basisschool Dr Poels;5995NP;KESSEL LB;Limburg;Bo;Rooms-Katholiek;47959;0;5;5;5;9;9;10;10;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;60
20171001;1894;Peel en Maas;6086;Leudal;07CI;00;RK Basisschool Dr Poels;5995NP;KESSEL LB;Limburg;Bo;Rooms-Katholiek;47959;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;  20;Duitsland;09AH;00;BS den Doelhof;5768BH;MEIJEL;Limburg;Bo;Rooms-Katholiek;74868;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;5758;Deurne;09AH;00;BS den Doelhof;5768BH;MEIJEL;Limburg;Bo;Rooms-Katholiek;74868;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1894;Peel en Maas;5768;Peel en Maas;09AH;00;BS den Doelhof;5768BH;MEIJEL;Limburg;Bo;Rooms-Katholiek;74868;0;56;51;55;45;75;68;65;67;3;0;0;0;0;0;0;0;0;0;0;0;0;0;485
20171001;1894;Peel en Maas;5981;Peel en Maas;09AH;00;BS den Doelhof;5768BH;MEIJEL;Limburg;Bo;Rooms-Katholiek;74868;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;5986;Peel en Maas;09AH;00;BS den Doelhof;5768BH;MEIJEL;Limburg;Bo;Rooms-Katholiek;74868;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1894;Peel en Maas;6035;Nederweert;09AH;00;BS den Doelhof;5768BH;MEIJEL;Limburg;Bo;Rooms-Katholiek;74868;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1894;Peel en Maas;6089;Leudal;09AH;00;BS den Doelhof;5768BH;MEIJEL;Limburg;Bo;Rooms-Katholiek;74868;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1894;Peel en Maas;6107;Maasgouw;09AH;00;BS den Doelhof;5768BH;MEIJEL;Limburg;Bo;Rooms-Katholiek;74868;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
