PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;765;Pekela;9644;Veendam;05RE;00;Basissch Gr v Prinsterer;9663GG;NIEUWE PEKELA;Groningen;Bo;Protestants-Christelijk;41845;0;0;1;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;765;Pekela;9663;Pekela;05RE;00;Basissch Gr v Prinsterer;9663GG;NIEUWE PEKELA;Groningen;Bo;Protestants-Christelijk;41845;0;21;17;22;18;19;17;17;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;144
20171001;765;Pekela;9665;Pekela;05RE;00;Basissch Gr v Prinsterer;9663GG;NIEUWE PEKELA;Groningen;Bo;Protestants-Christelijk;41845;0;0;1;3;2;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;765;Pekela;9663;Pekela;05RZ;00;Chr Bs De Zevensprong;9665HS;OUDE PEKELA;Groningen;Bo;Protestants-Christelijk;41845;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;765;Pekela;9665;Pekela;05RZ;00;Chr Bs De Zevensprong;9665HS;OUDE PEKELA;Groningen;Bo;Protestants-Christelijk;41845;0;11;11;11;10;6;8;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70
20171001;765;Pekela;9671;Oldambt;05RZ;00;Chr Bs De Zevensprong;9665HS;OUDE PEKELA;Groningen;Bo;Protestants-Christelijk;41845;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;765;Pekela;9584;Stadskanaal;06SQ;00;Sint Willibrordusschool;9665HS;OUDE PEKELA;Groningen;Bo;Rooms-Katholiek;45000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;765;Pekela;9644;Veendam;06SQ;00;Sint Willibrordusschool;9665HS;OUDE PEKELA;Groningen;Bo;Rooms-Katholiek;45000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;765;Pekela;9648;Veendam;06SQ;00;Sint Willibrordusschool;9665HS;OUDE PEKELA;Groningen;Bo;Rooms-Katholiek;45000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;765;Pekela;9663;Pekela;06SQ;00;Sint Willibrordusschool;9665HS;OUDE PEKELA;Groningen;Bo;Rooms-Katholiek;45000;0;1;1;4;1;4;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;765;Pekela;9665;Pekela;06SQ;00;Sint Willibrordusschool;9665HS;OUDE PEKELA;Groningen;Bo;Rooms-Katholiek;45000;0;14;22;19;14;11;17;14;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;124
20171001;765;Pekela;9674;Oldambt;06SQ;00;Sint Willibrordusschool;9665HS;OUDE PEKELA;Groningen;Bo;Rooms-Katholiek;45000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;765;Pekela;9679;Oldambt;06SQ;00;Sint Willibrordusschool;9665HS;OUDE PEKELA;Groningen;Bo;Rooms-Katholiek;45000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;765;Pekela;9681;Oldambt;06SQ;00;Sint Willibrordusschool;9665HS;OUDE PEKELA;Groningen;Bo;Rooms-Katholiek;45000;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;765;Pekela;9686;Oldambt;06SQ;00;Sint Willibrordusschool;9665HS;OUDE PEKELA;Groningen;Bo;Rooms-Katholiek;45000;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;765;Pekela;9695;Bellingwedde;06SQ;00;Sint Willibrordusschool;9665HS;OUDE PEKELA;Groningen;Bo;Rooms-Katholiek;45000;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;765;Pekela;9697;Bellingwedde;06SQ;00;Sint Willibrordusschool;9665HS;OUDE PEKELA;Groningen;Bo;Rooms-Katholiek;45000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;765;Pekela;9698;Bellingwedde;06SQ;00;Sint Willibrordusschool;9665HS;OUDE PEKELA;Groningen;Bo;Rooms-Katholiek;45000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;765;Pekela;9644;Veendam;10BG;00;Basisschool De Linde;9663GC;NIEUWE PEKELA;Groningen;Bo;Openbaar;41613;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;765;Pekela;9661;Stadskanaal;10BG;00;Basisschool De Linde;9663GC;NIEUWE PEKELA;Groningen;Bo;Openbaar;41613;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;765;Pekela;9663;Pekela;10BG;00;Basisschool De Linde;9663GC;NIEUWE PEKELA;Groningen;Bo;Openbaar;41613;0;27;12;23;13;12;15;18;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;136
