PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;273;Putten;3861;Nijkerk;05SJ;00;PCB De Wegwijzer;3882XE;PUTTEN;Gelderland;Bo;Protestants-Christelijk;90169;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;273;Putten;3881;Putten;05SJ;00;PCB De Wegwijzer;3882XE;PUTTEN;Gelderland;Bo;Protestants-Christelijk;90169;0;10;9;14;14;16;10;13;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;102
20171001;273;Putten;3882;Putten;05SJ;00;PCB De Wegwijzer;3882XE;PUTTEN;Gelderland;Bo;Protestants-Christelijk;90169;0;15;14;17;23;22;27;14;26;6;0;0;0;0;0;0;0;0;0;0;0;0;0;164
20171001;273;Putten;3843;Harderwijk;06QC;00;Gabrielschool Jenaplan;3881CC;PUTTEN;Gelderland;Bo;Rooms-Katholiek;40950;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;273;Putten;3851;Ermelo;06QC;00;Gabrielschool Jenaplan;3881CC;PUTTEN;Gelderland;Bo;Rooms-Katholiek;40950;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;273;Putten;3853;Ermelo;06QC;00;Gabrielschool Jenaplan;3881CC;PUTTEN;Gelderland;Bo;Rooms-Katholiek;40950;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;273;Putten;3862;Nijkerk;06QC;00;Gabrielschool Jenaplan;3881CC;PUTTEN;Gelderland;Bo;Rooms-Katholiek;40950;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;273;Putten;3881;Putten;06QC;00;Gabrielschool Jenaplan;3881CC;PUTTEN;Gelderland;Bo;Rooms-Katholiek;40950;0;12;11;7;13;16;10;16;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;102
20171001;273;Putten;3882;Putten;06QC;00;Gabrielschool Jenaplan;3881CC;PUTTEN;Gelderland;Bo;Rooms-Katholiek;40950;0;32;36;23;22;23;18;16;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;184
20171001;273;Putten;3886;Barneveld;06QC;00;Gabrielschool Jenaplan;3881CC;PUTTEN;Gelderland;Bo;Rooms-Katholiek;40950;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;273;Putten;8075;Nunspeet;06QC;00;Gabrielschool Jenaplan;3881CC;PUTTEN;Gelderland;Bo;Rooms-Katholiek;40950;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;273;Putten;3881;Putten;09CU;00;PCB De Pelikaan;3882GN;PUTTEN;Gelderland;Bo;Protestants-Christelijk;90169;0;3;2;4;1;2;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
20171001;273;Putten;3882;Putten;09CU;00;PCB De Pelikaan;3882GN;PUTTEN;Gelderland;Bo;Protestants-Christelijk;90169;0;19;24;29;31;20;17;36;19;2;0;0;0;0;0;0;0;0;0;0;0;0;0;197
20171001;273;Putten;3894;Zeewolde;09CU;00;PCB De Pelikaan;3882GN;PUTTEN;Gelderland;Bo;Protestants-Christelijk;90169;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;273;Putten;3881;Putten;09ZA;00;PCB Hoef;3882RV;PUTTEN;Gelderland;Bo;Protestants-Christelijk;90169;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;273;Putten;3882;Putten;09ZA;00;PCB Hoef;3882RV;PUTTEN;Gelderland;Bo;Protestants-Christelijk;90169;0;10;5;9;9;13;9;13;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;85
