PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;177;Raalte;8131;Olst-Wijhe;03TX;00;Basisschool St Nicolaas;8144RG;LIERDERHOLTHUIS;Overijssel;Bo;Rooms-Katholiek;40888;0;0;1;0;2;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;177;Raalte;8141;Raalte;03TX;00;Basisschool St Nicolaas;8144RG;LIERDERHOLTHUIS;Overijssel;Bo;Rooms-Katholiek;40888;0;1;1;0;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;177;Raalte;8144;Raalte;03TX;00;Basisschool St Nicolaas;8144RG;LIERDERHOLTHUIS;Overijssel;Bo;Rooms-Katholiek;40888;0;3;8;3;4;6;3;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;37
20171001;177;Raalte;8102;Raalte;03YN;00;Sint Bernadette;8111PK;HEETEN;Overijssel;Bo;Rooms-Katholiek;40894;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;177;Raalte;8111;Raalte;03YN;00;Sint Bernadette;8111PK;HEETEN;Overijssel;Bo;Rooms-Katholiek;40894;0;31;42;25;30;34;27;33;34;3;0;0;0;0;0;0;0;0;0;0;0;0;0;259
20171001;177;Raalte;8112;Raalte;03YN;00;Sint Bernadette;8111PK;HEETEN;Overijssel;Bo;Rooms-Katholiek;40894;0;1;1;1;3;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;177;Raalte;7722;Dalfsen;05HL;00;De Dolfijn;8141BP;HEINO;Overijssel;Bo;Rooms-Katholiek;40894;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;177;Raalte;8055;Raalte;05HL;00;De Dolfijn;8141BP;HEINO;Overijssel;Bo;Rooms-Katholiek;40894;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;177;Raalte;8101;Raalte;05HL;00;De Dolfijn;8141BP;HEINO;Overijssel;Bo;Rooms-Katholiek;40894;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;177;Raalte;8102;Raalte;05HL;00;De Dolfijn;8141BP;HEINO;Overijssel;Bo;Rooms-Katholiek;40894;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
