PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;703;Reimerswaal;4401;Reimerswaal;03IW;00;Chr Basissch Het Kompas;4401HZ;YERSEKE;Zeeland;Bo;Protestants-Christelijk;41582;0;25;28;35;18;35;21;26;31;5;0;0;0;0;0;0;0;0;0;0;0;0;0;224
20171001;703;Reimerswaal;4415;Reimerswaal;03IW;00;Chr Basissch Het Kompas;4401HZ;YERSEKE;Zeeland;Bo;Protestants-Christelijk;41582;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;703;Reimerswaal;4416;Reimerswaal;03IW;00;Chr Basissch Het Kompas;4401HZ;YERSEKE;Zeeland;Bo;Protestants-Christelijk;41582;0;0;1;0;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;703;Reimerswaal;4416;Reimerswaal;03KV;00;Basisschool Dr A Comrie;4416DE;KRUININGEN;Zeeland;Bo;Reformatorisch;29473;0;35;39;39;38;34;28;35;32;3;0;0;0;0;0;0;0;0;0;0;0;0;0;283
20171001;703;Reimerswaal;4413;Reimerswaal;04RC;00;Chr BS De Bornput;4415AP;OOSTDIJK;Zeeland;Bo;Reformatorisch;39001;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;703;Reimerswaal;4414;Reimerswaal;04RC;00;Chr BS De Bornput;4415AP;OOSTDIJK;Zeeland;Bo;Reformatorisch;39001;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;703;Reimerswaal;4415;Reimerswaal;04RC;00;Chr BS De Bornput;4415AP;OOSTDIJK;Zeeland;Bo;Reformatorisch;39001;0;11;7;12;7;16;7;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75
20171001;703;Reimerswaal;4416;Reimerswaal;04RC;00;Chr BS De Bornput;4415AP;OOSTDIJK;Zeeland;Bo;Reformatorisch;39001;0;1;1;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;703;Reimerswaal;4414;Reimerswaal;04VL;00;Chr Basissch d'n Akker;4414AL;WAARDE;Zeeland;Bo;Reformatorisch;45774;0;9;22;14;20;17;21;18;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;137
20171001;703;Reimerswaal;4411;Reimerswaal;05FH;00;De Horizon;4411AE;RILLAND;Zeeland;Bo;Interconfessioneel;77533;0;15;20;21;14;18;20;17;16;3;0;0;0;0;0;0;0;0;0;0;0;0;0;144
20171001;703;Reimerswaal;4413;Reimerswaal;05FH;00;De Horizon;4411AE;RILLAND;Zeeland;Bo;Interconfessioneel;77533;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;703;Reimerswaal;4611;Bergen op Zoom;05FH;00;De Horizon;4411AE;RILLAND;Zeeland;Bo;Interconfessioneel;77533;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;703;Reimerswaal;  10;Belgie;05SP;00;Basisschool De Zandbaan;4411BL;RILLAND;Zeeland;Bo;Reformatorisch;90351;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;703;Reimerswaal;4411;Reimerswaal;05SP;00;Basisschool De Zandbaan;4411BL;RILLAND;Zeeland;Bo;Reformatorisch;90351;0;5;7;7;8;11;9;11;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;67
20171001;703;Reimerswaal;4401;Reimerswaal;06OD;00;RK BS Schuttevaer;4417CD;HANSWEERT;Zeeland;Bo;Rooms-Katholiek;77533;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;703;Reimerswaal;4417;Reimerswaal;06OD;00;RK BS Schuttevaer;4417CD;HANSWEERT;Zeeland;Bo;Rooms-Katholiek;77533;0;7;9;12;6;5;10;4;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;64
20171001;703;Reimerswaal;4423;Kapelle;06OD;00;RK BS Schuttevaer;4417CD;HANSWEERT;Zeeland;Bo;Rooms-Katholiek;77533;0;1;0;2;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;703;Reimerswaal;4434;Borsele;06OD;00;RK BS Schuttevaer;4417CD;HANSWEERT;Zeeland;Bo;Rooms-Katholiek;77533;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;703;Reimerswaal;4458;Goes;06OD;00;RK BS Schuttevaer;4417CD;HANSWEERT;Zeeland;Bo;Rooms-Katholiek;77533;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;703;Reimerswaal;4463;Goes;06OD;00;RK BS Schuttevaer;4417CD;HANSWEERT;Zeeland;Bo;Rooms-Katholiek;77533;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;703;Reimerswaal;4413;Reimerswaal;07JN;00;Julianabasisschool;4413AG;KRABBENDIJKE;Zeeland;Bo;Reformatorisch;29823;0;35;40;29;35;37;31;32;33;2;0;0;0;0;0;0;0;0;0;0;0;0;0;274
20171001;703;Reimerswaal;4414;Reimerswaal;07JN;00;Julianabasisschool;4413AG;KRABBENDIJKE;Zeeland;Bo;Reformatorisch;29823;0;0;0;0;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;703;Reimerswaal;  40;Onbekend;07JR;00;Basissch De Welle;4416AT;KRUININGEN;Zeeland;Bo;Protestants-Christelijk;41582;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;703;Reimerswaal;4413;Reimerswaal;07JR;00;Basissch De Welle;4416AT;KRUININGEN;Zeeland;Bo;Protestants-Christelijk;41582;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;703;Reimerswaal;4414;Reimerswaal;07JR;00;Basissch De Welle;4416AT;KRUININGEN;Zeeland;Bo;Protestants-Christelijk;41582;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;703;Reimerswaal;4416;Reimerswaal;07JR;00;Basissch De Welle;4416AT;KRUININGEN;Zeeland;Bo;Protestants-Christelijk;41582;0;16;18;17;21;16;15;11;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;123
