PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1667;Reusel-De Mierden;5094;Reusel-De Mierden;03EV;00;OBS De Klimop;5541GH;REUSEL;Noord-Brabant;Bo;Openbaar;41662;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1667;Reusel-De Mierden;5095;Reusel-De Mierden;03EV;00;OBS De Klimop;5541GH;REUSEL;Noord-Brabant;Bo;Openbaar;41662;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1667;Reusel-De Mierden;5096;Reusel-De Mierden;03EV;00;OBS De Klimop;5541GH;REUSEL;Noord-Brabant;Bo;Openbaar;41662;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1667;Reusel-De Mierden;5531;Bladel;03EV;00;OBS De Klimop;5541GH;REUSEL;Noord-Brabant;Bo;Openbaar;41662;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1667;Reusel-De Mierden;5541;Reusel-De Mierden;03EV;00;OBS De Klimop;5541GH;REUSEL;Noord-Brabant;Bo;Openbaar;41662;0;27;30;28;29;27;33;25;29;2;1;0;0;0;0;0;0;0;0;0;0;0;0;231
20171001;1667;Reusel-De Mierden;5094;Reusel-De Mierden;03WM;00;RK Basissch D Akkerwinde;5095AS;HOOGE MIERDE;Noord-Brabant;Bo;Rooms-Katholiek;44201;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1667;Reusel-De Mierden;5095;Reusel-De Mierden;03WM;00;RK Basissch D Akkerwinde;5095AS;HOOGE MIERDE;Noord-Brabant;Bo;Rooms-Katholiek;44201;0;17;15;21;20;15;17;15;16;2;0;0;0;0;0;0;0;0;0;0;0;0;0;138
20171001;1667;Reusel-De Mierden;5094;Reusel-De Mierden;05BX;00;Sint Clemensschool;5096BW;HULSEL;Noord-Brabant;Bo;Rooms-Katholiek;44201;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1667;Reusel-De Mierden;5096;Reusel-De Mierden;05BX;00;Sint Clemensschool;5096BW;HULSEL;Noord-Brabant;Bo;Rooms-Katholiek;44201;0;17;8;8;6;11;5;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69
20171001;1667;Reusel-De Mierden;5534;Bladel;05BX;00;Sint Clemensschool;5096BW;HULSEL;Noord-Brabant;Bo;Rooms-Katholiek;44201;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
