PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;275;Rheden;6955;Rheden;04SL;00;Chr Basissch D Holtbanck;6991DP;RHEDEN;Gelderland;Bo;Protestants-Christelijk;40843;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;275;Rheden;6991;Rheden;04SL;00;Chr Basissch D Holtbanck;6991DP;RHEDEN;Gelderland;Bo;Protestants-Christelijk;40843;0;18;27;26;20;28;24;21;27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;192
20171001;275;Rheden;6994;Rheden;04SL;00;Chr Basissch D Holtbanck;6991DP;RHEDEN;Gelderland;Bo;Protestants-Christelijk;40843;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;275;Rheden;6991;Rheden;05IW;00;Basissch St Mauritius;6991BS;RHEDEN;Gelderland;Bo;Rooms-Katholiek;40812;0;13;16;22;17;15;16;16;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;132
20171001;275;Rheden;6951;Rheden;05IX;00;Basisschool De Vlinder;6952GA;DIEREN;Gelderland;Bo;Rooms-Katholiek;40812;0;6;7;6;12;12;12;9;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78
20171001;275;Rheden;6952;Rheden;05IX;00;Basisschool De Vlinder;6952GA;DIEREN;Gelderland;Bo;Rooms-Katholiek;40812;0;9;13;7;15;9;11;7;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;92
20171001;275;Rheden;6953;Rheden;05IX;00;Basisschool De Vlinder;6952GA;DIEREN;Gelderland;Bo;Rooms-Katholiek;40812;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;275;Rheden;6956;Rheden;05IX;00;Basisschool De Vlinder;6952GA;DIEREN;Gelderland;Bo;Rooms-Katholiek;40812;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;275;Rheden;6957;Rheden;05IX;00;Basisschool De Vlinder;6952GA;DIEREN;Gelderland;Bo;Rooms-Katholiek;40812;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;275;Rheden;6961;Brummen;05IX;00;Basisschool De Vlinder;6952GA;DIEREN;Gelderland;Bo;Rooms-Katholiek;40812;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;275;Rheden;6983;Doesburg;05IX;00;Basisschool De Vlinder;6952GA;DIEREN;Gelderland;Bo;Rooms-Katholiek;40812;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;275;Rheden;6991;Rheden;05IX;00;Basisschool De Vlinder;6952GA;DIEREN;Gelderland;Bo;Rooms-Katholiek;40812;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;275;Rheden;7225;Bronckhorst;05IX;00;Basisschool De Vlinder;6952GA;DIEREN;Gelderland;Bo;Rooms-Katholiek;40812;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;275;Rheden;6951;Rheden;10QP;00;De Akker;6952GA;DIEREN;Gelderland;Bo;Protestants-Christelijk;40843;0;8;8;13;6;10;6;12;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;75
20171001;275;Rheden;6952;Rheden;10QP;00;De Akker;6952GA;DIEREN;Gelderland;Bo;Protestants-Christelijk;40843;0;16;12;10;16;14;7;13;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95
20171001;275;Rheden;6953;Rheden;10QP;00;De Akker;6952GA;DIEREN;Gelderland;Bo;Protestants-Christelijk;40843;0;0;1;1;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;275;Rheden;6955;Rheden;10QP;00;De Akker;6952GA;DIEREN;Gelderland;Bo;Protestants-Christelijk;40843;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;275;Rheden;6956;Rheden;10QP;00;De Akker;6952GA;DIEREN;Gelderland;Bo;Protestants-Christelijk;40843;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;275;Rheden;6957;Rheden;10QP;00;De Akker;6952GA;DIEREN;Gelderland;Bo;Protestants-Christelijk;40843;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
