PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;340;Rhenen;3903;Veenendaal;05NU;00;School Met De Bijbel;3921EK;ELST UT;Utrecht;Bo;Protestants-Christelijk;41621;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;340;Rhenen;3911;Rhenen;05NU;00;School Met De Bijbel;3921EK;ELST UT;Utrecht;Bo;Protestants-Christelijk;41621;0;1;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;340;Rhenen;3921;Rhenen;05NU;00;School Met De Bijbel;3921EK;ELST UT;Utrecht;Bo;Protestants-Christelijk;41621;0;21;12;19;26;18;34;27;26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;184
20171001;340;Rhenen;3922;Utrechtse Heuvelrug;05NU;00;School Met De Bijbel;3921EK;ELST UT;Utrecht;Bo;Protestants-Christelijk;41621;0;3;0;2;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;340;Rhenen;3956;Utrechtse Heuvelrug;05NU;00;School Met De Bijbel;3921EK;ELST UT;Utrecht;Bo;Protestants-Christelijk;41621;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;340;Rhenen;4024;Buren;05NU;00;School Met De Bijbel;3921EK;ELST UT;Utrecht;Bo;Protestants-Christelijk;41621;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;340;Rhenen;3903;Veenendaal;06FI;00;Eben Haezerschool;3912AA;RHENEN;Utrecht;Bo;Reformatorisch;26626;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;340;Rhenen;3905;Veenendaal;06FI;00;Eben Haezerschool;3912AA;RHENEN;Utrecht;Bo;Reformatorisch;26626;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;340;Rhenen;3911;Rhenen;06FI;00;Eben Haezerschool;3912AA;RHENEN;Utrecht;Bo;Reformatorisch;26626;0;21;20;21;23;17;26;25;22;4;0;0;0;0;0;0;0;0;0;0;0;0;0;179
20171001;340;Rhenen;3912;Rhenen;06FI;00;Eben Haezerschool;3912AA;RHENEN;Utrecht;Bo;Reformatorisch;26626;0;2;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;340;Rhenen;3921;Rhenen;06FI;00;Eben Haezerschool;3912AA;RHENEN;Utrecht;Bo;Reformatorisch;26626;0;16;9;10;11;7;8;8;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;83
20171001;340;Rhenen;3922;Utrechtse Heuvelrug;06FI;00;Eben Haezerschool;3912AA;RHENEN;Utrecht;Bo;Reformatorisch;26626;0;2;0;1;0;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;340;Rhenen;3958;Utrechtse Heuvelrug;06FI;00;Eben Haezerschool;3912AA;RHENEN;Utrecht;Bo;Reformatorisch;26626;0;3;1;0;5;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;340;Rhenen;4024;Buren;06FI;00;Eben Haezerschool;3912AA;RHENEN;Utrecht;Bo;Reformatorisch;26626;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;340;Rhenen;4031;Buren;06FI;00;Eben Haezerschool;3912AA;RHENEN;Utrecht;Bo;Reformatorisch;26626;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;340;Rhenen;4032;Buren;06FI;00;Eben Haezerschool;3912AA;RHENEN;Utrecht;Bo;Reformatorisch;26626;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;340;Rhenen;4033;Buren;06FI;00;Eben Haezerschool;3912AA;RHENEN;Utrecht;Bo;Reformatorisch;26626;0;4;5;4;3;2;2;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
20171001;340;Rhenen;4041;Neder-Betuwe;06FI;00;Eben Haezerschool;3912AA;RHENEN;Utrecht;Bo;Reformatorisch;26626;0;7;6;7;3;7;10;7;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;57
20171001;340;Rhenen;3911;Rhenen;06IW;00;W Teellinckschool;3911SK;RHENEN;Utrecht;Bo;Reformatorisch;38222;0;18;17;23;24;25;24;30;20;3;0;0;0;0;0;0;0;0;0;0;0;0;0;184
20171001;340;Rhenen;3912;Rhenen;06IW;00;W Teellinckschool;3911SK;RHENEN;Utrecht;Bo;Reformatorisch;38222;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;340;Rhenen;4041;Neder-Betuwe;06IW;00;W Teellinckschool;3911SK;RHENEN;Utrecht;Bo;Reformatorisch;38222;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;340;Rhenen;6702;Wageningen;06IW;00;W Teellinckschool;3911SK;RHENEN;Utrecht;Bo;Reformatorisch;38222;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;340;Rhenen;6709;Wageningen;06IW;00;W Teellinckschool;3911SK;RHENEN;Utrecht;Bo;Reformatorisch;38222;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;340;Rhenen;3904;Veenendaal;07VM;00;Cunera-School v Basisond;3911AM;RHENEN;Utrecht;Bo;Rooms-Katholiek;31237;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;340;Rhenen;3911;Rhenen;07VM;00;Cunera-School v Basisond;3911AM;RHENEN;Utrecht;Bo;Rooms-Katholiek;31237;0;29;23;34;37;34;31;38;28;4;0;0;0;0;0;0;0;0;0;0;0;0;0;258
20171001;340;Rhenen;3912;Rhenen;07VM;00;Cunera-School v Basisond;3911AM;RHENEN;Utrecht;Bo;Rooms-Katholiek;31237;0;2;3;3;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;340;Rhenen;4033;Buren;07VM;00;Cunera-School v Basisond;3911AM;RHENEN;Utrecht;Bo;Rooms-Katholiek;31237;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;340;Rhenen;6674;Overbetuwe;07VM;00;Cunera-School v Basisond;3911AM;RHENEN;Utrecht;Bo;Rooms-Katholiek;31237;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;340;Rhenen;6701;Wageningen;07VM;00;Cunera-School v Basisond;3911AM;RHENEN;Utrecht;Bo;Rooms-Katholiek;31237;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;340;Rhenen;6702;Wageningen;07VM;00;Cunera-School v Basisond;3911AM;RHENEN;Utrecht;Bo;Rooms-Katholiek;31237;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;340;Rhenen;3911;Rhenen;09JE;00;Basisschool Erica;3911XN;RHENEN;Utrecht;Bo;Protestants-Christelijk;23337;0;28;38;41;40;36;33;37;31;11;0;0;0;0;0;0;0;0;0;0;0;0;0;295
20171001;340;Rhenen;3912;Rhenen;09JE;00;Basisschool Erica;3911XN;RHENEN;Utrecht;Bo;Protestants-Christelijk;23337;0;0;2;0;2;3;4;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;340;Rhenen;6721;Ede;09JE;00;Basisschool Erica;3911XN;RHENEN;Utrecht;Bo;Protestants-Christelijk;23337;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;340;Rhenen;  40;Onbekend;10ES;00;Basissch De Springplank;3911PG;RHENEN;Utrecht;Bo;Protestants-Christelijk;23337;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;340;Rhenen;3706;Zeist;10ES;00;Basissch De Springplank;3911PG;RHENEN;Utrecht;Bo;Protestants-Christelijk;23337;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;340;Rhenen;3901;Veenendaal;10ES;00;Basissch De Springplank;3911PG;RHENEN;Utrecht;Bo;Protestants-Christelijk;23337;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;340;Rhenen;3911;Rhenen;10ES;00;Basissch De Springplank;3911PG;RHENEN;Utrecht;Bo;Protestants-Christelijk;23337;0;31;26;23;23;16;20;32;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200
20171001;340;Rhenen;3912;Rhenen;10ES;00;Basissch De Springplank;3911PG;RHENEN;Utrecht;Bo;Protestants-Christelijk;23337;0;4;1;4;2;2;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20171001;340;Rhenen;6716;Ede;10ES;00;Basissch De Springplank;3911PG;RHENEN;Utrecht;Bo;Protestants-Christelijk;23337;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;340;Rhenen;3781;Barneveld;12UA;00;Openbare Daltonsch Rhenen-Elst;3921EK;ELST UT;Utrecht;Bo;Openbaar;41461;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;340;Rhenen;3901;Veenendaal;12UA;00;Openbare Daltonsch Rhenen-Elst;3921EK;ELST UT;Utrecht;Bo;Openbaar;41461;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;340;Rhenen;3906;Veenendaal;12UA;00;Openbare Daltonsch Rhenen-Elst;3921EK;ELST UT;Utrecht;Bo;Openbaar;41461;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;340;Rhenen;3911;Rhenen;12UA;00;Openbare Daltonsch Rhenen-Elst;3921EK;ELST UT;Utrecht;Bo;Openbaar;41461;0;5;10;10;4;6;7;10;8;3;1;0;0;0;0;0;0;0;0;0;0;0;0;64
20171001;340;Rhenen;3912;Rhenen;12UA;00;Openbare Daltonsch Rhenen-Elst;3921EK;ELST UT;Utrecht;Bo;Openbaar;41461;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;340;Rhenen;3921;Rhenen;12UA;00;Openbare Daltonsch Rhenen-Elst;3921EK;ELST UT;Utrecht;Bo;Openbaar;41461;0;14;10;12;16;6;12;17;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;104
20171001;340;Rhenen;3941;Utrechtse Heuvelrug;12UA;00;Openbare Daltonsch Rhenen-Elst;3921EK;ELST UT;Utrecht;Bo;Openbaar;41461;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;340;Rhenen;3958;Utrechtse Heuvelrug;12UA;00;Openbare Daltonsch Rhenen-Elst;3921EK;ELST UT;Utrecht;Bo;Openbaar;41461;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;340;Rhenen;6706;Wageningen;12UA;00;Openbare Daltonsch Rhenen-Elst;3921EK;ELST UT;Utrecht;Bo;Openbaar;41461;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;340;Rhenen;3911;Rhenen;23CT;00;Montessori Basisschool;3911DJ;RHENEN;Utrecht;Bo;Algemeen bijzonder;41226;0;11;11;14;12;18;11;13;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;104
20171001;340;Rhenen;3912;Rhenen;23CT;00;Montessori Basisschool;3911DJ;RHENEN;Utrecht;Bo;Algemeen bijzonder;41226;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;340;Rhenen;4033;Buren;23CT;00;Montessori Basisschool;3911DJ;RHENEN;Utrecht;Bo;Algemeen bijzonder;41226;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;340;Rhenen;6709;Wageningen;23CT;00;Montessori Basisschool;3911DJ;RHENEN;Utrecht;Bo;Algemeen bijzonder;41226;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
