PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;597;Ridderkerk;2951;Alblasserdam;00MN;00;Chr SSBO De Burcht;2983AK;RIDDERKERK;Zuid-Holland;Sbo;Protestants-Christelijk;80433;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;597;Ridderkerk;2981;Ridderkerk;00MN;00;Chr SSBO De Burcht;2983AK;RIDDERKERK;Zuid-Holland;Sbo;Protestants-Christelijk;80433;0;0;0;1;0;0;4;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;597;Ridderkerk;2982;Ridderkerk;00MN;00;Chr SSBO De Burcht;2983AK;RIDDERKERK;Zuid-Holland;Sbo;Protestants-Christelijk;80433;0;0;0;0;2;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;597;Ridderkerk;2983;Ridderkerk;00MN;00;Chr SSBO De Burcht;2983AK;RIDDERKERK;Zuid-Holland;Sbo;Protestants-Christelijk;80433;0;1;0;0;1;3;5;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;597;Ridderkerk;2984;Ridderkerk;00MN;00;Chr SSBO De Burcht;2983AK;RIDDERKERK;Zuid-Holland;Sbo;Protestants-Christelijk;80433;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;597;Ridderkerk;2985;Ridderkerk;00MN;00;Chr SSBO De Burcht;2983AK;RIDDERKERK;Zuid-Holland;Sbo;Protestants-Christelijk;80433;0;0;0;0;1;1;3;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;597;Ridderkerk;2986;Ridderkerk;00MN;00;Chr SSBO De Burcht;2983AK;RIDDERKERK;Zuid-Holland;Sbo;Protestants-Christelijk;80433;0;0;0;0;0;0;0;3;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;597;Ridderkerk;2987;Ridderkerk;00MN;00;Chr SSBO De Burcht;2983AK;RIDDERKERK;Zuid-Holland;Sbo;Protestants-Christelijk;80433;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;597;Ridderkerk;2991;Barendrecht;00MN;00;Chr SSBO De Burcht;2983AK;RIDDERKERK;Zuid-Holland;Sbo;Protestants-Christelijk;80433;0;0;0;0;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;597;Ridderkerk;2992;Barendrecht;00MN;00;Chr SSBO De Burcht;2983AK;RIDDERKERK;Zuid-Holland;Sbo;Protestants-Christelijk;80433;0;0;0;0;1;0;0;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9
