PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1742;Rijssen-Holten;7434;Deventer;00ZS;00;SSBO Elim;7462TK;RIJSSEN;Overijssel;Sbo;Protestants-Christelijk;77196;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1742;Rijssen-Holten;7442;Hellendoorn;00ZS;00;SSBO Elim;7462TK;RIJSSEN;Overijssel;Sbo;Protestants-Christelijk;77196;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1742;Rijssen-Holten;7443;Hellendoorn;00ZS;00;SSBO Elim;7462TK;RIJSSEN;Overijssel;Sbo;Protestants-Christelijk;77196;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1742;Rijssen-Holten;7451;Rijssen-Holten;00ZS;00;SSBO Elim;7462TK;RIJSSEN;Overijssel;Sbo;Protestants-Christelijk;77196;0;0;0;1;0;1;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;1742;Rijssen-Holten;7461;Rijssen-Holten;00ZS;00;SSBO Elim;7462TK;RIJSSEN;Overijssel;Sbo;Protestants-Christelijk;77196;0;1;1;1;2;3;1;6;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;21
20171001;1742;Rijssen-Holten;7462;Rijssen-Holten;00ZS;00;SSBO Elim;7462TK;RIJSSEN;Overijssel;Sbo;Protestants-Christelijk;77196;0;0;1;4;6;4;6;4;13;6;0;0;0;0;0;0;0;0;0;0;0;0;0;44
20171001;1742;Rijssen-Holten;7463;Rijssen-Holten;00ZS;00;SSBO Elim;7462TK;RIJSSEN;Overijssel;Sbo;Protestants-Christelijk;77196;0;0;0;0;1;1;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;1742;Rijssen-Holten;7467;Wierden;00ZS;00;SSBO Elim;7462TK;RIJSSEN;Overijssel;Sbo;Protestants-Christelijk;77196;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1742;Rijssen-Holten;7468;Wierden;00ZS;00;SSBO Elim;7462TK;RIJSSEN;Overijssel;Sbo;Protestants-Christelijk;77196;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1742;Rijssen-Holten;7471;Hof van Twente;00ZS;00;SSBO Elim;7462TK;RIJSSEN;Overijssel;Sbo;Protestants-Christelijk;77196;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1742;Rijssen-Holten;7475;Hof van Twente;00ZS;00;SSBO Elim;7462TK;RIJSSEN;Overijssel;Sbo;Protestants-Christelijk;77196;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1742;Rijssen-Holten;7641;Wierden;00ZS;00;SSBO Elim;7462TK;RIJSSEN;Overijssel;Sbo;Protestants-Christelijk;77196;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1742;Rijssen-Holten;7642;Wierden;00ZS;00;SSBO Elim;7462TK;RIJSSEN;Overijssel;Sbo;Protestants-Christelijk;77196;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1742;Rijssen-Holten;7645;Wierden;00ZS;00;SSBO Elim;7462TK;RIJSSEN;Overijssel;Sbo;Protestants-Christelijk;77196;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1742;Rijssen-Holten;7461;Rijssen-Holten;03LS;00;Klim Op School;7461EJ;RIJSSEN;Overijssel;Bo;Rooms-Katholiek;68836;0;19;11;11;11;14;17;11;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;109
20171001;1742;Rijssen-Holten;7462;Rijssen-Holten;03LS;00;Klim Op School;7461EJ;RIJSSEN;Overijssel;Bo;Rooms-Katholiek;68836;0;14;6;10;6;14;12;6;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;76
20171001;1742;Rijssen-Holten;7463;Rijssen-Holten;03LS;00;Klim Op School;7461EJ;RIJSSEN;Overijssel;Bo;Rooms-Katholiek;68836;0;4;2;4;3;2;2;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
20171001;1742;Rijssen-Holten;7468;Wierden;03LS;00;Klim Op School;7461EJ;RIJSSEN;Overijssel;Bo;Rooms-Katholiek;68836;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1742;Rijssen-Holten;7552;Hengelo;03LS;00;Klim Op School;7461EJ;RIJSSEN;Overijssel;Bo;Rooms-Katholiek;68836;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1742;Rijssen-Holten;7623;Borne;03LS;00;Klim Op School;7461EJ;RIJSSEN;Overijssel;Bo;Rooms-Katholiek;68836;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1742;Rijssen-Holten;7437;Deventer;10DG;00;Basisschool Dijkerhoek;7451LV;HOLTEN;Overijssel;Bo;Openbaar;41476;0;0;1;0;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1742;Rijssen-Holten;7451;Rijssen-Holten;10DG;00;Basisschool Dijkerhoek;7451LV;HOLTEN;Overijssel;Bo;Openbaar;41476;0;9;6;17;9;11;14;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78
20171001;1742;Rijssen-Holten;6842;Arnhem;10KQ;00;PC Bs De Regenboog;7451EV;HOLTEN;Overijssel;Bo;Protestants-Christelijk;83696;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1742;Rijssen-Holten;7433;Deventer;10KQ;00;PC Bs De Regenboog;7451EV;HOLTEN;Overijssel;Bo;Protestants-Christelijk;83696;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1742;Rijssen-Holten;7434;Deventer;10KQ;00;PC Bs De Regenboog;7451EV;HOLTEN;Overijssel;Bo;Protestants-Christelijk;83696;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1742;Rijssen-Holten;7437;Deventer;10KQ;00;PC Bs De Regenboog;7451EV;HOLTEN;Overijssel;Bo;Protestants-Christelijk;83696;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1742;Rijssen-Holten;7448;Hellendoorn;10KQ;00;PC Bs De Regenboog;7451EV;HOLTEN;Overijssel;Bo;Protestants-Christelijk;83696;0;0;0;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1742;Rijssen-Holten;7451;Rijssen-Holten;10KQ;00;PC Bs De Regenboog;7451EV;HOLTEN;Overijssel;Bo;Protestants-Christelijk;83696;0;44;34;26;34;41;36;37;40;7;0;0;0;0;0;0;0;0;0;0;0;0;0;299
20171001;1742;Rijssen-Holten;7461;Rijssen-Holten;10KQ;00;PC Bs De Regenboog;7451EV;HOLTEN;Overijssel;Bo;Protestants-Christelijk;83696;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1742;Rijssen-Holten;7462;Rijssen-Holten;10KQ;00;PC Bs De Regenboog;7451EV;HOLTEN;Overijssel;Bo;Protestants-Christelijk;83696;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1742;Rijssen-Holten;7475;Hof van Twente;10KQ;00;PC Bs De Regenboog;7451EV;HOLTEN;Overijssel;Bo;Protestants-Christelijk;83696;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1742;Rijssen-Holten;7688;Hellendoorn;10KQ;00;PC Bs De Regenboog;7451EV;HOLTEN;Overijssel;Bo;Protestants-Christelijk;83696;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
