PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;603;Rijswijk;2274;Leidschendam-Voorburg;03PQ;00;Petrusschool;2286RL;RIJSWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40928;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;603;Rijswijk;2282;Rijswijk;03PQ;00;Petrusschool;2286RL;RIJSWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40928;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;603;Rijswijk;2283;Rijswijk;03PQ;00;Petrusschool;2286RL;RIJSWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40928;0;1;0;1;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;603;Rijswijk;2284;Rijswijk;03PQ;00;Petrusschool;2286RL;RIJSWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40928;0;1;2;1;3;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;603;Rijswijk;2285;Rijswijk;03PQ;00;Petrusschool;2286RL;RIJSWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40928;0;7;6;3;11;8;11;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59
20171001;603;Rijswijk;2286;Rijswijk;03PQ;00;Petrusschool;2286RL;RIJSWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40928;0;21;21;15;17;17;11;20;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;135
20171001;603;Rijswijk;2287;Rijswijk;03PQ;00;Petrusschool;2286RL;RIJSWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40928;0;1;7;3;4;3;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
20171001;603;Rijswijk;2288;Rijswijk;03PQ;00;Petrusschool;2286RL;RIJSWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40928;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;603;Rijswijk;2516;'s-Gravenhage;03PQ;00;Petrusschool;2286RL;RIJSWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40928;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;603;Rijswijk;2522;'s-Gravenhage;03PQ;00;Petrusschool;2286RL;RIJSWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40928;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;603;Rijswijk;2523;'s-Gravenhage;03PQ;00;Petrusschool;2286RL;RIJSWIJK ZH;Zuid-Holland;Bo;Rooms-Katholiek;40928;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
