PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1669;Roerdalen;  20;Duitsland;03HF;00;Bs De Draaiende Wieken;6061EL;POSTERHOLT;Limburg;Bo;Rooms-Katholiek;41506;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1669;Roerdalen;  30;ander land;03HF;00;Bs De Draaiende Wieken;6061EL;POSTERHOLT;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;2;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;1669;Roerdalen;6041;Roermond;03HF;00;Bs De Draaiende Wieken;6061EL;POSTERHOLT;Limburg;Bo;Rooms-Katholiek;41506;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1669;Roerdalen;6043;Roermond;03HF;00;Bs De Draaiende Wieken;6061EL;POSTERHOLT;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1669;Roerdalen;6045;Roermond;03HF;00;Bs De Draaiende Wieken;6061EL;POSTERHOLT;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1669;Roerdalen;6051;Maasgouw;03HF;00;Bs De Draaiende Wieken;6061EL;POSTERHOLT;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1669;Roerdalen;6061;Roerdalen;03HF;00;Bs De Draaiende Wieken;6061EL;POSTERHOLT;Limburg;Bo;Rooms-Katholiek;41506;0;29;31;22;26;27;24;28;31;4;0;0;0;0;0;0;0;0;0;0;0;0;0;222
20171001;1669;Roerdalen;6063;Roerdalen;03HF;00;Bs De Draaiende Wieken;6061EL;POSTERHOLT;Limburg;Bo;Rooms-Katholiek;41506;0;2;2;3;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;1669;Roerdalen;6074;Roerdalen;03HF;00;Bs De Draaiende Wieken;6061EL;POSTERHOLT;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1669;Roerdalen;6105;Echt-Susteren;03HF;00;Bs De Draaiende Wieken;6061EL;POSTERHOLT;Limburg;Bo;Rooms-Katholiek;41506;0;1;0;1;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1669;Roerdalen;6373;Landgraaf;03HF;00;Bs De Draaiende Wieken;6061EL;POSTERHOLT;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1669;Roerdalen;  20;Duitsland;03OM;00;RK Bs De Berensprong;6075CW;HERKENBOSCH;Limburg;Bo;Rooms-Katholiek;41692;0;2;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1669;Roerdalen;5981;Peel en Maas;03OM;00;RK Bs De Berensprong;6075CW;HERKENBOSCH;Limburg;Bo;Rooms-Katholiek;41692;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1669;Roerdalen;6041;Roermond;03OM;00;RK Bs De Berensprong;6075CW;HERKENBOSCH;Limburg;Bo;Rooms-Katholiek;41692;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1669;Roerdalen;6043;Roermond;03OM;00;RK Bs De Berensprong;6075CW;HERKENBOSCH;Limburg;Bo;Rooms-Katholiek;41692;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1669;Roerdalen;6044;Roermond;03OM;00;RK Bs De Berensprong;6075CW;HERKENBOSCH;Limburg;Bo;Rooms-Katholiek;41692;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1669;Roerdalen;6045;Roermond;03OM;00;RK Bs De Berensprong;6075CW;HERKENBOSCH;Limburg;Bo;Rooms-Katholiek;41692;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1669;Roerdalen;6063;Roerdalen;03OM;00;RK Bs De Berensprong;6075CW;HERKENBOSCH;Limburg;Bo;Rooms-Katholiek;41692;0;1;2;0;3;3;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;1669;Roerdalen;6074;Roerdalen;03OM;00;RK Bs De Berensprong;6075CW;HERKENBOSCH;Limburg;Bo;Rooms-Katholiek;41692;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
