PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1674;Roosendaal;4631;Woensdrecht;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;Noord-Brabant;Bo;Antroposofisch;41246;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1674;Roosendaal;4661;Bergen op Zoom;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;Noord-Brabant;Bo;Antroposofisch;41246;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1674;Roosendaal;4671;Steenbergen;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;Noord-Brabant;Bo;Antroposofisch;41246;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1674;Roosendaal;4681;Steenbergen;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;Noord-Brabant;Bo;Antroposofisch;41246;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1674;Roosendaal;4701;Roosendaal;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;Noord-Brabant;Bo;Antroposofisch;41246;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1674;Roosendaal;4702;Roosendaal;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;Noord-Brabant;Bo;Antroposofisch;41246;0;2;0;1;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;1674;Roosendaal;4703;Roosendaal;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;Noord-Brabant;Bo;Antroposofisch;41246;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1674;Roosendaal;4704;Roosendaal;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;Noord-Brabant;Bo;Antroposofisch;41246;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1674;Roosendaal;4706;Roosendaal;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;Noord-Brabant;Bo;Antroposofisch;41246;0;1;2;1;1;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;1674;Roosendaal;4707;Roosendaal;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;Noord-Brabant;Bo;Antroposofisch;41246;0;3;0;3;1;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;1674;Roosendaal;4708;Roosendaal;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;Noord-Brabant;Bo;Antroposofisch;41246;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1674;Roosendaal;4724;Roosendaal;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;Noord-Brabant;Bo;Antroposofisch;41246;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1674;Roosendaal;4725;Roosendaal;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;Noord-Brabant;Bo;Antroposofisch;41246;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1674;Roosendaal;4731;Halderberge;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;Noord-Brabant;Bo;Antroposofisch;41246;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1674;Roosendaal;4735;Rucphen;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;Noord-Brabant;Bo;Antroposofisch;41246;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1674;Roosendaal;4756;Steenbergen;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;Noord-Brabant;Bo;Antroposofisch;41246;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1674;Roosendaal;4871;Etten-Leur;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;Noord-Brabant;Bo;Antroposofisch;41246;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1674;Roosendaal;4873;Etten-Leur;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;Noord-Brabant;Bo;Antroposofisch;41246;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1674;Roosendaal;4884;Zundert;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;Noord-Brabant;Bo;Antroposofisch;41246;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1674;Roosendaal;4631;Woensdrecht;02RH;01;De Fakkel;4702EP;ROOSENDAAL;Noord-Brabant;So;Rooms-Katholiek;41200;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1674;Roosendaal;4645;Woensdrecht;02RH;01;De Fakkel;4702EP;ROOSENDAAL;Noord-Brabant;So;Rooms-Katholiek;41200;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1674;Roosendaal;4671;Steenbergen;02RH;01;De Fakkel;4702EP;ROOSENDAAL;Noord-Brabant;So;Rooms-Katholiek;41200;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1674;Roosendaal;4701;Roosendaal;02RH;01;De Fakkel;4702EP;ROOSENDAAL;Noord-Brabant;So;Rooms-Katholiek;41200;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1674;Roosendaal;4702;Roosendaal;02RH;01;De Fakkel;4702EP;ROOSENDAAL;Noord-Brabant;So;Rooms-Katholiek;41200;0;0;0;0;2;0;3;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;1674;Roosendaal;4703;Roosendaal;02RH;01;De Fakkel;4702EP;ROOSENDAAL;Noord-Brabant;So;Rooms-Katholiek;41200;0;0;3;2;2;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;1674;Roosendaal;4706;Roosendaal;02RH;01;De Fakkel;4702EP;ROOSENDAAL;Noord-Brabant;So;Rooms-Katholiek;41200;0;1;1;0;0;0;4;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;1674;Roosendaal;4707;Roosendaal;02RH;01;De Fakkel;4702EP;ROOSENDAAL;Noord-Brabant;So;Rooms-Katholiek;41200;0;1;0;2;1;1;5;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;1674;Roosendaal;4708;Roosendaal;02RH;01;De Fakkel;4702EP;ROOSENDAAL;Noord-Brabant;So;Rooms-Katholiek;41200;0;0;1;0;2;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;1674;Roosendaal;4711;Rucphen;02RH;01;De Fakkel;4702EP;ROOSENDAAL;Noord-Brabant;So;Rooms-Katholiek;41200;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1674;Roosendaal;4714;Rucphen;02RH;01;De Fakkel;4702EP;ROOSENDAAL;Noord-Brabant;So;Rooms-Katholiek;41200;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1674;Roosendaal;4715;Rucphen;02RH;01;De Fakkel;4702EP;ROOSENDAAL;Noord-Brabant;So;Rooms-Katholiek;41200;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1674;Roosendaal;4724;Roosendaal;02RH;01;De Fakkel;4702EP;ROOSENDAAL;Noord-Brabant;So;Rooms-Katholiek;41200;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
