PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;599;Rotterdam;  30;ander land;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;Zuid-Holland;So;Protestants-Christelijk;62077;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;599;Rotterdam;2172;Teylingen;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;Zuid-Holland;So;Protestants-Christelijk;62077;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;599;Rotterdam;2631;Pijnacker-Nootdorp;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;Zuid-Holland;So;Protestants-Christelijk;62077;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;599;Rotterdam;2716;Zoetermeer;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;Zuid-Holland;So;Protestants-Christelijk;62077;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;599;Rotterdam;2722;Zoetermeer;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;Zuid-Holland;So;Protestants-Christelijk;62077;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;599;Rotterdam;2841;Zuidplas;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;Zuid-Holland;So;Protestants-Christelijk;62077;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;599;Rotterdam;2903;Capelle aan den IJssel;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;Zuid-Holland;So;Protestants-Christelijk;62077;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;599;Rotterdam;2907;Capelle aan den IJssel;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;Zuid-Holland;So;Protestants-Christelijk;62077;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;599;Rotterdam;2977;Molenwaard;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;Zuid-Holland;So;Protestants-Christelijk;62077;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;599;Rotterdam;3011;Rotterdam;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;Zuid-Holland;So;Protestants-Christelijk;62077;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
