PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;840;Rucphen;3314;Dordrecht;03NE;00;RK Basisschool Vinkenbos;4714BZ;SPRUNDEL;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;840;Rucphen;4702;Roosendaal;03NE;00;RK Basisschool Vinkenbos;4714BZ;SPRUNDEL;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;840;Rucphen;4711;Rucphen;03NE;00;RK Basisschool Vinkenbos;4714BZ;SPRUNDEL;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;2;6;8;7;7;5;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47
20171001;840;Rucphen;4714;Rucphen;03NE;00;RK Basisschool Vinkenbos;4714BZ;SPRUNDEL;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;45;31;45;32;31;31;28;27;3;1;0;0;0;0;0;0;0;0;0;0;0;0;274
20171001;840;Rucphen;4715;Rucphen;03NE;00;RK Basisschool Vinkenbos;4714BZ;SPRUNDEL;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;3;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;840;Rucphen;4721;Rucphen;03NE;00;RK Basisschool Vinkenbos;4714BZ;SPRUNDEL;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;840;Rucphen;4884;Zundert;03NE;00;RK Basisschool Vinkenbos;4714BZ;SPRUNDEL;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;840;Rucphen;4891;Zundert;03NE;00;RK Basisschool Vinkenbos;4714BZ;SPRUNDEL;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;840;Rucphen;4702;Roosendaal;06WV;00;RK Bs Mariadonk;4735TA;ZEGGE;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;840;Rucphen;4705;Roosendaal;06WV;00;RK Bs Mariadonk;4735TA;ZEGGE;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;840;Rucphen;4706;Roosendaal;06WV;00;RK Bs Mariadonk;4735TA;ZEGGE;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;840;Rucphen;4735;Rucphen;06WV;00;RK Bs Mariadonk;4735TA;ZEGGE;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;12;18;8;13;16;5;18;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;105
20171001;840;Rucphen;4744;Halderberge;06WV;00;RK Bs Mariadonk;4735TA;ZEGGE;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;840;Rucphen;4751;Halderberge;06WV;00;RK Bs Mariadonk;4735TA;ZEGGE;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;840;Rucphen;  10;Belgie;07BR;00;RK BS St Martinus;4715AG;RUCPHEN;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;840;Rucphen;4705;Roosendaal;07BR;00;RK BS St Martinus;4715AG;RUCPHEN;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;840;Rucphen;4706;Roosendaal;07BR;00;RK BS St Martinus;4715AG;RUCPHEN;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;1;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;840;Rucphen;4707;Roosendaal;07BR;00;RK BS St Martinus;4715AG;RUCPHEN;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;840;Rucphen;4711;Rucphen;07BR;00;RK BS St Martinus;4715AG;RUCPHEN;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;840;Rucphen;4714;Rucphen;07BR;00;RK BS St Martinus;4715AG;RUCPHEN;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;840;Rucphen;4715;Rucphen;07BR;00;RK BS St Martinus;4715AG;RUCPHEN;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;35;30;39;31;39;37;35;30;10;0;0;0;0;0;0;0;0;0;0;0;0;0;286
20171001;840;Rucphen;4721;Rucphen;07BR;00;RK BS St Martinus;4715AG;RUCPHEN;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;840;Rucphen;4722;Rucphen;07BR;00;RK BS St Martinus;4715AG;RUCPHEN;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;840;Rucphen;4735;Rucphen;07BR;00;RK BS St Martinus;4715AG;RUCPHEN;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;840;Rucphen;4701;Roosendaal;12HD;00;RK Bs St Willibrordus;4711EW;ST. WILLEBRORD;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;840;Rucphen;4711;Rucphen;12HD;00;RK Bs St Willibrordus;4711EW;ST. WILLEBRORD;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;18;17;22;27;14;30;23;31;5;3;0;0;0;0;0;0;0;0;0;0;0;0;190
20171001;840;Rucphen;4714;Rucphen;12HD;00;RK Bs St Willibrordus;4711EW;ST. WILLEBRORD;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;1;2;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;840;Rucphen;4715;Rucphen;12HD;00;RK Bs St Willibrordus;4711EW;ST. WILLEBRORD;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;840;Rucphen;  40;Onbekend;12PU;00;RK Bs St Martinus;4721AC;SCHIJF;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;840;Rucphen;4709;Roosendaal;12PU;00;RK Bs St Martinus;4721AC;SCHIJF;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;840;Rucphen;4714;Rucphen;12PU;00;RK Bs St Martinus;4721AC;SCHIJF;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;840;Rucphen;4721;Rucphen;12PU;00;RK Bs St Martinus;4721AC;SCHIJF;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;11;15;7;7;8;15;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71
20171001;840;Rucphen;4722;Rucphen;12PU;00;RK Bs St Martinus;4721AC;SCHIJF;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;4;0;1;0;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;840;Rucphen;4881;Zundert;12PU;00;RK Bs St Martinus;4721AC;SCHIJF;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;840;Rucphen;4885;Zundert;12PU;00;RK Bs St Martinus;4721AC;SCHIJF;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;840;Rucphen;4711;Rucphen;12XF;00;RK Bs Maria Goretti;4711EC;ST. WILLEBRORD;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;39;32;34;35;36;31;34;23;6;0;0;0;0;0;0;0;0;0;0;0;0;0;270
20171001;840;Rucphen;4714;Rucphen;12XF;00;RK Bs Maria Goretti;4711EC;ST. WILLEBRORD;Noord-Brabant;Bo;Rooms-Katholiek;31017;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
