PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;441;Schagen;1601;Enkhuizen;00RL;11;Antoniusschool;1742AB;SCHAGEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;441;Schagen;1602;Enkhuizen;00RL;11;Antoniusschool;1742AB;SCHAGEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;441;Schagen;1613;Stede Broec;00RL;11;Antoniusschool;1742AB;SCHAGEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;441;Schagen;1619;Medemblik;00RL;11;Antoniusschool;1742AB;SCHAGEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;441;Schagen;1622;Hoorn;00RL;11;Antoniusschool;1742AB;SCHAGEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;441;Schagen;1623;Hoorn;00RL;11;Antoniusschool;1742AB;SCHAGEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;441;Schagen;1654;Medemblik;00RL;11;Antoniusschool;1742AB;SCHAGEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;441;Schagen;1655;Medemblik;00RL;11;Antoniusschool;1742AB;SCHAGEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;441;Schagen;1671;Medemblik;00RL;11;Antoniusschool;1742AB;SCHAGEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;441;Schagen;1687;Medemblik;00RL;11;Antoniusschool;1742AB;SCHAGEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;441;Schagen;1703;Heerhugowaard;00RL;11;Antoniusschool;1742AB;SCHAGEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;441;Schagen;1711;Koggenland;00RL;11;Antoniusschool;1742AB;SCHAGEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;441;Schagen;1713;Koggenland;00RL;11;Antoniusschool;1742AB;SCHAGEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;441;Schagen;1718;Opmeer;00RL;11;Antoniusschool;1742AB;SCHAGEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;441;Schagen;1721;Langedijk;00RL;11;Antoniusschool;1742AB;SCHAGEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
