PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;279;Scherpenzeel;3772;Barneveld;03LN;00;Wittenberg-school;3925BW;SCHERPENZEEL GLD;Gelderland;Bo;Reformatorisch;31189;0;1;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;279;Scherpenzeel;3794;Barneveld;03LN;00;Wittenberg-school;3925BW;SCHERPENZEEL GLD;Gelderland;Bo;Reformatorisch;31189;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;279;Scherpenzeel;3831;Leusden;03LN;00;Wittenberg-school;3925BW;SCHERPENZEEL GLD;Gelderland;Bo;Reformatorisch;31189;0;1;0;0;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;279;Scherpenzeel;3925;Scherpenzeel;03LN;00;Wittenberg-school;3925BW;SCHERPENZEEL GLD;Gelderland;Bo;Reformatorisch;31189;0;41;42;37;37;45;40;39;32;2;0;0;0;0;0;0;0;0;0;0;0;0;0;315
20171001;279;Scherpenzeel;3927;Renswoude;03LN;00;Wittenberg-school;3925BW;SCHERPENZEEL GLD;Gelderland;Bo;Reformatorisch;31189;0;7;6;6;7;4;4;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44
20171001;279;Scherpenzeel;3931;Woudenberg;03LN;00;Wittenberg-school;3925BW;SCHERPENZEEL GLD;Gelderland;Bo;Reformatorisch;31189;0;0;0;4;3;4;3;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
20171001;279;Scherpenzeel;3953;Utrechtse Heuvelrug;03LN;00;Wittenberg-school;3925BW;SCHERPENZEEL GLD;Gelderland;Bo;Reformatorisch;31189;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;279;Scherpenzeel;3956;Utrechtse Heuvelrug;03LN;00;Wittenberg-school;3925BW;SCHERPENZEEL GLD;Gelderland;Bo;Reformatorisch;31189;0;1;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;279;Scherpenzeel;3959;Utrechtse Heuvelrug;03LN;00;Wittenberg-school;3925BW;SCHERPENZEEL GLD;Gelderland;Bo;Reformatorisch;31189;0;3;2;2;2;2;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
20171001;279;Scherpenzeel;3772;Barneveld;08XG;00;CBS Korenmaat;3925SM;SCHERPENZEEL GLD;Gelderland;Bo;Protestants-Christelijk;41621;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;279;Scherpenzeel;3925;Scherpenzeel;08XG;00;CBS Korenmaat;3925SM;SCHERPENZEEL GLD;Gelderland;Bo;Protestants-Christelijk;41621;0;36;31;45;31;40;31;43;33;3;1;0;0;0;0;0;0;0;0;0;0;0;0;294
20171001;279;Scherpenzeel;3927;Renswoude;08XG;00;CBS Korenmaat;3925SM;SCHERPENZEEL GLD;Gelderland;Bo;Protestants-Christelijk;41621;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;279;Scherpenzeel;3931;Woudenberg;08XG;00;CBS Korenmaat;3925SM;SCHERPENZEEL GLD;Gelderland;Bo;Protestants-Christelijk;41621;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;279;Scherpenzeel;3953;Utrechtse Heuvelrug;08XG;00;CBS Korenmaat;3925SM;SCHERPENZEEL GLD;Gelderland;Bo;Protestants-Christelijk;41621;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;279;Scherpenzeel;3959;Utrechtse Heuvelrug;08XG;00;CBS Korenmaat;3925SM;SCHERPENZEEL GLD;Gelderland;Bo;Protestants-Christelijk;41621;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;279;Scherpenzeel;3831;Leusden;09UY;00;Basisschool De Glashorst;3925BS;SCHERPENZEEL GLD;Gelderland;Bo;Protestants-Christelijk;41621;0;0;2;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;279;Scherpenzeel;3905;Veenendaal;09UY;00;Basisschool De Glashorst;3925BS;SCHERPENZEEL GLD;Gelderland;Bo;Protestants-Christelijk;41621;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;279;Scherpenzeel;3925;Scherpenzeel;09UY;00;Basisschool De Glashorst;3925BS;SCHERPENZEEL GLD;Gelderland;Bo;Protestants-Christelijk;41621;0;50;36;23;28;28;27;25;22;2;0;0;0;0;0;0;0;0;0;0;0;0;0;241
20171001;279;Scherpenzeel;3931;Woudenberg;09UY;00;Basisschool De Glashorst;3925BS;SCHERPENZEEL GLD;Gelderland;Bo;Protestants-Christelijk;41621;0;1;2;1;2;4;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;279;Scherpenzeel;4231;Zederik;09UY;00;Basisschool De Glashorst;3925BS;SCHERPENZEEL GLD;Gelderland;Bo;Protestants-Christelijk;41621;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;279;Scherpenzeel;6741;Ede;09UY;00;Basisschool De Glashorst;3925BS;SCHERPENZEEL GLD;Gelderland;Bo;Protestants-Christelijk;41621;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;279;Scherpenzeel;3772;Barneveld;10SO;01;Basisschool De Dorpsbeuk;3925JL;SCHERPENZEEL GLD;Gelderland;Bo;Openbaar;41481;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;279;Scherpenzeel;3925;Scherpenzeel;10SO;01;Basisschool De Dorpsbeuk;3925JL;SCHERPENZEEL GLD;Gelderland;Bo;Openbaar;41481;0;19;19;23;15;15;13;15;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;133
20171001;279;Scherpenzeel;3927;Renswoude;10SO;01;Basisschool De Dorpsbeuk;3925JL;SCHERPENZEEL GLD;Gelderland;Bo;Openbaar;41481;0;0;2;0;2;2;3;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;279;Scherpenzeel;3931;Woudenberg;10SO;01;Basisschool De Dorpsbeuk;3925JL;SCHERPENZEEL GLD;Gelderland;Bo;Openbaar;41481;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;279;Scherpenzeel;3953;Utrechtse Heuvelrug;10SO;01;Basisschool De Dorpsbeuk;3925JL;SCHERPENZEEL GLD;Gelderland;Bo;Openbaar;41481;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
