PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;606;Schiedam;3011;Rotterdam;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3021;Rotterdam;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3025;Rotterdam;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3028;Rotterdam;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3076;Rotterdam;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3111;Schiedam;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;606;Schiedam;3112;Schiedam;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;606;Schiedam;3114;Schiedam;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;606;Schiedam;3117;Schiedam;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3118;Schiedam;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;606;Schiedam;3119;Schiedam;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;606;Schiedam;3122;Schiedam;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;606;Schiedam;3123;Schiedam;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;606;Schiedam;3124;Schiedam;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3131;Vlaardingen;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;3;0;1;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;606;Schiedam;3132;Vlaardingen;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;606;Schiedam;3134;Vlaardingen;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3135;Vlaardingen;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;606;Schiedam;3136;Vlaardingen;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;606;Schiedam;3137;Vlaardingen;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;2;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;606;Schiedam;3141;Maassluis;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;606;Schiedam;3142;Maassluis;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;606;Schiedam;3143;Maassluis;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3144;Maassluis;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;606;Schiedam;3145;Maassluis;01AI;04;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;2642;Pijnacker-Nootdorp;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;2652;Lansingerland;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;2676;Westland;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;2809;Gouda;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;2903;Capelle aan den IJssel;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
20171001;606;Schiedam;2904;Capelle aan den IJssel;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;2905;Capelle aan den IJssel;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;2907;Capelle aan den IJssel;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;2923;Krimpen aan den IJssel;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3022;Rotterdam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3023;Rotterdam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2
20171001;606;Schiedam;3027;Rotterdam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3031;Rotterdam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3036;Rotterdam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3037;Rotterdam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3038;Rotterdam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3043;Rotterdam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;3
20171001;606;Schiedam;3055;Rotterdam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3059;Rotterdam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3066;Rotterdam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3067;Rotterdam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;3
20171001;606;Schiedam;3068;Rotterdam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3069;Rotterdam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3074;Rotterdam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3078;Rotterdam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3111;Schiedam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;606;Schiedam;3112;Schiedam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;0;0;0;0;0;0;0;0;6
20171001;606;Schiedam;3114;Schiedam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;5
20171001;606;Schiedam;3116;Schiedam;01UC;15;Yulius IIex College;3118GC;SCHIEDAM;Zuid-Holland;Vso;Algemeen bijzonder;85256;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;3
