PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;962;Schinnen;5628;Eindhoven;06SL;00;Basissch De Verrekijker;6436AZ;AMSTENRADE;Limburg;Bo;Rooms-Katholiek;41506;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;962;Schinnen;6101;Echt-Susteren;06SL;00;Basissch De Verrekijker;6436AZ;AMSTENRADE;Limburg;Bo;Rooms-Katholiek;41506;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;962;Schinnen;6136;Sittard-Geleen;06SL;00;Basissch De Verrekijker;6436AZ;AMSTENRADE;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;962;Schinnen;6241;Meerssen;06SL;00;Basissch De Verrekijker;6436AZ;AMSTENRADE;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;962;Schinnen;6361;Nuth;06SL;00;Basissch De Verrekijker;6436AZ;AMSTENRADE;Limburg;Bo;Rooms-Katholiek;41506;0;5;2;1;4;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;962;Schinnen;6365;Schinnen;06SL;00;Basissch De Verrekijker;6436AZ;AMSTENRADE;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;962;Schinnen;6372;Landgraaf;06SL;00;Basissch De Verrekijker;6436AZ;AMSTENRADE;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;962;Schinnen;6412;Heerlen;06SL;00;Basissch De Verrekijker;6436AZ;AMSTENRADE;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;962;Schinnen;6413;Heerlen;06SL;00;Basissch De Verrekijker;6436AZ;AMSTENRADE;Limburg;Bo;Rooms-Katholiek;41506;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;962;Schinnen;6414;Heerlen;06SL;00;Basissch De Verrekijker;6436AZ;AMSTENRADE;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;962;Schinnen;6431;Heerlen;06SL;00;Basissch De Verrekijker;6436AZ;AMSTENRADE;Limburg;Bo;Rooms-Katholiek;41506;0;1;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
