PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1676;Schouwen-Duiveland;4301;Schouwen-Duiveland;03KA;00;RK BS St. Willibrordus;4301KB;ZIERIKZEE;Zeeland;Bo;Rooms-Katholiek;77533;0;13;13;15;13;14;18;7;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107
20171001;1676;Schouwen-Duiveland;4302;Schouwen-Duiveland;03KA;00;RK BS St. Willibrordus;4301KB;ZIERIKZEE;Zeeland;Bo;Rooms-Katholiek;77533;0;3;2;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;1676;Schouwen-Duiveland;4303;Schouwen-Duiveland;03KA;00;RK BS St. Willibrordus;4301KB;ZIERIKZEE;Zeeland;Bo;Rooms-Katholiek;77533;0;2;1;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;1676;Schouwen-Duiveland;4305;Schouwen-Duiveland;03KA;00;RK BS St. Willibrordus;4301KB;ZIERIKZEE;Zeeland;Bo;Rooms-Katholiek;77533;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1676;Schouwen-Duiveland;4306;Schouwen-Duiveland;03KA;00;RK BS St. Willibrordus;4301KB;ZIERIKZEE;Zeeland;Bo;Rooms-Katholiek;77533;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1676;Schouwen-Duiveland;4316;Schouwen-Duiveland;03KA;00;RK BS St. Willibrordus;4301KB;ZIERIKZEE;Zeeland;Bo;Rooms-Katholiek;77533;0;0;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1676;Schouwen-Duiveland;4317;Schouwen-Duiveland;03KA;00;RK BS St. Willibrordus;4301KB;ZIERIKZEE;Zeeland;Bo;Rooms-Katholiek;77533;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1676;Schouwen-Duiveland;4318;Schouwen-Duiveland;03KA;00;RK BS St. Willibrordus;4301KB;ZIERIKZEE;Zeeland;Bo;Rooms-Katholiek;77533;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1676;Schouwen-Duiveland;4321;Schouwen-Duiveland;03KA;00;RK BS St. Willibrordus;4301KB;ZIERIKZEE;Zeeland;Bo;Rooms-Katholiek;77533;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1676;Schouwen-Duiveland;4317;Schouwen-Duiveland;05QD;00;De Morgenster;4321AM;KERKWERVE;Zeeland;Bo;Protestants-Christelijk;41583;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
