PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;965;Simpelveld;6214;Maastricht;03PF;00;Basisschool Bocholtz;6351HJ;BOCHOLTZ;Limburg;Bo;Rooms-Katholiek;41516;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;965;Simpelveld;6285;Gulpen-Wittem;03PF;00;Basisschool Bocholtz;6351HJ;BOCHOLTZ;Limburg;Bo;Rooms-Katholiek;41516;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;965;Simpelveld;6286;Gulpen-Wittem;03PF;00;Basisschool Bocholtz;6351HJ;BOCHOLTZ;Limburg;Bo;Rooms-Katholiek;41516;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;965;Simpelveld;6287;Gulpen-Wittem;03PF;00;Basisschool Bocholtz;6351HJ;BOCHOLTZ;Limburg;Bo;Rooms-Katholiek;41516;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;965;Simpelveld;6289;Gulpen-Wittem;03PF;00;Basisschool Bocholtz;6351HJ;BOCHOLTZ;Limburg;Bo;Rooms-Katholiek;41516;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;965;Simpelveld;6351;Simpelveld;03PF;00;Basisschool Bocholtz;6351HJ;BOCHOLTZ;Limburg;Bo;Rooms-Katholiek;41516;0;32;28;39;37;52;37;39;33;5;0;0;0;0;0;0;0;0;0;0;0;0;0;302
20171001;965;Simpelveld;6353;Simpelveld;03PF;00;Basisschool Bocholtz;6351HJ;BOCHOLTZ;Limburg;Bo;Rooms-Katholiek;41516;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;965;Simpelveld;6369;Simpelveld;03PF;00;Basisschool Bocholtz;6351HJ;BOCHOLTZ;Limburg;Bo;Rooms-Katholiek;41516;0;0;1;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;965;Simpelveld;6418;Heerlen;03PF;00;Basisschool Bocholtz;6351HJ;BOCHOLTZ;Limburg;Bo;Rooms-Katholiek;41516;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;965;Simpelveld;6461;Kerkrade;03PF;00;Basisschool Bocholtz;6351HJ;BOCHOLTZ;Limburg;Bo;Rooms-Katholiek;41516;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
