PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1702;Sint Anthonis;5345;Oss;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1702;Sint Anthonis;5361;Grave;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;1702;Sint Anthonis;5401;Uden;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2
20171001;1702;Sint Anthonis;5402;Uden;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;1702;Sint Anthonis;5403;Uden;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;1702;Sint Anthonis;5404;Uden;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2
20171001;1702;Sint Anthonis;5406;Uden;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;1702;Sint Anthonis;5409;Uden;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1702;Sint Anthonis;5421;Gemert-Bakel;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2
20171001;1702;Sint Anthonis;5422;Gemert-Bakel;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2
20171001;1702;Sint Anthonis;5424;Gemert-Bakel;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
20171001;1702;Sint Anthonis;5427;Boekel;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1702;Sint Anthonis;5431;Cuijk;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;3
20171001;1702;Sint Anthonis;5432;Cuijk;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;4
20171001;1702;Sint Anthonis;5434;Cuijk;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;1702;Sint Anthonis;5446;Sint Anthonis;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1702;Sint Anthonis;5454;Mill en Sint Hubert;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;1702;Sint Anthonis;5455;Mill en Sint Hubert;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;1702;Sint Anthonis;5469;Meierijstad;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2
20171001;1702;Sint Anthonis;5701;Helmond;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1702;Sint Anthonis;5704;Helmond;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1702;Sint Anthonis;5707;Helmond;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;1702;Sint Anthonis;5741;Laarbeek;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;3
20171001;1702;Sint Anthonis;5751;Deurne;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1702;Sint Anthonis;5753;Deurne;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;1702;Sint Anthonis;5754;Deurne;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;3
20171001;1702;Sint Anthonis;5759;Deurne;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2
20171001;1702;Sint Anthonis;5801;Venray;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1702;Sint Anthonis;5802;Venray;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;2;2;0;1;1;0;0;0;0;0;0;0;0;0;6
20171001;1702;Sint Anthonis;5803;Venray;03TV;03;De Korenaer;5844AP;STEVENSBEEK;Noord-Brabant;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;5
