PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;610;Sliedrecht;2352;Leiderdorp;04VD;00;Prins Willem Alexander;3362SP;SLIEDRECHT;Zuid-Holland;Bo;Protestants-Christelijk;43928;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;610;Sliedrecht;2986;Ridderkerk;04VD;00;Prins Willem Alexander;3362SP;SLIEDRECHT;Zuid-Holland;Bo;Protestants-Christelijk;43928;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;610;Sliedrecht;3076;Rotterdam;04VD;00;Prins Willem Alexander;3362SP;SLIEDRECHT;Zuid-Holland;Bo;Protestants-Christelijk;43928;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;610;Sliedrecht;3351;Papendrecht;04VD;00;Prins Willem Alexander;3362SP;SLIEDRECHT;Zuid-Holland;Bo;Protestants-Christelijk;43928;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;610;Sliedrecht;3356;Papendrecht;04VD;00;Prins Willem Alexander;3362SP;SLIEDRECHT;Zuid-Holland;Bo;Protestants-Christelijk;43928;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;610;Sliedrecht;3361;Sliedrecht;04VD;00;Prins Willem Alexander;3362SP;SLIEDRECHT;Zuid-Holland;Bo;Protestants-Christelijk;43928;0;8;7;7;14;8;13;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;67
20171001;610;Sliedrecht;3362;Sliedrecht;04VD;00;Prins Willem Alexander;3362SP;SLIEDRECHT;Zuid-Holland;Bo;Protestants-Christelijk;43928;0;58;51;46;69;49;46;58;47;7;1;0;0;0;0;0;0;0;0;0;0;0;0;432
20171001;610;Sliedrecht;3363;Sliedrecht;04VD;00;Prins Willem Alexander;3362SP;SLIEDRECHT;Zuid-Holland;Bo;Protestants-Christelijk;43928;0;0;2;1;1;1;3;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;610;Sliedrecht;3364;Sliedrecht;04VD;00;Prins Willem Alexander;3362SP;SLIEDRECHT;Zuid-Holland;Bo;Protestants-Christelijk;43928;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;610;Sliedrecht;3371;Hardinxveld-Giessendam;04VD;00;Prins Willem Alexander;3362SP;SLIEDRECHT;Zuid-Holland;Bo;Protestants-Christelijk;43928;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;610;Sliedrecht;3372;Hardinxveld-Giessendam;04VD;00;Prins Willem Alexander;3362SP;SLIEDRECHT;Zuid-Holland;Bo;Protestants-Christelijk;43928;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;610;Sliedrecht;3356;Papendrecht;05TG;00;Johannes Calvijnschool;3363CK;SLIEDRECHT;Zuid-Holland;Bo;Reformatorisch;91118;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;610;Sliedrecht;3361;Sliedrecht;05TG;00;Johannes Calvijnschool;3363CK;SLIEDRECHT;Zuid-Holland;Bo;Reformatorisch;91118;0;23;19;22;22;15;25;22;27;2;0;0;0;0;0;0;0;0;0;0;0;0;0;177
20171001;610;Sliedrecht;3362;Sliedrecht;05TG;00;Johannes Calvijnschool;3363CK;SLIEDRECHT;Zuid-Holland;Bo;Reformatorisch;91118;0;28;35;31;20;31;22;31;17;2;0;0;0;0;0;0;0;0;0;0;0;0;0;217
20171001;610;Sliedrecht;3363;Sliedrecht;05TG;00;Johannes Calvijnschool;3363CK;SLIEDRECHT;Zuid-Holland;Bo;Reformatorisch;91118;0;19;15;15;18;21;21;15;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141
20171001;610;Sliedrecht;3364;Sliedrecht;05TG;00;Johannes Calvijnschool;3363CK;SLIEDRECHT;Zuid-Holland;Bo;Reformatorisch;91118;0;0;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;610;Sliedrecht;3371;Hardinxveld-Giessendam;05TG;00;Johannes Calvijnschool;3363CK;SLIEDRECHT;Zuid-Holland;Bo;Reformatorisch;91118;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;610;Sliedrecht;4205;Gorinchem;05TG;00;Johannes Calvijnschool;3363CK;SLIEDRECHT;Zuid-Holland;Bo;Reformatorisch;91118;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;610;Sliedrecht;7741;Coevorden;05TG;00;Johannes Calvijnschool;3363CK;SLIEDRECHT;Zuid-Holland;Bo;Reformatorisch;91118;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;610;Sliedrecht;2771;Alphen aan den Rijn;07OB;00;Bs Anne De Vriesschool;3363AH;SLIEDRECHT;Zuid-Holland;Bo;Protestants-Christelijk;43928;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;610;Sliedrecht;2971;Molenwaard;07OB;00;Bs Anne De Vriesschool;3363AH;SLIEDRECHT;Zuid-Holland;Bo;Protestants-Christelijk;43928;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;610;Sliedrecht;3352;Papendrecht;07OB;00;Bs Anne De Vriesschool;3363AH;SLIEDRECHT;Zuid-Holland;Bo;Protestants-Christelijk;43928;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;610;Sliedrecht;3361;Sliedrecht;07OB;00;Bs Anne De Vriesschool;3363AH;SLIEDRECHT;Zuid-Holland;Bo;Protestants-Christelijk;43928;0;5;7;5;6;7;4;11;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;49
20171001;610;Sliedrecht;3362;Sliedrecht;07OB;00;Bs Anne De Vriesschool;3363AH;SLIEDRECHT;Zuid-Holland;Bo;Protestants-Christelijk;43928;0;2;3;3;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;610;Sliedrecht;3363;Sliedrecht;07OB;00;Bs Anne De Vriesschool;3363AH;SLIEDRECHT;Zuid-Holland;Bo;Protestants-Christelijk;43928;0;49;38;32;28;29;21;31;21;2;0;0;0;0;0;0;0;0;0;0;0;0;0;251
20171001;610;Sliedrecht;3364;Sliedrecht;07OB;00;Bs Anne De Vriesschool;3363AH;SLIEDRECHT;Zuid-Holland;Bo;Protestants-Christelijk;43928;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
