PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;40;Slochteren;9626;Slochteren;04JO;00;Chr Bs De Zonnewijzer;9628CL;SIDDEBUREN;Groningen;Bo;Protestants-Christelijk;41845;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;40;Slochteren;9627;Slochteren;04JO;00;Chr Bs De Zonnewijzer;9628CL;SIDDEBUREN;Groningen;Bo;Protestants-Christelijk;41845;0;3;3;6;3;4;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
20171001;40;Slochteren;9628;Slochteren;04JO;00;Chr Bs De Zonnewijzer;9628CL;SIDDEBUREN;Groningen;Bo;Protestants-Christelijk;41845;0;8;14;11;11;17;11;20;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;106
20171001;40;Slochteren;9939;Slochteren;04JO;00;Chr Bs De Zonnewijzer;9628CL;SIDDEBUREN;Groningen;Bo;Protestants-Christelijk;41845;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;40;Slochteren;9608;Hoogezand-Sappemeer;05OZ;00;Basisschool De Ster;9617BN;HARKSTEDE;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;40;Slochteren;9614;Groningen;05OZ;00;Basisschool De Ster;9617BN;HARKSTEDE;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;40;Slochteren;9615;Slochteren;05OZ;00;Basisschool De Ster;9617BN;HARKSTEDE;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;40;Slochteren;9616;Slochteren;05OZ;00;Basisschool De Ster;9617BN;HARKSTEDE;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;40;Slochteren;9617;Slochteren;05OZ;00;Basisschool De Ster;9617BN;HARKSTEDE;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;2;9;3;7;3;7;3;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;42
20171001;40;Slochteren;9621;Slochteren;05OZ;00;Basisschool De Ster;9617BN;HARKSTEDE;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
