PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;90;Smallingerland;8401;Opsterland;00MU;00;SO De Zwaai;9201JE;DRACHTEN;Friesland;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;90;Smallingerland;8406;Opsterland;00MU;00;SO De Zwaai;9201JE;DRACHTEN;Friesland;So;Algemeen bijzonder;41414;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;90;Smallingerland;8408;Opsterland;00MU;00;SO De Zwaai;9201JE;DRACHTEN;Friesland;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;90;Smallingerland;8421;Ooststellingwerf;00MU;00;SO De Zwaai;9201JE;DRACHTEN;Friesland;So;Algemeen bijzonder;41414;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;90;Smallingerland;8426;Ooststellingwerf;00MU;00;SO De Zwaai;9201JE;DRACHTEN;Friesland;So;Algemeen bijzonder;41414;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;90;Smallingerland;8431;Ooststellingwerf;00MU;00;SO De Zwaai;9201JE;DRACHTEN;Friesland;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;90;Smallingerland;8451;Heerenveen;00MU;00;SO De Zwaai;9201JE;DRACHTEN;Friesland;So;Algemeen bijzonder;41414;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;90;Smallingerland;8491;Heerenveen;00MU;00;SO De Zwaai;9201JE;DRACHTEN;Friesland;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;90;Smallingerland;8539;De Fryske Marren;00MU;00;SO De Zwaai;9201JE;DRACHTEN;Friesland;So;Algemeen bijzonder;41414;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;90;Smallingerland;9201;Smallingerland;00MU;00;SO De Zwaai;9201JE;DRACHTEN;Friesland;So;Algemeen bijzonder;41414;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
