PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;342;Soest;3451;Utrecht;06UZ;00;Basisschool De Postiljon;3769EC;SOESTERBERG;Utrecht;Bo;Protestants-Christelijk;41242;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;342;Soest;3702;Zeist;06UZ;00;Basisschool De Postiljon;3769EC;SOESTERBERG;Utrecht;Bo;Protestants-Christelijk;41242;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;342;Soest;3712;Zeist;06UZ;00;Basisschool De Postiljon;3769EC;SOESTERBERG;Utrecht;Bo;Protestants-Christelijk;41242;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;342;Soest;3769;Soest;06UZ;00;Basisschool De Postiljon;3769EC;SOESTERBERG;Utrecht;Bo;Protestants-Christelijk;41242;0;25;19;22;30;16;26;25;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185
20171001;342;Soest;1261;Blaricum;08CN;00;1e Van der Huchtschool;3761AT;SOEST;Utrecht;Bo;Algemeen bijzonder;97358;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;342;Soest;3561;Utrecht;08CN;00;1e Van der Huchtschool;3761AT;SOEST;Utrecht;Bo;Algemeen bijzonder;97358;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;342;Soest;3761;Soest;08CN;00;1e Van der Huchtschool;3761AT;SOEST;Utrecht;Bo;Algemeen bijzonder;97358;0;11;13;11;9;17;14;10;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;98
20171001;342;Soest;3762;Soest;08CN;00;1e Van der Huchtschool;3761AT;SOEST;Utrecht;Bo;Algemeen bijzonder;97358;0;7;5;6;7;6;6;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50
20171001;342;Soest;3763;Soest;08CN;00;1e Van der Huchtschool;3761AT;SOEST;Utrecht;Bo;Algemeen bijzonder;97358;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;342;Soest;3764;Soest;08CN;00;1e Van der Huchtschool;3761AT;SOEST;Utrecht;Bo;Algemeen bijzonder;97358;0;8;7;12;11;4;8;7;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;69
