PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;847;Someren;5709;Helmond;05DJ;00;RK Basisschool St Jozef;5712ET;SOMEREN;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;847;Someren;5711;Someren;05DJ;00;RK Basisschool St Jozef;5712ET;SOMEREN;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;847;Someren;5712;Someren;05DJ;00;RK Basisschool St Jozef;5712ET;SOMEREN;Noord-Brabant;Bo;Rooms-Katholiek;41223;0;12;17;9;11;11;6;16;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;98
20171001;847;Someren;5591;Heeze-Leende;06IC;00;SBO De Brigantijn;5711EJ;SOMEREN;Noord-Brabant;Sbo;Rooms-Katholiek;41223;0;0;0;0;0;3;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;847;Someren;5595;Heeze-Leende;06IC;00;SBO De Brigantijn;5711EJ;SOMEREN;Noord-Brabant;Sbo;Rooms-Katholiek;41223;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;847;Someren;5711;Someren;06IC;00;SBO De Brigantijn;5711EJ;SOMEREN;Noord-Brabant;Sbo;Rooms-Katholiek;41223;0;0;1;2;1;1;2;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;19
20171001;847;Someren;5712;Someren;06IC;00;SBO De Brigantijn;5711EJ;SOMEREN;Noord-Brabant;Sbo;Rooms-Katholiek;41223;0;0;0;1;2;2;9;4;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;31
20171001;847;Someren;5715;Someren;06IC;00;SBO De Brigantijn;5711EJ;SOMEREN;Noord-Brabant;Sbo;Rooms-Katholiek;41223;0;0;0;0;1;2;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;847;Someren;5721;Asten;06IC;00;SBO De Brigantijn;5711EJ;SOMEREN;Noord-Brabant;Sbo;Rooms-Katholiek;41223;0;1;1;1;3;4;6;5;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;32
20171001;847;Someren;5724;Asten;06IC;00;SBO De Brigantijn;5711EJ;SOMEREN;Noord-Brabant;Sbo;Rooms-Katholiek;41223;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
