PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;37;Stadskanaal;7741;Coevorden;01KY;00;SSBO De Baldakijn;9501TJ;STADSKANAAL;Groningen;Sbo;Algemeen bijzonder;41358;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;37;Stadskanaal;7876;Borger-Odoorn;01KY;00;SSBO De Baldakijn;9501TJ;STADSKANAAL;Groningen;Sbo;Algemeen bijzonder;41358;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;37;Stadskanaal;9403;Assen;01KY;00;SSBO De Baldakijn;9501TJ;STADSKANAAL;Groningen;Sbo;Algemeen bijzonder;41358;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;37;Stadskanaal;9461;Aa en Hunze;01KY;00;SSBO De Baldakijn;9501TJ;STADSKANAAL;Groningen;Sbo;Algemeen bijzonder;41358;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;37;Stadskanaal;9462;Aa en Hunze;01KY;00;SSBO De Baldakijn;9501TJ;STADSKANAAL;Groningen;Sbo;Algemeen bijzonder;41358;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;37;Stadskanaal;9464;Aa en Hunze;01KY;00;SSBO De Baldakijn;9501TJ;STADSKANAAL;Groningen;Sbo;Algemeen bijzonder;41358;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;37;Stadskanaal;9501;Stadskanaal;01KY;00;SSBO De Baldakijn;9501TJ;STADSKANAAL;Groningen;Sbo;Algemeen bijzonder;41358;0;0;2;3;2;7;14;9;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;42
20171001;37;Stadskanaal;9502;Stadskanaal;01KY;00;SSBO De Baldakijn;9501TJ;STADSKANAAL;Groningen;Sbo;Algemeen bijzonder;41358;0;0;1;1;3;1;1;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;37;Stadskanaal;9503;Stadskanaal;01KY;00;SSBO De Baldakijn;9501TJ;STADSKANAAL;Groningen;Sbo;Algemeen bijzonder;41358;0;1;1;0;0;1;3;3;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;37;Stadskanaal;9511;Aa en Hunze;01KY;00;SSBO De Baldakijn;9501TJ;STADSKANAAL;Groningen;Sbo;Algemeen bijzonder;41358;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;37;Stadskanaal;9514;Aa en Hunze;01KY;00;SSBO De Baldakijn;9501TJ;STADSKANAAL;Groningen;Sbo;Algemeen bijzonder;41358;0;0;0;0;1;0;2;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;37;Stadskanaal;9515;Aa en Hunze;01KY;00;SSBO De Baldakijn;9501TJ;STADSKANAAL;Groningen;Sbo;Algemeen bijzonder;41358;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;37;Stadskanaal;9521;Borger-Odoorn;01KY;00;SSBO De Baldakijn;9501TJ;STADSKANAAL;Groningen;Sbo;Algemeen bijzonder;41358;0;0;0;0;1;1;4;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13
