PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;180;Staphorst;7951;Staphorst;03HQ;00;GBS de Levensboom;7954GC;ROUVEEN;Overijssel;Bo;Gereformeerd vrijgemaakt;41632;0;1;5;3;7;3;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28
20171001;180;Staphorst;7954;Staphorst;03HQ;00;GBS de Levensboom;7954GC;ROUVEEN;Overijssel;Bo;Gereformeerd vrijgemaakt;41632;0;10;23;25;16;19;16;12;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;139
20171001;180;Staphorst;7943;Meppel;03ML;00;Chr Nationale Basissch;7951JS;STAPHORST;Overijssel;Bo;Protestants-Christelijk;36831;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;180;Staphorst;7951;Staphorst;03ML;00;Chr Nationale Basissch;7951JS;STAPHORST;Overijssel;Bo;Protestants-Christelijk;36831;0;47;36;38;37;35;28;31;30;7;0;0;0;0;0;0;0;0;0;0;0;0;0;289
20171001;180;Staphorst;7954;Staphorst;03ML;00;Chr Nationale Basissch;7951JS;STAPHORST;Overijssel;Bo;Protestants-Christelijk;36831;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;180;Staphorst;7731;Ommen;05ZH;00;Basissch De Berkenhorst;7951JS;STAPHORST;Overijssel;Bo;Openbaar;41629;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;180;Staphorst;7951;Staphorst;05ZH;00;Basissch De Berkenhorst;7951JS;STAPHORST;Overijssel;Bo;Openbaar;41629;0;5;9;8;10;11;6;14;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;72
20171001;180;Staphorst;7954;Staphorst;05ZH;00;Basissch De Berkenhorst;7951JS;STAPHORST;Overijssel;Bo;Openbaar;41629;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;180;Staphorst;7715;Staphorst;08AP;00;De Triangel;7954GC;ROUVEEN;Overijssel;Bo;Protestants-Christelijk;90637;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;180;Staphorst;7951;Staphorst;08AP;00;De Triangel;7954GC;ROUVEEN;Overijssel;Bo;Protestants-Christelijk;90637;0;2;1;2;1;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;180;Staphorst;7954;Staphorst;08AP;00;De Triangel;7954GC;ROUVEEN;Overijssel;Bo;Protestants-Christelijk;90637;0;21;35;29;30;31;27;26;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218
20171001;180;Staphorst;  40;Onbekend;08ER;00;Basisschool De Iekmulder;7955AN;IJHORST;Overijssel;Bo;Openbaar;41629;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;180;Staphorst;7707;Hardenberg;08ER;00;Basisschool De Iekmulder;7955AN;IJHORST;Overijssel;Bo;Openbaar;41629;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;180;Staphorst;7943;Meppel;08ER;00;Basisschool De Iekmulder;7955AN;IJHORST;Overijssel;Bo;Openbaar;41629;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;180;Staphorst;7951;Staphorst;08ER;00;Basisschool De Iekmulder;7955AN;IJHORST;Overijssel;Bo;Openbaar;41629;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;180;Staphorst;7955;Staphorst;08ER;00;Basisschool De Iekmulder;7955AN;IJHORST;Overijssel;Bo;Openbaar;41629;0;4;8;4;6;7;10;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50
20171001;180;Staphorst;7957;De Wolden;08ER;00;Basisschool De Iekmulder;7955AN;IJHORST;Overijssel;Bo;Openbaar;41629;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;180;Staphorst;7715;Staphorst;08VB;00;Willem De Zwijgerschool;7951DS;STAPHORST;Overijssel;Bo;Reformatorisch;29056;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;180;Staphorst;7951;Staphorst;08VB;00;Willem De Zwijgerschool;7951DS;STAPHORST;Overijssel;Bo;Reformatorisch;29056;0;31;40;35;33;39;41;36;32;2;0;0;0;0;0;0;0;0;0;0;0;0;0;289
20171001;180;Staphorst;7954;Staphorst;08VB;00;Willem De Zwijgerschool;7951DS;STAPHORST;Overijssel;Bo;Reformatorisch;29056;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;180;Staphorst;7951;Staphorst;09TE;00;Ds Harmen Doornveldsch;7951LD;STAPHORST;Overijssel;Bo;Reformatorisch;29056;0;21;23;27;21;22;30;24;26;2;0;0;0;0;0;0;0;0;0;0;0;0;0;196
