PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1708;Steenwijkerland;7761;Emmen;02YN;06;de Ambelt;8332GL;STEENWIJK;Overijssel;So;Algemeen bijzonder;96240;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1708;Steenwijkerland;7881;Emmen;02YN;06;de Ambelt;8332GL;STEENWIJK;Overijssel;So;Algemeen bijzonder;96240;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1708;Steenwijkerland;7891;Emmen;02YN;06;de Ambelt;8332GL;STEENWIJK;Overijssel;So;Algemeen bijzonder;96240;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1708;Steenwijkerland;7903;Hoogeveen;02YN;06;de Ambelt;8332GL;STEENWIJK;Overijssel;So;Algemeen bijzonder;96240;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1708;Steenwijkerland;7904;Hoogeveen;02YN;06;de Ambelt;8332GL;STEENWIJK;Overijssel;So;Algemeen bijzonder;96240;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1708;Steenwijkerland;7908;Hoogeveen;02YN;06;de Ambelt;8332GL;STEENWIJK;Overijssel;So;Algemeen bijzonder;96240;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1708;Steenwijkerland;7909;Hoogeveen;02YN;06;de Ambelt;8332GL;STEENWIJK;Overijssel;So;Algemeen bijzonder;96240;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1708;Steenwijkerland;7913;Hoogeveen;02YN;06;de Ambelt;8332GL;STEENWIJK;Overijssel;So;Algemeen bijzonder;96240;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1708;Steenwijkerland;7933;Hoogeveen;02YN;06;de Ambelt;8332GL;STEENWIJK;Overijssel;So;Algemeen bijzonder;96240;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1708;Steenwijkerland;7941;Meppel;02YN;06;de Ambelt;8332GL;STEENWIJK;Overijssel;So;Algemeen bijzonder;96240;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1708;Steenwijkerland;7942;Meppel;02YN;06;de Ambelt;8332GL;STEENWIJK;Overijssel;So;Algemeen bijzonder;96240;0;0;0;0;1;1;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;1708;Steenwijkerland;7943;Meppel;02YN;06;de Ambelt;8332GL;STEENWIJK;Overijssel;So;Algemeen bijzonder;96240;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1708;Steenwijkerland;7944;Meppel;02YN;06;de Ambelt;8332GL;STEENWIJK;Overijssel;So;Algemeen bijzonder;96240;0;0;0;1;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1708;Steenwijkerland;7948;Meppel;02YN;06;de Ambelt;8332GL;STEENWIJK;Overijssel;So;Algemeen bijzonder;96240;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1708;Steenwijkerland;7951;Staphorst;02YN;06;de Ambelt;8332GL;STEENWIJK;Overijssel;So;Algemeen bijzonder;96240;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
