PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;971;Stein;2266;Leidschendam-Voorburg;04XL;00;KC Aelse;6181CL;ELSLOO LB;Limburg;Bo;Rooms-Katholiek;83280;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;971;Stein;3223;Hellevoetsluis;04XL;00;KC Aelse;6181CL;ELSLOO LB;Limburg;Bo;Rooms-Katholiek;83280;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;971;Stein;6121;Sittard-Geleen;04XL;00;KC Aelse;6181CL;ELSLOO LB;Limburg;Bo;Rooms-Katholiek;83280;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;971;Stein;6129;Stein;04XL;00;KC Aelse;6181CL;ELSLOO LB;Limburg;Bo;Rooms-Katholiek;83280;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;971;Stein;6151;Sittard-Geleen;04XL;00;KC Aelse;6181CL;ELSLOO LB;Limburg;Bo;Rooms-Katholiek;83280;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;971;Stein;6163;Sittard-Geleen;04XL;00;KC Aelse;6181CL;ELSLOO LB;Limburg;Bo;Rooms-Katholiek;83280;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;971;Stein;6166;Sittard-Geleen;04XL;00;KC Aelse;6181CL;ELSLOO LB;Limburg;Bo;Rooms-Katholiek;83280;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;971;Stein;6171;Stein;04XL;00;KC Aelse;6181CL;ELSLOO LB;Limburg;Bo;Rooms-Katholiek;83280;0;1;5;3;7;2;1;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;28
20171001;971;Stein;6181;Stein;04XL;00;KC Aelse;6181CL;ELSLOO LB;Limburg;Bo;Rooms-Katholiek;83280;0;61;49;57;64;63;44;79;70;6;0;0;0;0;0;0;0;0;0;0;0;0;0;493
20171001;971;Stein;6191;Beek;04XL;00;KC Aelse;6181CL;ELSLOO LB;Limburg;Bo;Rooms-Katholiek;83280;0;1;1;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;971;Stein;6235;Meerssen;04XL;00;KC Aelse;6181CL;ELSLOO LB;Limburg;Bo;Rooms-Katholiek;83280;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;971;Stein;6243;Meerssen;04XL;00;KC Aelse;6181CL;ELSLOO LB;Limburg;Bo;Rooms-Katholiek;83280;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;971;Stein;6431;Heerlen;04XL;00;KC Aelse;6181CL;ELSLOO LB;Limburg;Bo;Rooms-Katholiek;83280;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;971;Stein;6432;Heerlen;04XL;00;KC Aelse;6181CL;ELSLOO LB;Limburg;Bo;Rooms-Katholiek;83280;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;971;Stein;  20;Duitsland;05JP;00;BS de Avonturijn;6129BN;URMOND;Limburg;Bo;Rooms-Katholiek;83280;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;971;Stein;6124;Sittard-Geleen;05JP;00;BS de Avonturijn;6129BN;URMOND;Limburg;Bo;Rooms-Katholiek;83280;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;971;Stein;6129;Stein;05JP;00;BS de Avonturijn;6129BN;URMOND;Limburg;Bo;Rooms-Katholiek;83280;0;11;10;19;10;15;20;17;19;4;0;0;0;0;0;0;0;0;0;0;0;0;0;125
20171001;971;Stein;6143;Sittard-Geleen;05JP;00;BS de Avonturijn;6129BN;URMOND;Limburg;Bo;Rooms-Katholiek;83280;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;971;Stein;6151;Sittard-Geleen;05JP;00;BS de Avonturijn;6129BN;URMOND;Limburg;Bo;Rooms-Katholiek;83280;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
