PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;617;Strijen;3085;Rotterdam;08AW;00;Basisschool De Parel;3291XJ;STRIJEN;Zuid-Holland;Bo;Protestants-Christelijk;41127;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;617;Strijen;3144;Maassluis;08AW;00;Basisschool De Parel;3291XJ;STRIJEN;Zuid-Holland;Bo;Protestants-Christelijk;41127;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;617;Strijen;3281;Cromstrijen;08AW;00;Basisschool De Parel;3291XJ;STRIJEN;Zuid-Holland;Bo;Protestants-Christelijk;41127;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;617;Strijen;3291;Strijen;08AW;00;Basisschool De Parel;3291XJ;STRIJEN;Zuid-Holland;Bo;Protestants-Christelijk;41127;0;28;16;21;23;32;20;31;29;3;0;0;0;0;0;0;0;0;0;0;0;0;0;203
20171001;617;Strijen;3292;Strijen;08AW;00;Basisschool De Parel;3291XJ;STRIJEN;Zuid-Holland;Bo;Protestants-Christelijk;41127;0;1;0;0;0;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;617;Strijen;3293;Strijen;08AW;00;Basisschool De Parel;3291XJ;STRIJEN;Zuid-Holland;Bo;Protestants-Christelijk;41127;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;617;Strijen;3295;Binnenmaas;08AW;00;Basisschool De Parel;3291XJ;STRIJEN;Zuid-Holland;Bo;Protestants-Christelijk;41127;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;617;Strijen;3299;Binnenmaas;08AW;00;Basisschool De Parel;3291XJ;STRIJEN;Zuid-Holland;Bo;Protestants-Christelijk;41127;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;617;Strijen;2547;'s-Gravenhage;09ZS;00;Basisschool De Boemerang;3293AB;MOOKHOEK;Zuid-Holland;Bo;Openbaar;41444;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;617;Strijen;3274;Binnenmaas;09ZS;00;Basisschool De Boemerang;3293AB;MOOKHOEK;Zuid-Holland;Bo;Openbaar;41444;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;617;Strijen;3291;Strijen;09ZS;00;Basisschool De Boemerang;3293AB;MOOKHOEK;Zuid-Holland;Bo;Openbaar;41444;0;0;2;2;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;617;Strijen;3292;Strijen;09ZS;00;Basisschool De Boemerang;3293AB;MOOKHOEK;Zuid-Holland;Bo;Openbaar;41444;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;617;Strijen;3293;Strijen;09ZS;00;Basisschool De Boemerang;3293AB;MOOKHOEK;Zuid-Holland;Bo;Openbaar;41444;0;0;6;1;2;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;617;Strijen;3295;Binnenmaas;09ZS;00;Basisschool De Boemerang;3293AB;MOOKHOEK;Zuid-Holland;Bo;Openbaar;41444;0;0;1;1;0;4;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;617;Strijen;3297;Binnenmaas;09ZS;00;Basisschool De Boemerang;3293AB;MOOKHOEK;Zuid-Holland;Bo;Openbaar;41444;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;617;Strijen;3299;Binnenmaas;09ZS;00;Basisschool De Boemerang;3293AB;MOOKHOEK;Zuid-Holland;Bo;Openbaar;41444;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;617;Strijen;2172;Teylingen;11GH;00;OBS De Meerwaarde;3291GJ;STRIJEN;Zuid-Holland;Bo;Openbaar;41444;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;617;Strijen;3281;Cromstrijen;11GH;00;OBS De Meerwaarde;3291GJ;STRIJEN;Zuid-Holland;Bo;Openbaar;41444;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;617;Strijen;3291;Strijen;11GH;00;OBS De Meerwaarde;3291GJ;STRIJEN;Zuid-Holland;Bo;Openbaar;41444;0;40;32;44;36;28;32;24;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;263
20171001;617;Strijen;3292;Strijen;11GH;00;OBS De Meerwaarde;3291GJ;STRIJEN;Zuid-Holland;Bo;Openbaar;41444;0;1;1;1;3;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;617;Strijen;3295;Binnenmaas;11GH;00;OBS De Meerwaarde;3291GJ;STRIJEN;Zuid-Holland;Bo;Openbaar;41444;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;617;Strijen;3297;Binnenmaas;11GH;00;OBS De Meerwaarde;3291GJ;STRIJEN;Zuid-Holland;Bo;Openbaar;41444;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;617;Strijen;3299;Binnenmaas;11GH;00;OBS De Meerwaarde;3291GJ;STRIJEN;Zuid-Holland;Bo;Openbaar;41444;0;0;2;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
