PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1900;Sudwest-Fryslan;8401;Opsterland;00MU;07;De Witakker;8608WK;SNEEK;Friesland;So;Algemeen bijzonder;41414;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8471;Weststellingwerf;00MU;07;De Witakker;8608WK;SNEEK;Friesland;So;Algemeen bijzonder;41414;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8511;De Fryske Marren;00MU;07;De Witakker;8608WK;SNEEK;Friesland;So;Algemeen bijzonder;41414;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8561;De Fryske Marren;00MU;07;De Witakker;8608WK;SNEEK;Friesland;So;Algemeen bijzonder;41414;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8603;S∑dwest-Frysl‘n;00MU;07;De Witakker;8608WK;SNEEK;Friesland;So;Algemeen bijzonder;41414;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1900;Sudwest-Fryslan;8608;S∑dwest-Frysl‘n;00MU;07;De Witakker;8608WK;SNEEK;Friesland;So;Algemeen bijzonder;41414;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8748;S∑dwest-Frysl‘n;00MU;07;De Witakker;8608WK;SNEEK;Friesland;So;Algemeen bijzonder;41414;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8831;Littenseradiel;00MU;07;De Witakker;8608WK;SNEEK;Friesland;So;Algemeen bijzonder;41414;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8501;De Fryske Marren;00MU;08;De Witakker;8601XC;SNEEK;Friesland;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1900;Sudwest-Fryslan;8531;De Fryske Marren;00MU;08;De Witakker;8601XC;SNEEK;Friesland;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8561;De Fryske Marren;00MU;08;De Witakker;8601XC;SNEEK;Friesland;So;Algemeen bijzonder;41414;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8602;S∑dwest-Frysl‘n;00MU;08;De Witakker;8601XC;SNEEK;Friesland;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8603;S∑dwest-Frysl‘n;00MU;08;De Witakker;8601XC;SNEEK;Friesland;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8604;S∑dwest-Frysl‘n;00MU;08;De Witakker;8601XC;SNEEK;Friesland;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8629;S∑dwest-Frysl‘n;00MU;08;De Witakker;8601XC;SNEEK;Friesland;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8644;S∑dwest-Frysl‘n;00MU;08;De Witakker;8601XC;SNEEK;Friesland;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8756;S∑dwest-Frysl‘n;00MU;08;De Witakker;8601XC;SNEEK;Friesland;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8763;S∑dwest-Frysl‘n;00MU;08;De Witakker;8601XC;SNEEK;Friesland;So;Algemeen bijzonder;41414;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8313;Noordoostpolder;00MU;09;De Witakker;8601ZP;SNEEK;Friesland;Vso;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8442;Heerenveen;00MU;09;De Witakker;8601ZP;SNEEK;Friesland;Vso;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8531;De Fryske Marren;00MU;09;De Witakker;8601ZP;SNEEK;Friesland;Vso;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2
20171001;1900;Sudwest-Fryslan;8537;De Fryske Marren;00MU;09;De Witakker;8601ZP;SNEEK;Friesland;Vso;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8601;S∑dwest-Frysl‘n;00MU;09;De Witakker;8601ZP;SNEEK;Friesland;Vso;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8602;S∑dwest-Frysl‘n;00MU;09;De Witakker;8601ZP;SNEEK;Friesland;Vso;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8605;S∑dwest-Frysl‘n;00MU;09;De Witakker;8601ZP;SNEEK;Friesland;Vso;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8606;S∑dwest-Frysl‘n;00MU;09;De Witakker;8601ZP;SNEEK;Friesland;Vso;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8607;S∑dwest-Frysl‘n;00MU;09;De Witakker;8601ZP;SNEEK;Friesland;Vso;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;3
20171001;1900;Sudwest-Fryslan;8608;S∑dwest-Frysl‘n;00MU;09;De Witakker;8601ZP;SNEEK;Friesland;Vso;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;3
20171001;1900;Sudwest-Fryslan;8651;S∑dwest-Frysl‘n;00MU;09;De Witakker;8601ZP;SNEEK;Friesland;Vso;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1900;Sudwest-Fryslan;8701;S∑dwest-Frysl‘n;00MU;09;De Witakker;8601ZP;SNEEK;Friesland;Vso;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2
