PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;9;Ten Boer;  40;Onbekend;05TO;00;Chr Basissch De Fontein;9791BN;TEN BOER;Groningen;Bo;Protestants-Christelijk;41261;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;9;Ten Boer;9744;Groningen;05TO;00;Chr Basissch De Fontein;9791BN;TEN BOER;Groningen;Bo;Protestants-Christelijk;41261;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;9;Ten Boer;9781;Bedum;05TO;00;Chr Basissch De Fontein;9791BN;TEN BOER;Groningen;Bo;Protestants-Christelijk;41261;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;9;Ten Boer;9791;Ten Boer;05TO;00;Chr Basissch De Fontein;9791BN;TEN BOER;Groningen;Bo;Protestants-Christelijk;41261;0;22;14;18;19;9;21;13;16;2;0;0;0;0;0;0;0;0;0;0;0;0;0;134
20171001;9;Ten Boer;9792;Ten Boer;05TO;00;Chr Basissch De Fontein;9791BN;TEN BOER;Groningen;Bo;Protestants-Christelijk;41261;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;9;Ten Boer;9795;Ten Boer;05TO;00;Chr Basissch De Fontein;9791BN;TEN BOER;Groningen;Bo;Protestants-Christelijk;41261;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;9;Ten Boer;9796;Ten Boer;05TO;00;Chr Basissch De Fontein;9791BN;TEN BOER;Groningen;Bo;Protestants-Christelijk;41261;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;9;Ten Boer;9791;Ten Boer;06SE;00;Basisschool De Poort;9791JB;TEN BOER;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;4;10;13;7;10;19;9;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;78
20171001;9;Ten Boer;9792;Ten Boer;06SE;00;Basisschool De Poort;9791JB;TEN BOER;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;2;0;1;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;9;Ten Boer;9794;Ten Boer;06SE;00;Basisschool De Poort;9791JB;TEN BOER;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;9;Ten Boer;9796;Ten Boer;06SE;00;Basisschool De Poort;9791JB;TEN BOER;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;1;1;0;2;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;9;Ten Boer;9797;Ten Boer;06SE;00;Basisschool De Poort;9791JB;TEN BOER;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;9;Ten Boer;9909;Delfzijl;06SE;00;Basisschool De Poort;9791JB;TEN BOER;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;9;Ten Boer;9917;Loppersum;06SE;00;Basisschool De Poort;9791JB;TEN BOER;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;9;Ten Boer;9791;Ten Boer;08AY;00;CBS De Wieken;9792PM;TEN POST;Groningen;Bo;Protestants-Christelijk;41261;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;9;Ten Boer;9792;Ten Boer;08AY;00;CBS De Wieken;9792PM;TEN POST;Groningen;Bo;Protestants-Christelijk;41261;0;7;8;3;6;8;5;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57
20171001;9;Ten Boer;9793;Ten Boer;08AY;00;CBS De Wieken;9792PM;TEN POST;Groningen;Bo;Protestants-Christelijk;41261;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;9;Ten Boer;9794;Ten Boer;08AY;00;CBS De Wieken;9792PM;TEN POST;Groningen;Bo;Protestants-Christelijk;41261;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;9;Ten Boer;9918;Loppersum;08AY;00;CBS De Wieken;9792PM;TEN POST;Groningen;Bo;Protestants-Christelijk;41261;0;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;9;Ten Boer;9791;Ten Boer;08AZ;00;Chr Basisschool De Til;9797PD;THESINGE;Groningen;Bo;Protestants-Christelijk;41261;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;9;Ten Boer;9796;Ten Boer;08AZ;00;Chr Basisschool De Til;9797PD;THESINGE;Groningen;Bo;Protestants-Christelijk;41261;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;9;Ten Boer;9797;Ten Boer;08AZ;00;Chr Basisschool De Til;9797PD;THESINGE;Groningen;Bo;Protestants-Christelijk;41261;0;4;9;1;5;4;4;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40
20171001;9;Ten Boer;9713;Groningen;08DF;00;Basisschool De Huifkar;9791ER;TEN BOER;Groningen;Bo;Openbaar;41574;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;9;Ten Boer;9728;Groningen;08DF;00;Basisschool De Huifkar;9791ER;TEN BOER;Groningen;Bo;Openbaar;41574;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;9;Ten Boer;9743;Groningen;08DF;00;Basisschool De Huifkar;9791ER;TEN BOER;Groningen;Bo;Openbaar;41574;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;9;Ten Boer;9791;Ten Boer;08DF;00;Basisschool De Huifkar;9791ER;TEN BOER;Groningen;Bo;Openbaar;41574;0;21;33;24;22;28;41;17;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;208
20171001;9;Ten Boer;9792;Ten Boer;08DF;00;Basisschool De Huifkar;9791ER;TEN BOER;Groningen;Bo;Openbaar;41574;0;1;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;9;Ten Boer;9793;Ten Boer;08DF;00;Basisschool De Huifkar;9791ER;TEN BOER;Groningen;Bo;Openbaar;41574;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;9;Ten Boer;9796;Ten Boer;08DF;00;Basisschool De Huifkar;9791ER;TEN BOER;Groningen;Bo;Openbaar;41574;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;9;Ten Boer;9797;Ten Boer;08DF;00;Basisschool De Huifkar;9791ER;TEN BOER;Groningen;Bo;Openbaar;41574;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;9;Ten Boer;9798;Ten Boer;08DF;00;Basisschool De Huifkar;9791ER;TEN BOER;Groningen;Bo;Openbaar;41574;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;9;Ten Boer;9918;Loppersum;08DF;00;Basisschool De Huifkar;9791ER;TEN BOER;Groningen;Bo;Openbaar;41574;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;9;Ten Boer;9951;Winsum;08DF;00;Basisschool De Huifkar;9791ER;TEN BOER;Groningen;Bo;Openbaar;41574;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;9;Ten Boer;9991;Loppersum;08DF;00;Basisschool De Huifkar;9791ER;TEN BOER;Groningen;Bo;Openbaar;41574;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;9;Ten Boer;9723;Groningen;08DF;01;Bs Woltersum;9795PC;WOLTERSUM;Groningen;Bo;Openbaar;41574;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;9;Ten Boer;9791;Ten Boer;08DF;01;Bs Woltersum;9795PC;WOLTERSUM;Groningen;Bo;Openbaar;41574;0;1;1;1;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;9;Ten Boer;9792;Ten Boer;08DF;01;Bs Woltersum;9795PC;WOLTERSUM;Groningen;Bo;Openbaar;41574;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;9;Ten Boer;9795;Ten Boer;08DF;01;Bs Woltersum;9795PC;WOLTERSUM;Groningen;Bo;Openbaar;41574;0;6;3;3;3;3;3;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
20171001;9;Ten Boer;9918;Loppersum;08DF;01;Bs Woltersum;9795PC;WOLTERSUM;Groningen;Bo;Openbaar;41574;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;9;Ten Boer;9732;Groningen;09DP;00;Basisschool Garmerwolde;9798PG;GARMERWOLDE;Groningen;Bo;Openbaar;41574;0;0;0;1;0;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;9;Ten Boer;9733;Groningen;09DP;00;Basisschool Garmerwolde;9798PG;GARMERWOLDE;Groningen;Bo;Openbaar;41574;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;9;Ten Boer;9734;Groningen;09DP;00;Basisschool Garmerwolde;9798PG;GARMERWOLDE;Groningen;Bo;Openbaar;41574;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;9;Ten Boer;9791;Ten Boer;09DP;00;Basisschool Garmerwolde;9798PG;GARMERWOLDE;Groningen;Bo;Openbaar;41574;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;9;Ten Boer;9794;Ten Boer;09DP;00;Basisschool Garmerwolde;9798PG;GARMERWOLDE;Groningen;Bo;Openbaar;41574;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;9;Ten Boer;9797;Ten Boer;09DP;00;Basisschool Garmerwolde;9798PG;GARMERWOLDE;Groningen;Bo;Openbaar;41574;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;9;Ten Boer;9798;Ten Boer;09DP;00;Basisschool Garmerwolde;9798PG;GARMERWOLDE;Groningen;Bo;Openbaar;41574;0;2;0;1;2;3;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;9;Ten Boer;9923;Loppersum;09DP;00;Basisschool Garmerwolde;9798PG;GARMERWOLDE;Groningen;Bo;Openbaar;41574;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
