PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;715;Terneuzen;4336;Middelburg;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;715;Terneuzen;4501;Sluis;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;715;Terneuzen;4503;Sluis;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;715;Terneuzen;4508;Sluis;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;715;Terneuzen;4511;Sluis;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;1;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;715;Terneuzen;4513;Sluis;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;715;Terneuzen;4521;Terneuzen;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;715;Terneuzen;4529;Sluis;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;715;Terneuzen;4531;Terneuzen;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;715;Terneuzen;4532;Terneuzen;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;1;1;0;1;3;1;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;715;Terneuzen;4533;Terneuzen;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;1;1;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;715;Terneuzen;4535;Terneuzen;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;1;0;0;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;715;Terneuzen;4536;Terneuzen;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;0;1;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;715;Terneuzen;4537;Terneuzen;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;0;1;4;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;715;Terneuzen;4541;Terneuzen;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;715;Terneuzen;4542;Terneuzen;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;1;1;1;1;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;715;Terneuzen;4543;Terneuzen;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;715;Terneuzen;4551;Terneuzen;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;1;0;4;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;715;Terneuzen;4553;Terneuzen;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;715;Terneuzen;4554;Terneuzen;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;715;Terneuzen;4571;Terneuzen;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;3;0;1;1;2;4;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;715;Terneuzen;4574;Terneuzen;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;715;Terneuzen;4522;Sluis;03OR;00;GBS De Sterrenpracht;4571TV;AXEL;Zeeland;Bo;Gereformeerd vrijgemaakt;41646;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;715;Terneuzen;4532;Terneuzen;03OR;00;GBS De Sterrenpracht;4571TV;AXEL;Zeeland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;715;Terneuzen;4533;Terneuzen;03OR;00;GBS De Sterrenpracht;4571TV;AXEL;Zeeland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;715;Terneuzen;4535;Terneuzen;03OR;00;GBS De Sterrenpracht;4571TV;AXEL;Zeeland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;715;Terneuzen;4536;Terneuzen;03OR;00;GBS De Sterrenpracht;4571TV;AXEL;Zeeland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;715;Terneuzen;4537;Terneuzen;03OR;00;GBS De Sterrenpracht;4571TV;AXEL;Zeeland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;715;Terneuzen;4542;Terneuzen;03OR;00;GBS De Sterrenpracht;4571TV;AXEL;Zeeland;Bo;Gereformeerd vrijgemaakt;41646;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;715;Terneuzen;4543;Terneuzen;03OR;00;GBS De Sterrenpracht;4571TV;AXEL;Zeeland;Bo;Gereformeerd vrijgemaakt;41646;0;2;3;2;0;2;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
20171001;715;Terneuzen;4551;Terneuzen;03OR;00;GBS De Sterrenpracht;4571TV;AXEL;Zeeland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;715;Terneuzen;4554;Terneuzen;03OR;00;GBS De Sterrenpracht;4571TV;AXEL;Zeeland;Bo;Gereformeerd vrijgemaakt;41646;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
