PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;93;Terschelling;8891;Terschelling;04QN;00;Chr Basisschool 'T Jok;8896KK;HOORN TERSCHELLING;Friesland;Bo;Protestants-Christelijk;92899;0;1;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;93;Terschelling;8893;Terschelling;04QN;00;Chr Basisschool 'T Jok;8896KK;HOORN TERSCHELLING;Friesland;Bo;Protestants-Christelijk;92899;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;93;Terschelling;8894;Terschelling;04QN;00;Chr Basisschool 'T Jok;8896KK;HOORN TERSCHELLING;Friesland;Bo;Protestants-Christelijk;92899;0;1;0;0;1;3;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;93;Terschelling;8895;Terschelling;04QN;00;Chr Basisschool 'T Jok;8896KK;HOORN TERSCHELLING;Friesland;Bo;Protestants-Christelijk;92899;0;1;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;93;Terschelling;8896;Terschelling;04QN;00;Chr Basisschool 'T Jok;8896KK;HOORN TERSCHELLING;Friesland;Bo;Protestants-Christelijk;92899;0;5;1;4;6;4;2;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30
20171001;93;Terschelling;8897;Terschelling;04QN;00;Chr Basisschool 'T Jok;8896KK;HOORN TERSCHELLING;Friesland;Bo;Protestants-Christelijk;92899;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;93;Terschelling;8881;Terschelling;05UM;00;Ds Vossersschool;8881CJ;WEST-TERSCHELLING;Friesland;Bo;Protestants-Christelijk;92899;0;11;16;10;8;9;10;7;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;76
20171001;93;Terschelling;8884;Terschelling;05UM;00;Ds Vossersschool;8881CJ;WEST-TERSCHELLING;Friesland;Bo;Protestants-Christelijk;92899;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;93;Terschelling;8757;S∑dwest-Frysl‘n;18IU;00;'t Hunnighouwersgat;8891GH;MIDSLAND;Friesland;Bo;Openbaar;10867;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;93;Terschelling;8881;Terschelling;18IU;00;'t Hunnighouwersgat;8891GH;MIDSLAND;Friesland;Bo;Openbaar;10867;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
