PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;448;Texel;1791;Texel;03CL;00;Lubertischool;1796AH;DE KOOG;Noord-Holland;Bo;Algemeen bijzonder;41841;0;1;2;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;448;Texel;1796;Texel;03CL;00;Lubertischool;1796AH;DE KOOG;Noord-Holland;Bo;Algemeen bijzonder;41841;0;8;8;11;8;6;4;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58
20171001;448;Texel;1788;Den Helder;03KX;00;PC BS De Fontein;1791VA;DEN BURG;Noord-Holland;Bo;Protestants-Christelijk;79874;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;448;Texel;1791;Texel;03KX;00;PC BS De Fontein;1791VA;DEN BURG;Noord-Holland;Bo;Protestants-Christelijk;79874;0;22;17;20;15;19;15;12;17;4;0;0;0;0;0;0;0;0;0;0;0;0;0;141
20171001;448;Texel;1793;Texel;03KX;00;PC BS De Fontein;1791VA;DEN BURG;Noord-Holland;Bo;Protestants-Christelijk;79874;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;448;Texel;1794;Texel;03KX;00;PC BS De Fontein;1791VA;DEN BURG;Noord-Holland;Bo;Protestants-Christelijk;79874;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;448;Texel;1795;Texel;03KX;00;PC BS De Fontein;1791VA;DEN BURG;Noord-Holland;Bo;Protestants-Christelijk;79874;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;448;Texel;1796;Texel;03KX;00;PC BS De Fontein;1791VA;DEN BURG;Noord-Holland;Bo;Protestants-Christelijk;79874;0;1;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;448;Texel;1797;Texel;03KX;00;PC BS De Fontein;1791VA;DEN BURG;Noord-Holland;Bo;Protestants-Christelijk;79874;0;2;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;448;Texel;1141;Waterland;05JK;00;Jozefschool;1791GD;DEN BURG;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;448;Texel;1791;Texel;05JK;00;Jozefschool;1791GD;DEN BURG;Noord-Holland;Bo;Rooms-Katholiek;55238;0;27;31;25;28;25;15;17;18;7;0;0;0;0;0;0;0;0;0;0;0;0;0;193
20171001;448;Texel;1792;Texel;05JK;00;Jozefschool;1791GD;DEN BURG;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;0;1;1;1;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;448;Texel;1793;Texel;05JK;00;Jozefschool;1791GD;DEN BURG;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;1;0;2;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;448;Texel;1794;Texel;05JK;00;Jozefschool;1791GD;DEN BURG;Noord-Holland;Bo;Rooms-Katholiek;55238;0;2;1;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;448;Texel;1795;Texel;05JK;00;Jozefschool;1791GD;DEN BURG;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;448;Texel;1796;Texel;05JK;00;Jozefschool;1791GD;DEN BURG;Noord-Holland;Bo;Rooms-Katholiek;55238;0;2;1;1;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;448;Texel;1797;Texel;05JK;00;Jozefschool;1791GD;DEN BURG;Noord-Holland;Bo;Rooms-Katholiek;55238;0;4;2;0;3;3;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;448;Texel;3062;Rotterdam;05JK;00;Jozefschool;1791GD;DEN BURG;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;448;Texel;7322;Apeldoorn;05JK;00;Jozefschool;1791GD;DEN BURG;Noord-Holland;Bo;Rooms-Katholiek;55238;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;448;Texel;1791;Texel;18RR;00;Dr J P Thijsseschool;1791DA;DEN BURG;Noord-Holland;Bo;Openbaar;41841;0;8;4;15;10;14;26;15;18;5;0;0;0;0;0;0;0;0;0;0;0;0;0;115
20171001;448;Texel;1792;Texel;18RR;00;Dr J P Thijsseschool;1791DA;DEN BURG;Noord-Holland;Bo;Openbaar;41841;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;448;Texel;1793;Texel;18RR;00;Dr J P Thijsseschool;1791DA;DEN BURG;Noord-Holland;Bo;Openbaar;41841;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;448;Texel;1794;Texel;18RR;00;Dr J P Thijsseschool;1791DA;DEN BURG;Noord-Holland;Bo;Openbaar;41841;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;448;Texel;1795;Texel;18RR;00;Dr J P Thijsseschool;1791DA;DEN BURG;Noord-Holland;Bo;Openbaar;41841;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;448;Texel;1796;Texel;18RR;00;Dr J P Thijsseschool;1791DA;DEN BURG;Noord-Holland;Bo;Openbaar;41841;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;448;Texel;1797;Texel;18RR;00;Dr J P Thijsseschool;1791DA;DEN BURG;Noord-Holland;Bo;Openbaar;41841;0;2;0;1;1;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;448;Texel;1794;Texel;18SO;00;OBS Durperhonk;1795AL;DE COCKSDORP;Noord-Holland;Bo;Openbaar;41841;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;448;Texel;1795;Texel;18SO;00;OBS Durperhonk;1795AL;DE COCKSDORP;Noord-Holland;Bo;Openbaar;41841;0;9;10;5;12;9;9;4;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;65
20171001;448;Texel;1791;Texel;18US;00;De Vliekotter;1794AV;OOSTEREND NH;Noord-Holland;Bo;Openbaar;41841;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;448;Texel;1793;Texel;18US;00;De Vliekotter;1794AV;OOSTEREND NH;Noord-Holland;Bo;Openbaar;41841;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;448;Texel;1794;Texel;18US;00;De Vliekotter;1794AV;OOSTEREND NH;Noord-Holland;Bo;Openbaar;41841;0;9;16;5;8;9;11;8;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;76
