PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1525;Teylingen;2171;Teylingen;04IQ;00;R K B S Antonius;2215KV;VOORHOUT;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1525;Teylingen;2203;Noordwijk;04IQ;00;R K B S Antonius;2215KV;VOORHOUT;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1525;Teylingen;2211;Noordwijkerhout;04IQ;00;R K B S Antonius;2215KV;VOORHOUT;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1525;Teylingen;2215;Teylingen;04IQ;00;R K B S Antonius;2215KV;VOORHOUT;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;15;10;19;13;12;17;13;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121
20171001;1525;Teylingen;2216;Teylingen;04IQ;00;R K B S Antonius;2215KV;VOORHOUT;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1525;Teylingen;2331;Leiden;04IQ;00;R K B S Antonius;2215KV;VOORHOUT;Zuid-Holland;Bo;Rooms-Katholiek;40967;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1525;Teylingen;  30;ander land;04YK;01;De Burcht;2171AL;SASSENHEIM;Zuid-Holland;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
20171001;1525;Teylingen;  40;Onbekend;04YK;01;De Burcht;2171AL;SASSENHEIM;Zuid-Holland;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;0;1;0;0;0;0;6
20171001;1525;Teylingen;1014;Amsterdam;04YK;01;De Burcht;2171AL;SASSENHEIM;Zuid-Holland;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
20171001;1525;Teylingen;1034;Amsterdam;04YK;01;De Burcht;2171AL;SASSENHEIM;Zuid-Holland;Vso;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
